Indicator,time_period,state_name,state_fips,age,race_category_id,sex,Transmission Category,hiv_diagnoses,hiv_diagnoses_per_100k,population
HIV diagnoses,2019,United States,00,55+,ALL,All,All transmission categories,"3,814",4.0,96467960
HIV diagnoses,2019,United States,00,45-54,ALL,All,All transmission categories,"4,887",12.0,40860323
HIV diagnoses,2019,United States,00,35-44,ALL,All,All transmission categories,"7,114",17.1,41674444
HIV diagnoses,2019,United States,00,25-34,ALL,All,All transmission categories,"13,075",28.4,46003684
HIV diagnoses,2019,United States,00,13-24,ALL,All,All transmission categories,"7,638",15.0,51056802
HIV diagnoses,2018,United States,00,55+,ALL,All,All transmission categories,"3,770",4.0,94573882
HIV diagnoses,2018,United States,00,45-54,ALL,All,All transmission categories,"5,235",12.6,41571660
HIV diagnoses,2018,United States,00,35-44,ALL,All,All transmission categories,"7,180",17.4,41232094
HIV diagnoses,2018,United States,00,25-34,ALL,All,All transmission categories,"13,384",29.3,45679060
HIV diagnoses,2018,United States,00,13-24,ALL,All,All transmission categories,"7,848",15.3,51227904
HIV diagnoses,2017,United States,00,55+,ALL,All,All transmission categories,"3,837",4.1,92631341
HIV diagnoses,2017,United States,00,45-54,ALL,All,All transmission categories,"5,567",13.2,42227049
HIV diagnoses,2017,United States,00,35-44,ALL,All,All transmission categories,"7,240",17.8,40767905
HIV diagnoses,2017,United States,00,25-34,ALL,All,All transmission categories,"13,395",29.6,45319858
HIV diagnoses,2017,United States,00,13-24,ALL,All,All transmission categories,"8,277",16.1,51449565
HIV diagnoses,2016,United States,00,55+,ALL,All,All transmission categories,"3,821",4.2,90600350
HIV diagnoses,2016,United States,00,45-54,ALL,All,All transmission categories,"5,902",13.8,42703288
HIV diagnoses,2016,United States,00,35-44,ALL,All,All transmission categories,"7,455",18.4,40463900
HIV diagnoses,2016,United States,00,25-34,ALL,All,All transmission categories,"13,588",30.3,44775127
HIV diagnoses,2016,United States,00,13-24,ALL,All,All transmission categories,"8,656",16.7,51717875
HIV diagnoses,2015,United States,00,55+,ALL,All,All transmission categories,"3,722",4.2,88402116
HIV diagnoses,2015,United States,00,45-54,ALL,All,All transmission categories,"6,284",14.6,43013105
HIV diagnoses,2015,United States,00,35-44,ALL,All,All transmission categories,"7,608",18.8,40440626
HIV diagnoses,2015,United States,00,25-34,ALL,All,All transmission categories,"13,024",29.6,44073239
HIV diagnoses,2015,United States,00,13-24,ALL,All,All transmission categories,"9,080",17.4,52045828
HIV diagnoses,2014,United States,00,55+,ALL,All,All transmission categories,"3,721",4.3,86146565
HIV diagnoses,2014,United States,00,45-54,ALL,All,All transmission categories,"6,471",14.9,43329465
HIV diagnoses,2014,United States,00,35-44,ALL,All,All transmission categories,"7,958",19.7,40403298
HIV diagnoses,2014,United States,00,25-34,ALL,All,All transmission categories,"12,578",28.9,43475811
HIV diagnoses,2014,United States,00,13-24,ALL,All,All transmission categories,"9,116",17.4,52354810
HIV diagnoses,2013,United States,00,55+,ALL,All,All transmission categories,"3,913",4.7,83912025
HIV diagnoses,2013,United States,00,45-54,ALL,All,All transmission categories,"6,823",15.6,43749265
HIV diagnoses,2013,United States,00,35-44,ALL,All,All transmission categories,"7,846",19.4,40446168
HIV diagnoses,2013,United States,00,25-34,ALL,All,All transmission categories,"11,780",27.5,42854406
HIV diagnoses,2013,United States,00,13-24,ALL,All,All transmission categories,"8,734",16.7,52378452
HIV diagnoses,2012,United States,00,55+,ALL,All,All transmission categories,"3,736",4.6,81708076
HIV diagnoses,2012,United States,00,45-54,ALL,All,All transmission categories,"7,369",16.7,44255965
HIV diagnoses,2012,United States,00,35-44,ALL,All,All transmission categories,"8,462",20.9,40511710
HIV diagnoses,2012,United States,00,25-34,ALL,All,All transmission categories,"11,761",27.8,42304034
HIV diagnoses,2012,United States,00,13-24,ALL,All,All transmission categories,"9,069",17.4,52242816
HIV diagnoses,2011,United States,00,55+,ALL,All,All transmission categories,"3,799",4.8,79419524
HIV diagnoses,2011,United States,00,45-54,ALL,All,All transmission categories,"7,740",17.3,44725889
HIV diagnoses,2011,United States,00,35-44,ALL,All,All transmission categories,"9,060",22.3,40633781
HIV diagnoses,2011,United States,00,25-34,ALL,All,All transmission categories,"11,451",27.4,41800949
HIV diagnoses,2011,United States,00,13-24,ALL,All,All transmission categories,"9,058",17.4,52082085
HIV diagnoses,2010,United States,00,55+,ALL,All,All transmission categories,"3,861",5.0,77261138
HIV diagnoses,2010,United States,00,45-54,ALL,All,All transmission categories,"8,166",18.2,44986457
HIV diagnoses,2010,United States,00,35-44,ALL,All,All transmission categories,"10,064",24.6,40980656
HIV diagnoses,2010,United States,00,25-34,ALL,All,All transmission categories,"11,653",28.3,41212154
HIV diagnoses,2010,United States,00,13-24,ALL,All,All transmission categories,"9,133",17.6,51949460
HIV diagnoses,2009,United States,00,55+,ALL,All,All transmission categories,"3,896",5.2,74357539
HIV diagnoses,2009,United States,00,45-54,ALL,All,All transmission categories,"8,616",19.3,44592483
HIV diagnoses,2009,United States,00,35-44,ALL,All,All transmission categories,"11,310",27.2,41529956
HIV diagnoses,2009,United States,00,25-34,ALL,All,All transmission categories,"11,926",28.7,41566322
HIV diagnoses,2009,United States,00,13-24,ALL,All,All transmission categories,"8,787",17.2,51206838
HIV diagnoses,2008,United States,00,55+,ALL,All,All transmission categories,"4,148",5.7,72422876
HIV diagnoses,2008,United States,00,45-54,ALL,All,All transmission categories,"9,325",21.1,44233644
HIV diagnoses,2008,United States,00,35-44,ALL,All,All transmission categories,"12,528",29.7,42240964
