time_period,state_name,homicides_estimated_total,homicides_per_100k,county_fips,suicides_estimated_total,suicides_per_100k,state_fips,county_name
2024,South Carolina,,4.6,45001,,11.5,45,Abbeville County
2024,Louisiana,,7.9,22001,10.0,17.7,22,Acadia Parish
2024,Virginia,,7.5,51001,,7.5,51,Accomack County
2024,Idaho,,0.6,16001,72.0,13.7,16,Ada County
2024,Iowa,0,0.0,19001,0.0,0.0,19,Adair County
2024,Kentucky,,4.9,21001,,14.4,21,Adair County
2024,Missouri,0,0.0,29001,,11.0,29,Adair County
2024,Oklahoma,0,0.0,40001,,13.5,40,Adair County
2024,Colorado,29,5.4,08001,44.0,8.2,08,Adams County
2024,Idaho,0,0.0,16003,0.0,0.0,16,Adams County
2024,Illinois,0,0.0,17001,,8.6,17,Adams County
2024,Indiana,0,0.0,18001,,9.5,18,Adams County
2024,Iowa,0,0.0,19003,,-999.0,19,Adams County
2024,Mississippi,,19.4,28001,,10.7,28,Adams County
2024,Nebraska,0,0.0,31001,,8.7,31,Adams County
2024,North Dakota,0,0.0,38001,0.0,0.0,38,Adams County
2024,Ohio,,5.3,39001,,10.8,39,Adams County
2024,Pennsylvania,,1.3,42001,,7.4,42,Adams County
2024,Washington,0,0.0,53001,,9.8,53,Adams County
2024,Wisconsin,,1.2,55001,,-999.0,55,Adams County
2024,Vermont,0,0.0,50001,,7.5,50,Addison County
2024,South Carolina,12,6.8,45003,31.0,17.5,45,Aiken County
2024,Minnesota,0,0.0,27001,,11.9,27,Aitkin County
2024,Florida,12,4.2,12001,26.0,9.1,12,Alachua County
2024,North Carolina,,4.5,37001,22.0,12.3,37,Alamance County
2024,California,98,6.0,06001,54.0,3.3,06,Alameda County
2024,Colorado,0,0.0,08003,,20.1,08,Alamosa County
2024,New York,,1.6,36001,,4.1,36,Albany County
2024,Wyoming,0,0.0,56001,,17.1,56,Albany County
2024,Virginia,,1.9,51003,,10.1,51,Albemarle County
2024,Michigan,0,0.0,26001,,13.3,26,Alcona County
2024,Mississippi,,6.2,28003,,12.0,28,Alcorn County
2024,Alaska,0,0.0,02013,0.0,0.0,02,Aleutians East Borough
2024,Alaska,0,0.0,02016,0.0,0.0,02,Aleutians West Census Area
2024,Illinois,0,0.0,17003,0.0,0.0,17,Alexander County
2024,North Carolina,0,0.0,37003,,12.2,37,Alexander County
2024,Virginia,,1.8,51510,,3.4,51,Alexandria city
2024,Oklahoma,0,0.0,40003,0.0,0.0,40,Alfalfa County
2024,Michigan,0,0.0,26003,,17.1,26,Alger County
2024,Iowa,,-999.0,19005,0.0,0.0,19,Allamakee County
2024,Michigan,0,0.0,26005,,7.2,26,Allegan County
2024,Maryland,,1.6,24001,,9.3,24,Allegany County
2024,New York,0,0.0,36003,,-999.0,36,Allegany County
2024,North Carolina,0,0.0,37005,0.0,0.0,37,Alleghany County
2024,Virginia,0,0.0,51005,,12.1,51,Alleghany County
2024,Pennsylvania,76,6.2,42003,90.0,7.3,42,Allegheny County
2024,Indiana,28,7.1,18003,33.0,8.4,18,Allen County
2024,Kansas,0,0.0,20001,0.0,0.0,20,Allen County
2024,Kentucky,0,0.0,21003,,10.7,21,Allen County
2024,Ohio,,2.6,39003,11.0,10.9,39,Allen County
2024,Louisiana,0,0.0,22003,,11.3,22,Allen Parish
2024,South Carolina,,21.9,45005,0.0,0.0,45,Allendale County
2024,Michigan,0,0.0,26007,,14.8,26,Alpena County
2024,California,0,0.0,06003,0.0,0.0,06,Alpine County
2024,California,,3.1,06005,,6.3,06,Amador County
2024,Virginia,0,0.0,51007,,8.8,51,Amelia County
2024,Virginia,,2.8,51009,,9.5,51,Amherst County
2024,Mississippi,,13.9,28005,,11.4,28,Amite County
2024,Alaska,23,8.0,02020,57.0,19.9,02,Anchorage Municipality
2024,Kansas,0,0.0,20003,,11.1,20,Anderson County
2024,Kentucky,0,0.0,21005,,10.0,21,Anderson County
2024,South Carolina,,3.8,45007,18.0,8.4,45,Anderson County
2024,Tennessee,,3.1,47001,10.0,12.5,47,Anderson County
2024,Texas,0,0.0,48001,14.0,24.2,48,Anderson County
2024,Missouri,0,0.0,29003,,11.7,29,Andrew County
2024,Texas,,3.8,48003,,10.6,48,Andrews County
2024,Maine,,1.0,23001,16.0,14.1,23,Androscoggin County
2024,Texas,,4.6,48005,14.0,16.0,48,Angelina County
2024,Maryland,15,2.5,24003,36.0,6.1,24,Anne Arundel County
2024,Minnesota,10,2.7,27003,25.0,6.7,27,Anoka County
2024,North Carolina,,7.5,37007,,10.6,37,Anson County
