time_period,state_name,homicides_estimated_total,homicides_per_100k,county_fips,suicides_estimated_total,suicides_per_100k,state_fips,county_name
2019,South Carolina,,7.0,45001,,10.0,45,Abbeville County
2019,Louisiana,,8.8,22001,,10.3,22,Acadia Parish
2019,Virginia,,3.1,51001,,6.9,51,Accomack County
2019,Idaho,,1.1,16001,47.0,9.8,16,Ada County
2019,Iowa,0,0.0,19001,0.0,0.0,19,Adair County
2019,Kentucky,0,0.0,21001,,11.4,21,Adair County
2019,Missouri,,2.1,29001,,9.9,29,Adair County
2019,Oklahoma,0,0.0,40001,,10.4,40,Adair County
2019,Colorado,18,3.5,08001,43.0,8.3,08,Adams County
2019,Idaho,0,0.0,16003,,12.9,16,Adams County
2019,Illinois,,3.5,17001,,9.8,17,Adams County
2019,Indiana,0,0.0,18001,0.0,0.0,18,Adams County
2019,Iowa,0,0.0,19003,0.0,0.0,19,Adams County
2019,Mississippi,,15.2,28001,,9.6,28,Adams County
2019,Nebraska,0,0.0,31001,,7.5,31,Adams County
2019,North Dakota,0,0.0,38001,0.0,0.0,38,Adams County
2019,Ohio,,2.3,39001,,10.8,39,Adams County
2019,Pennsylvania,,1.8,42001,,7.0,42,Adams County
2019,Washington,0,0.0,53001,0.0,0.0,53,Adams County
2019,Wisconsin,0,0.0,55001,,-999.0,55,Adams County
2019,Vermont,,-999.0,50001,,8.7,50,Addison County
2019,South Carolina,18,10.5,45003,24.0,14.0,45,Aiken County
2019,Minnesota,0,0.0,27001,,-999.0,27,Aitkin County
2019,Florida,,2.0,12001,13.0,4.8,12,Alachua County
2019,North Carolina,10,5.9,37001,15.0,8.8,37,Alamance County
2019,California,72,4.3,06001,42.0,2.5,06,Alameda County
2019,Colorado,0,0.0,08003,,20.0,08,Alamosa County
2019,New York,,1.1,36001,16.0,5.2,36,Albany County
2019,Wyoming,0,0.0,56001,,12.0,56,Albany County
2019,Virginia,,1.6,51003,,7.5,51,Albemarle County
2019,Michigan,0,0.0,26001,,13.2,26,Alcona County
2019,Mississippi,,7.8,28003,,13.8,28,Alcorn County
2019,Alaska,0,0.0,02013,0.0,0.0,02,Aleutians East Borough
2019,Alaska,0,0.0,02016,0.0,0.0,02,Aleutians West Census Area
2019,Illinois,,4.9,17003,0.0,0.0,17,Alexander County
2019,North Carolina,,7.3,37003,,10.1,37,Alexander County
2019,Virginia,,2.0,51510,,2.8,51,Alexandria city
2019,Oklahoma,0,0.0,40003,,12.3,40,Alfalfa County
2019,Michigan,0,0.0,26003,,11.7,26,Alger County
2019,Iowa,0,0.0,19005,,-999.0,19,Allamakee County
2019,Michigan,0,0.0,26005,,6.5,26,Allegan County
2019,Maryland,0,0.0,24001,,8.4,24,Allegany County
2019,New York,0,0.0,36003,,6.8,36,Allegany County
2019,North Carolina,0,0.0,37005,,-999.0,37,Alleghany County
2019,Virginia,0,0.0,51005,,11.2,51,Alleghany County
2019,Pennsylvania,73,6.0,42003,94.0,7.7,42,Allegheny County
2019,Indiana,20,5.3,18003,23.0,6.1,18,Allen County
2019,Kansas,0,0.0,20001,,12.9,20,Allen County
