state_fips,state_name,population,age,race_category_id,race,race_includes_hispanic,race_and_ethnicity
00,United States,32,20-24,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,6668,20-24,ALL,All,,All
00,United States,94,20-24,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1433,20-24,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,241,20-24,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,145,20-24,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,4748,20-24,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,39,25-29,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,7954,25-29,ALL,All,,All
00,United States,85,25-29,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1785,25-29,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,280,25-29,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,175,25-29,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,5600,25-29,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,25,30-34,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,7487,30-34,ALL,All,,All
00,United States,104,30-34,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1595,30-34,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,267,30-34,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,99,30-34,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,5403,30-34,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,40,35-39,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,7840,35-39,ALL,All,,All
00,United States,167,35-39,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1596,35-39,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,342,35-39,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,112,35-39,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,5600,35-39,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,34,40-44,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,7593,40-44,ALL,All,,All
00,United States,138,40-44,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1616,40-44,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,285,40-44,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,93,40-44,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,5435,40-44,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,35,45-49,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,8124,45-49,ALL,All,,All
00,United States,143,45-49,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1528,45-49,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,223,45-49,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,75,45-49,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,6126,45-49,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,51,50-54,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,7955,50-54,ALL,All,,All
00,United States,82,50-54,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
00,United States,1372,50-54,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
00,United States,185,50-54,HISP,Hispanic or Latino,True,Hispanic or Latino
00,United States,64,50-54,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
00,United States,6201,50-54,WHITE_NH,White,False,White (Non-Hispanic)
00,United States,51,55-59,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
00,United States,8367,55-59,ALL,All,,All
