state_fips,state_name,age,population,race_category_id,race,race_includes_hispanic,race_and_ethnicity
01,Alabama,20-24,4470,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,20-24,1430,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,20-24,28,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,20-24,92,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,20-24,224,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,20-24,136,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,20-24,6356,ALL,All,,All
01,Alabama,25-29,5300,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,25-29,1780,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,25-29,30,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,25-29,84,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,25-29,250,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,25-29,162,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,25-29,7598,ALL,All,,All
01,Alabama,30-34,5028,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,30-34,1592,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,30-34,20,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,30-34,92,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,30-34,246,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,30-34,92,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,30-34,7066,ALL,All,,All
01,Alabama,35-39,5164,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,35-39,1590,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,35-39,30,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,35-39,130,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,35-39,320,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,35-39,104,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,35-39,7322,ALL,All,,All
01,Alabama,40-44,5096,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,40-44,1614,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,40-44,24,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,40-44,134,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,40-44,262,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,40-44,82,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,40-44,7208,ALL,All,,All
01,Alabama,45-49,5796,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,45-49,1522,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,45-49,24,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,45-49,142,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,45-49,204,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,45-49,72,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,45-49,7754,ALL,All,,All
01,Alabama,50-54,5832,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,50-54,1370,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,50-54,44,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,50-54,80,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,50-54,168,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,50-54,56,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,50-54,7550,ALL,All,,All
01,Alabama,55-59,6164,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,55-59,1326,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,55-59,46,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,55-59,88,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,55-59,128,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,55-59,46,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,55-59,7792,ALL,All,,All
01,Alabama,60-64,5232,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,60-64,1264,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,60-64,36,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,60-64,58,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,60-64,90,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,60-64,66,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,60-64,6740,ALL,All,,All
01,Alabama,65+,14736,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,65+,2526,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,65+,124,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
01,Alabama,65+,126,API_NH,"Asian, Native Hawaiian, and Pacific Islander",False,"Asian, Native Hawaiian, and Pacific Islander (Non-Hispanic)"
01,Alabama,65+,222,HISP,Hispanic or Latino,True,Hispanic or Latino
01,Alabama,65+,118,MULTI_NH,Two or more races,False,Two or more races (Non-Hispanic)
01,Alabama,65+,17848,ALL,All,,All
01,Alabama,All,82430,WHITE_NH,White,False,White (Non-Hispanic)
01,Alabama,All,22196,BLACK_NH,Black or African American,False,Black or African American (Non-Hispanic)
01,Alabama,All,486,AIAN_NH,American Indian and Alaska Native,False,American Indian and Alaska Native (Non-Hispanic)
