"Label (Grouping)","American Samoa!!Number","American Samoa!!Percent","Eastern District, American Samoa!!Number","Eastern District, American Samoa!!Percent","Manu'a District, American Samoa!!Number","Manu'a District, American Samoa!!Percent","Rose Island, American Samoa!!Number","Rose Island, American Samoa!!Percent","Swains Island, American Samoa!!Number","Swains Island, American Samoa!!Percent","Western District, American Samoa!!Number","Western District, American Samoa!!Percent"
"SEX AND AGE","","","","","","","","","","","",""
"    Total population","49,710","100.0%","17,059","100.0%","832","100.0%","0","-","0","-","31,819","100.0%"
"        Under 5 years","4,569","9.2%","1,444","8.5%","89","10.7%","0","-","0","-","3,036","9.5%"
"        5 to 9 years","4,990","10.0%","1,577","9.2%","95","11.4%","0","-","0","-","3,318","10.4%"
"        10 to 14 years","5,350","10.8%","1,832","10.7%","79","9.5%","0","-","0","-","3,439","10.8%"
"        15 to 19 years","5,023","10.1%","1,708","10.0%","71","8.5%","0","-","0","-","3,244","10.2%"
"        20 to 24 years","3,209","6.5%","1,065","6.2%","68","8.2%","0","-","0","-","2,076","6.5%"
"        25 to 29 years","3,179","6.4%","1,089","6.4%","57","6.9%","0","-","0","-","2,033","6.4%"
"        30 to 34 years","3,008","6.1%","1,056","6.2%","56","6.7%","0","-","0","-","1,896","6.0%"
"        35 to 39 years","2,968","6.0%","1,037","6.1%","39","4.7%","0","-","0","-","1,892","5.9%"
"        40 to 44 years","3,241","6.5%","1,172","6.9%","35","4.2%","0","-","0","-","2,034","6.4%"
"        45 to 49 years","3,208","6.5%","1,150","6.7%","43","5.2%","0","-","0","-","2,015","6.3%"
"        50 to 54 years","3,164","6.4%","1,154","6.8%","48","5.8%","0","-","0","-","1,962","6.2%"
"        55 to 59 years","2,650","5.3%","954","5.6%","59","7.1%","0","-","0","-","1,637","5.1%"
"        60 to 64 years","2,004","4.0%","715","4.2%","35","4.2%","0","-","0","-","1,254","3.9%"
"        65 to 69 years","1,345","2.7%","454","2.7%","27","3.2%","0","-","0","-","864","2.7%"
"        70 to 74 years","893","1.8%","305","1.8%","15","1.8%","0","-","0","-","573","1.8%"
"        75 to 79 years","486","1.0%","203","1.2%","9","1.1%","0","-","0","-","274","0.9%"
"        80 to 84 years","278","0.6%","101","0.6%","3","0.4%","0","-","0","-","174","0.5%"
"        85 years and over","145","0.3%","43","0.3%","4","0.5%","0","-","0","-","98","0.3%"
"        Selected Age Categories","","","","","","","","","","","",""
"            16 years and over","33,690","67.8%","11,847","69.4%","556","66.8%","0","-","0","-","21,287","66.9%"
"            18 years and over","31,486","63.3%","11,069","64.9%","520","62.5%","0","-","0","-","19,897","62.5%"
"            21 years and over","29,049","58.4%","10,260","60.1%","488","58.7%","0","-","0","-","18,301","57.5%"
"            62 years and over","4,249","8.5%","1,485","8.7%","73","8.8%","0","-","0","-","2,691","8.5%"
"            65 years and over","3,147","6.3%","1,106","6.5%","58","7.0%","0","-","0","-","1,983","6.2%"
"    Male population","25,254","50.8%","8,763","51.4%","435","52.3%","0","-","0","-","16,056","50.5%"
"        Under 5 years","2,272","4.6%","747","4.4%","40","4.8%","0","-","0","-","1,485","4.7%"
"        5 to 9 years","2,554","5.1%","818","4.8%","59","7.1%","0","-","0","-","1,677","5.3%"
"        10 to 14 years","2,751","5.5%","948","5.6%","43","5.2%","0","-","0","-","1,760","5.5%"
"        15 to 19 years","2,642","5.3%","865","5.1%","37","4.4%","0","-","0","-","1,740","5.5%"
"        20 to 24 years","1,617","3.3%","533","3.1%","34","4.1%","0","-","0","-","1,050","3.3%"
"        25 to 29 years","1,565","3.1%","544","3.2%","30","3.6%","0","-","0","-","991","3.1%"
"        30 to 34 years","1,519","3.1%","540","3.2%","30","3.6%","0","-","0","-","949","3.0%"
"        35 to 39 years","1,527","3.1%","549","3.2%","23","2.8%","0","-","0","-","955","3.0%"
"        40 to 44 years","1,659","3.3%","646","3.8%","14","1.7%","0","-","0","-","999","3.1%"
"        45 to 49 years","1,649","3.3%","579","3.4%","26","3.1%","0","-","0","-","1,044","3.3%"
"        50 to 54 years","1,666","3.4%","634","3.7%","24","2.9%","0","-","0","-","1,008","3.2%"
"        55 to 59 years","1,328","2.7%","481","2.8%","30","3.6%","0","-","0","-","817","2.6%"
"        60 to 64 years","1,009","2.0%","359","2.1%","18","2.2%","0","-","0","-","632","2.0%"
"        65 to 69 years","673","1.4%","225","1.3%","15","1.8%","0","-","0","-","433","1.4%"
"        70 to 74 years","423","0.9%","144","0.8%","7","0.8%","0","-","0","-","272","0.9%"
"        75 to 79 years","235","0.5%","94","0.6%","4","0.5%","0","-","0","-","137","0.4%"
"        80 to 84 years","115","0.2%","44","0.3%","0","0.0%","0","-","0","-","71","0.2%"
"        85 years and over","50","0.1%","13","0.1%","1","0.1%","0","-","0","-","36","0.1%"
"        Selected Age Categories","","","","","","","","","","","",""
"            16 years and over","17,113","34.4%","6,078","35.6%","285","34.3%","0","-","0","-","10,750","33.8%"
"            18 years and over","15,968","32.1%","5,678","33.3%","265","31.9%","0","-","0","-","10,025","31.5%"
"            21 years and over","14,662","29.5%","5,269","30.9%","251","30.2%","0","-","0","-","9,142","28.7%"
"            62 years and over","2,034","4.1%","708","4.2%","31","3.7%","0","-","0","-","1,295","4.1%"
"            65 years and over","1,496","3.0%","520","3.0%","27","3.2%","0","-","0","-","949","3.0%"
"    Female population","24,456","49.2%","8,296","48.6%","397","47.7%","0","-","0","-","15,763","49.5%"
"        Under 5 years","2,297","4.6%","697","4.1%","49","5.9%","0","-","0","-","1,551","4.9%"
"        5 to 9 years","2,436","4.9%","759","4.4%","36","4.3%","0","-","0","-","1,641","5.2%"
"        10 to 14 years","2,599","5.2%","884","5.2%","36","4.3%","0","-","0","-","1,679","5.3%"
"        15 to 19 years","2,381","4.8%","843","4.9%","34","4.1%","0","-","0","-","1,504","4.7%"
"        20 to 24 years","1,592","3.2%","532","3.1%","34","4.1%","0","-","0","-","1,026","3.2%"
"        25 to 29 years","1,614","3.2%","545","3.2%","27","3.2%","0","-","0","-","1,042","3.3%"
"        30 to 34 years","1,489","3.0%","516","3.0%","26","3.1%","0","-","0","-","947","3.0%"
"        35 to 39 years","1,441","2.9%","488","2.9%","16","1.9%","0","-","0","-","937","2.9%"
"        40 to 44 years","1,582","3.2%","526","3.1%","21","2.5%","0","-","0","-","1,035","3.3%"
"        45 to 49 years","1,559","3.1%","571","3.3%","17","2.0%","0","-","0","-","971","3.1%"
"        50 to 54 years","1,498","3.0%","520","3.0%","24","2.9%","0","-","0","-","954","3.0%"
"        55 to 59 years","1,322","2.7%","473","2.8%","29","3.5%","0","-","0","-","820","2.6%"
"        60 to 64 years","995","2.0%","356","2.1%","17","2.0%","0","-","0","-","622","2.0%"
"        65 to 69 years","672","1.4%","229","1.3%","12","1.4%","0","-","0","-","431","1.4%"
"        70 to 74 years","470","0.9%","161","0.9%","8","1.0%","0","-","0","-","301","0.9%"
"        75 to 79 years","251","0.5%","109","0.6%","5","0.6%","0","-","0","-","137","0.4%"
"        80 to 84 years","163","0.3%","57","0.3%","3","0.4%","0","-","0","-","103","0.3%"
"        85 years and over","95","0.2%","30","0.2%","3","0.4%","0","-","0","-","62","0.2%"
"        Selected Age Categories","","","","","","","","","","","",""
"            16 years and over","16,577","33.3%","5,769","33.8%","271","32.6%","0","-","0","-","10,537","33.1%"
"            18 years and over","15,518","31.2%","5,391","31.6%","255","30.6%","0","-","0","-","9,872","31.0%"
"            21 years and over","14,387","28.9%","4,991","29.3%","237","28.5%","0","-","0","-","9,159","28.8%"
"            62 years and over","2,215","4.5%","777","4.6%","42","5.0%","0","-","0","-","1,396","4.4%"
"            65 years and over","1,651","3.3%","586","3.4%","31","3.7%","0","-","0","-","1,034","3.2%"
"MEDIAN AGE BY SEX","","","","","","","","","","","",""
"    Both sexes","27.7","(X)","29.1","(X)","26.1","(X)","-","(X)","-","(X)","27.0","(X)"
"    Male","27.6","(X)","29.3","(X)","26.3","(X)","-","(X)","-","(X)","26.6","(X)"
"    Female","27.8","(X)","28.8","(X)","25.9","(X)","-","(X)","-","(X)","27.3","(X)"
"RACE","","","","","","","","","","","",""
"    Total population","49,710","100.0%","17,059","100.0%","832","100.0%","0","-","0","-","31,819","100.0%"
"        One Race","47,518","95.6%","16,355","95.9%","802","96.4%","0","-","0","-","30,361","95.4%"
"            Native Hawaiian and Other Pacific Islander","44,090","88.7%","14,956","87.7%","800","96.2%","0","-","0","-","28,334","89.0%"
"                Fijian","333","0.7%","50","0.3%","2","0.2%","0","-","0","-","281","0.9%"
"                Niuean","4","0.0%","3","0.0%","0","0.0%","0","-","0","-","1","0.0%"
"                Samoan","41,382","83.2%","14,427","84.6%","788","94.7%","0","-","0","-","26,167","82.2%"
"                Tokelauan","7","0.0%","4","0.0%","0","0.0%","0","-","0","-","3","0.0%"
"                Tongan","1,093","2.2%","110","0.6%","4","0.5%","0","-","0","-","979","3.1%"
"                Tuvaluan","52","0.1%","11","0.1%","0","0.0%","0","-","0","-","41","0.1%"
"                Other Native Hawaiian and Other Pacific Islander","1,219","2.5%","351","2.1%","6","0.7%","0","-","0","-","862","2.7%"
"            Asian","2,878","5.8%","1,111","6.5%","0","0.0%","0","-","0","-","1,767","5.6%"
"                Asian Indian","24","0.0%","1","0.0%","0","0.0%","0","-","0","-","23","0.1%"
"                Chinese (except Taiwanese)","680","1.4%","286","1.7%","0","0.0%","0","-","0","-","394","1.2%"
"                Filipino","1,699","3.4%","621","3.6%","0","0.0%","0","-","0","-","1,078","3.4%"
"                Japanese","9","0.0%","4","0.0%","0","0.0%","0","-","0","-","5","0.0%"
"                Korean","136","0.3%","31","0.2%","0","0.0%","0","-","0","-","105","0.3%"
"                Taiwanese","21","0.0%","11","0.1%","0","0.0%","0","-","0","-","10","0.0%"
"                Vietnamese","182","0.4%","66","0.4%","0","0.0%","0","-","0","-","116","0.4%"
"                Other Asian","127","0.3%","91","0.5%","0","0.0%","0","-","0","-","36","0.1%"
"            White","374","0.8%","157","0.9%","2","0.2%","0","-","0","-","215","0.7%"
