"Label (Grouping)","United States Virgin Islands!!Number","United States Virgin Islands!!Percent","St. Croix Island, United States Virgin Islands!!Number","St. Croix Island, United States Virgin Islands!!Percent","St. John Island, United States Virgin Islands!!Number","St. John Island, United States Virgin Islands!!Percent","St. Thomas Island, United States Virgin Islands!!Number","St. Thomas Island, United States Virgin Islands!!Percent"
"SEX AND AGE","","","","","","","",""
"    Total population","87,146","100.0%","41,004","100.0%","3,881","100.0%","42,261","100.0%"
"        Under 5 years","4,468","5.1%","2,165","5.3%","156","4.0%","2,147","5.1%"
"        5 to 9 years","4,600","5.3%","2,401","5.9%","162","4.2%","2,037","4.8%"
"        10 to 14 years","5,097","5.8%","2,559","6.2%","174","4.5%","2,364","5.6%"
"        15 to 19 years","4,872","5.6%","2,373","5.8%","152","3.9%","2,347","5.6%"
"        20 to 24 years","4,153","4.8%","1,954","4.8%","143","3.7%","2,056","4.9%"
"        25 to 29 years","4,570","5.2%","2,186","5.3%","188","4.8%","2,196","5.2%"
"        30 to 34 years","4,689","5.4%","2,152","5.2%","244","6.3%","2,293","5.4%"
"        35 to 39 years","5,062","5.8%","2,288","5.6%","274","7.1%","2,500","5.9%"
"        40 to 44 years","5,147","5.9%","2,321","5.7%","283","7.3%","2,543","6.0%"
"        45 to 49 years","5,703","6.5%","2,617","6.4%","320","8.2%","2,766","6.5%"
"        50 to 54 years","6,651","7.6%","2,945","7.2%","337","8.7%","3,369","8.0%"
"        55 to 59 years","6,996","8.0%","3,050","7.4%","380","9.8%","3,566","8.4%"
"        60 to 64 years","6,597","7.6%","3,015","7.4%","317","8.2%","3,265","7.7%"
"        65 to 69 years","5,753","6.6%","2,684","6.5%","253","6.5%","2,816","6.7%"
"        70 to 74 years","5,252","6.0%","2,589","6.3%","240","6.2%","2,423","5.7%"
"        75 to 79 years","3,893","4.5%","1,939","4.7%","142","3.7%","1,812","4.3%"
"        80 to 84 years","2,115","2.4%","1,051","2.6%","84","2.2%","980","2.3%"
"        85 years and over","1,528","1.8%","715","1.7%","32","0.8%","781","1.8%"
"        Selected Age Categories","","","","","","","",""
