STATEID,STATE,NUMREC,TOTBEG,ENDISREL,ENMANREL,ENREINST,ENRELTSR,OTHEN,ENUNK,TOTEN,EXCOM,EXINCNEW,EXINCREV,EXTREAT,EXINCOTH,EXINCUNK,EXABSND,EXTRANS,EXDTH,EXOTHCOM,EXUNSAT,EXOTH,EXUNK,TOTEX,TOTEND,INORCASE,OUTST,OUTSTNUM,OUTSTIN,ANST,ANSTNUM,MAXYEAR,MAXMORE,MAXUNK,TOTMAX,MALE,FEML,GENDUNK,TOTGEND,WHITE,BLACK,HISP,AMINALK,ASIAN,HAWPAC,TWORACE,ADDRACE,UNKRACE,TOTRACE,SXASLT,OTHVIOL2,PROPERTY,DRUG,WEAPON,OTHOFF,OFFUNK,TOTOFF,ACTIVE,FINONLY,INACTIVE,ABSND,OUTSTATE,OTHSTAT,STATUNK,TOTSTAT,HLDFAC,PROBAT,JAIL,PRISON,ICE,RELDISC,RELMAN,RELSPEC,RELTSR,OTHREL,RELUNK,TOTREL,GPS,GPSNUM,GPSSXNUM,IMPEN,IMPEX,UNKEN,UNKEX,UNKINCASE,UNKMAX,UNKGEND,UNKRACE2,UNKOFF,UNKSTAT,UNKREL,INDS,CASES,OUTSTINCL,OUTSTEXCL,ESTOTBEG,ESENDISREL,ESENMANREL,ESENREINST,ESENRELTSR,ESOTHEN,ESENUNK,ESTOTEN,ESEXCOM,ESEXINCNEW,ESEXINCREV,ESEXTREAT,ESEXINCOTH,ESEXINCUNK,ESEXABSND,ESEXTRANS,ESEXDTH,ESEXOTHCOM,ESEXUNSAT,ESEXOTH,ESEXUNK,ESTOTEX,ESTOTEND,ESOUTSTNUM,ESANSTNUM,ESMAXYEAR,ESMAXMORE,ESMAXUNK,ESTOTMAX,ESMALE,ESFEML,ESGENDUNK,ESTOTGEND,ESWHITE,ESBLACK,ESHISP,ESAMINALK,ESASIAN,ESHAWPAC,ESTWORACE,ESADDRACE,ESUNKRACE,ESTOTRACE,ESSXASLT,ESOTHVIOL2,ESPROPERTY,ESDRUG,ESWEAPON,ESOTHOFF,ESOFFUNK,ESTOTOFF,ESACTIVE,ESFINONLY,ESINACTIVE,ESABSND,ESOUTSTATE,ESOTHSTAT,ESSTATUNK,ESTOTSTAT,ESPROBAT,ESJAIL,ESPRISON,ESICE,ESRELDISC,ESRELMAN,ESRELSPEC,ESRELTSR,ESOTHREL,ESRELUNK,ESTOTREL,ESGPSNUM,ESGPSSXNUM,SUPVRATE
0,FE,1,111883,281,0,0,43256,0,0,43537,29108,1,12069,0,0,0,0,0,814,8344,293,0,7321,49606,107872,1,2,-8,-8,2,-8,11584,95609,679,107872,93001,14866,5,107872,35395,39768,25591,2423,1914,287,0,0,2494,107872,7913,4202,15716,53900,17952,8109,80,107872,107872,0,0,0,0,0,0,107872,2,-8,-8,-8,-8,906,0,0,106966,0,0,107872,1,7793,491,43537,49606,0,0,0,0,0,0,0,0,0,114375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1,AL,1,9358,2594,255,1245,-8,0,0,4094,2226,717,120,-8,-8,0,-8,0,100,172,-8,23,0,3186,10266,1,1,1294,1,1,778,-9,-9,10266,10266,9247,963,56,10266,3984,6166,32,5,10,-9,-9,0,69,10266,-9,-9,-9,-9,-9,0,10266,10266,7869,-9,374,832,953,238,0,10266,1,391,199,-9,-9,9951,315,-9,-9,0,0,10266,2,-8,-8,4094,3186,0,0,0,0,0,0,0,0,0,9784,0,1294,0,1,1,1,0,2,2,2,1,1,1,1,2,2,2,2,2,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,270
2,AK,1,1563,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1348,0,-9,-9,-9,-9,-9,-9,-9,1348,1348,-9,-9,1348,1348,-9,-9,-9,-9,-9,-9,-9,-9,1348,1348,-9,-9,-9,-9,-9,-9,1348,1348,-9,-9,-9,-9,-9,-9,1348,1348,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1348,1348,1,-9,-9,500,700,-9,-9,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
4,AZ,1,7537,9856,49,50,41,1736,0,11732,8166,19,2535,0,0,0,39,77,59,0,865,50,0,11733,7536,1,1,230,1,1,612,1002,6534,0,7536,6379,1157,0,7536,3086,911,2854,522,33,0,0,0,130,7536,164,2030,1667,2570,315,790,0,7536,4184,0,1304,1104,225,719,0,7536,1,47,18,60,641,161,3,0,6073,675,624,7536,1,132,121,11732,11733,0,0,0,0,0,0,0,0,0,7537,0,230,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,135
5,AR,1,23782,8878,38,0,1898,0,0,10814,4313,567,4736,0,0,0,0,0,192,659,0,33,0,9841,24698,1,1,1831,1,1,97,0,24698,0,24698,20508,4190,0,24698,15055,8562,873,72,106,14,0,0,16,24698,1019,4545,6667,9351,1124,1992,0,24698,16214,0,2407,3129,1830,1118,0,24698,1,7581,1243,489,538,24550,133,15,0,0,0,24698,1,243,71,10814,9841,0,0,0,0,0,0,0,0,0,23801,0,1831,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1066
6,CA,3,95148,-9,-9,-9,-9,-9,48327,48327,-9,-9,-9,-9,-9,0,-9,507,-9,-9,-9,-9,50162,50162,102586,1,1,638,1,-9,-9,-9,-9,102586,102586,-9,-9,102586,102586,-9,-9,-9,-9,-9,-9,-9,0,102586,102586,-9,-9,-9,-9,-9,-9,102586,102586,-9,-9,-9,-9,-9,-9,102586,102586,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,102586,102586,1,-9,-9,48327,50162,0,0,45899,0,0,0,0,0,0,49249,0,638,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,334
8,CO,1,10237,3649,3588,1235,0,126,0,8598,4142,1200,2558,0,0,1,0,57,111,11,0,65,0,8076,10759,1,1,1336,1,2,-8,1173,9586,0,10759,9071,1688,0,10759,5508,1618,3185,336,112,-8,-8,0,0,10759,962,3160,3058,1466,152,1961,0,10759,8653,-8,-8,705,1401,0,0,10759,1,-8,1398,-8,-8,5730,4929,0,0,0,100,10759,1,1143,259,8598,8076,0,0,0,0,0,0,0,0,0,10237,0,1336,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,241
9,CT,1,3548,1210,-9,605,1631,0,0,3446,1591,-9,-9,-9,915,0,-8,0,-9,0,36,-8,0,2542,4452,1,1,357,1,2,-8,0,4452,0,4452,4170,282,0,4452,1317,1771,1338,8,18,-9,-9,0,0,4452,781,1498,245,553,119,65,1191,4452,3829,-8,-8,225,398,0,0,4452,1,0,0,25,162,1219,0,5,2604,624,0,4452,1,523,124,3446,2542,0,0,0,0,0,0,0,0,0,3517,0,357,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,157
10,DE,1,368,-9,-9,-9,-9,0,125,125,26,1,1,-9,-9,-9,-9,-9,3,0,0,112,0,143,350,1,1,19,1,1,225,-9,-9,350,350,326,24,0,350,138,198,11,0,1,0,0,0,2,350,32,87,35,43,19,134,0,350,314,0,0,19,17,0,0,350,1,-9,-9,-9,-9,-9,-9,-9,-9,0,350,350,1,-9,-9,125,143,0,0,0,0,0,0,0,0,0,368,0,19,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,2,2,0,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,46
11,DC,1,3476,176,0,0,965,0,0,1141,576,0,0,0,565,0,0,72,64,0,124,124,0,1453,3164,1,1,1,1,2,-8,0,3164,0,3164,2993,171,0,3164,43,3022,81,3,2,0,0,0,13,3164,147,1478,0,642,372,506,19,3164,1863,0,3,397,2,899,0,3164,1,166,0,510,52,796,0,0,2368,0,0,3164,1,100,15,1141,1453,0,0,0,0,0,0,0,0,0,3492,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,548
