STATEID,STATE,NUMREC,TOTBEG,ENNOINC,ENINC,OTHEN,ENUNK,TOTEN,EXCOM,EXINCNEW,EXINCURR,EXTREAT,EXINCOTH,EXINCUNK,EXABSND,EXWRNT,EXTRANS,EXDTH,EXOTHCOM,EXUNSAT,EXOTH,EXUNK,TOTEX,TOTEND,INORCASE,MALE,FEML,GENDUNK,TOTGEND,WHITE,BLACK,HISP,AMINALK,ASIAN,HAWPAC,TWORACE,ADDRACE,UNKRACE,TOTRACE,FELONY,MISD,OTHSROFF,SROFFUNK,TOTSROFF,DMVIOL,SXASLT,OTHVIOL,PROPERTY,DRUG,DUI,TRAF,OTHOFF,OFFUNK,TOTOFF,OUTST,OUTSTNUM,OUTSTIN,ANST,ANSTNUM,REPTPREV,HLDFAC,PAROLE,JAIL,PRISON,CBCF,ICE,DIRECT,SPLIT,SPNDEXC,SPNDIMP,OTHSUP,SUPUNK,TOTSUP,ACTIVE,RESTX,FINONLY,INACTIVE,ABSND,WRNT,OUTJURS,OTHSTAT,STATUNK,TOTSTAT,GPS,GPSNUM,GPSSXNUM,IMPEN,IMPEX,UNKEN,UNKEX,UNKINCASE,UNKGEND,UNKRACE2,UNKSROFF,UNKSROFF2,UNKSUP,UNKSTAT,INDS,CASES,OUTSTINCL,OUTSTEXCL,ESTOTBEG,ESENNOINC,ESENINC,ESOTHEN,ESENUNK,ESTOTEN,ESEXCOM,ESEXINCNEW,ESEXINCURR,ESEXTREAT,ESEXINCOTH,ESEXINCUNK,ESEXABSND,ESEXWRNT,ESEXTRANS,ESEXDTH,ESEXOTHCOM,ESEXUNSAT,ESEXOTH,ESEXUNK,ESTOTEX,ESTOTEND,ESMALE,ESFEML,ESGENDUNK,ESTOTGEND,ESWHITE,ESBLACK,ESHISP,ESAMINALK,ESASIAN,ESHAWPAC,ESTWORACE,ESADDRACE,ESUNKRACE,ESTOTRACE,ESFELONY,ESMISD,ESOTHSROFF,ESSROFFUNK,ESTOTSROFF,ESDMVIOL,ESSXASLT,ESOTHVIOL,ESPROPERTY,ESDRUG,ESDUI,ESTRAF,ESOTHOFF,ESOFFUNK,ESTOTOFF,ESOUTSTNUM,ESANSTNUM,ESPAROLE,ESJAIL,ESPRISON,ESCBCF,ESICE,ESDIRECT,ESSPLIT,ESSPNDEXC,ESSPNDIMP,ESOTHSUP,ESSUPUNK,ESTOTSUP,ESACTIVE,ESRESTX,ESFINONLY,ESINACTIVE,ESABSND,ESWRNT,ESOUTJURS,ESOTHSTAT,ESSTATUNK,ESTOTSTAT,ESGPSNUM,ESGPSSXNUM,SUPVRATE
0,FE,1,16314,7111,0,0,0,7111,6992,0,772,0,0,0,0,0,0,85,0,854,0,432,8363,14943,1,9214,5519,210,14943,6139,3836,3157,429,473,45,0,0,864,14943,11785,3102,46,10,14943,0,164,443,5918,2971,0,1151,4280,16,14943,2,-9,-9,2,-9,1,2,-8,-8,-8,-8,-8,17284,0,0,0,0,0,14943,14943,0,0,0,0,0,0,0,0,14943,1,3807,41,7111,8363,0,0,0,0,0,0,0,0,0,17284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,AL,3,51961,8795,1720,0,3909,14424,11971,1749,581,20,-9,-9,-9,9,-9,334,0,2359,-9,676,15340,50997,1,37291,13406,300,50997,20227,15556,572,78,47,-9,-9,0,14517,50997,-9,220,0,50777,50997,1500,-9,2544,1800,1900,2500,3900,0,36853,50997,1,3171,1,1,3125,-9,1,391,1882,-9,-9,-9,39835,10777,-9,-9,0,616,50997,30651,-9,-9,2398,-9,14858,2711,159,220,50997,1,-9,-9,14424,15340,0,0,616,0,0,0,0,0,0,50612,0,3171,0,1,1,1,0,1,3,1,1,1,0,0,0,0,1,0,1,1,0,1,0,3,3,1,1,1,3,1,1,1,1,1,0,0,0,3,3,0,2,0,1,3,1,0,1,1,1,1,1,0,1,3,1,1,0,1,0,0,0,3,1,0,0,0,0,3,1,0,0,1,0,3,1,1,0,3,0,0,1339
2,AK,1,2491,53,1369,-9,-8,888,1163,650,-8,-8,-9,-8,210,-8,-9,7,-9,860,24,0,1305,2074,-9,1695,379,0,2074,1143,189,63,552,75,20,32,0,0,2074,1564,295,-9,215,2074,-9,291,532,349,213,328,-8,146,215,2074,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-9,-9,-9,-9,-9,6621,2074,2074,0,0,0,0,0,0,0,0,2074,1,-9,-9,888,1305,0,-9,6621,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375
4,AZ,1,77129,15992,7126,0,0,23118,16735,-9,5608,-8,0,567,-9,-9,-9,342,-9,6175,151,0,23403,76844,1,60748,16094,2,76844,36710,9433,24724,4372,530,-9,-9,0,1075,76844,58054,4550,14209,31,76844,822,5898,7875,8533,9833,1907,305,2253,39418,76844,1,2547,1,1,1360,1,1,-9,2034,-9,-9,352,0,0,77129,0,0,0,76844,43609,-9,-9,-9,-9,10899,2678,19658,0,76844,1,192,192,23118,23403,0,0,0,0,0,0,0,0,0,77129,0,2547,0,1,1,1,2,2,2,1,0,1,0,1,2,0,0,0,1,0,0,1,2,2,1,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,1,2,2,1,2,2,2,1,1,0,0,0,0,1,1,1,2,1,0,0,1375
5,AR,1,33622,10352,101,2797,0,13250,5543,593,3118,703,0,0,0,-8,-8,238,0,4422,13,0,10216,36719,1,24800,11919,0,36719,25112,9690,1455,106,94,58,0,0,204,36719,35723,996,0,0,36719,1663,1107,1936,11282,14875,86,0,5000,770,36719,1,1445,1,1,148,1,1,1205,1954,187,274,267,31170,747,0,1633,181,0,36719,21603,274,0,3579,6011,0,1552,3700,0,36719,1,20,12,13250,10216,0,0,0,0,0,0,0,0,0,33731,0,1445,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1584
6,CA,1,233046,-9,-9,-9,119639,119639,71868,0,46479,0,-9,18282,0,0,-9,0,-9,64761,0,0,136629,209765,1,-9,-9,209765,209765,-9,-9,-9,-9,-9,-9,-9,0,209765,209765,166746,43019,0,0,209765,-9,-9,-9,-9,-9,-9,-9,-9,209765,209765,2,-9,-9,2,-9,2,2,-8,-8,-8,-8,-8,-9,-9,-9,-9,0,233046,209765,-9,-9,-9,-9,-9,-9,-9,-9,209765,209765,1,-9,-9,119639,136629,0,0,0,0,0,0,0,0,0,233046,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,684
8,CO,8,81125,45933,427,5297,4439,56096,33101,196,887,0,0,8515,6008,0,4577,459,0,15930,5178,1236,55904,80537,3,57429,21732,1376,80537,61754,6982,7878,911,831,0,0,0,2181,80537,23499,54672,812,1554,80537,1244,48,233,629,111,1973,439,830,75030,80537,1,2415,3,1,1266,-9,1,-9,-9,-9,3383,-9,5436,221,541,0,260,74418,80537,4469,299,0,460,231,203,2419,2,72454,80537,1,2993,-9,56096,56300,0,0,0,0,0,0,0,0,0,73699,7177,2295,120,3,3,1,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,0,2,0,2,0,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,0,0,1801
9,CT,1,40307,17169,4579,0,0,21748,18891,-9,-9,0,-9,0,289,2635,-9,-9,-9,2924,786,0,22601,38668,1,29924,8744,0,38668,17189,10512,9837,-9,-9,-9,-9,0,1130,38668,19568,18332,768,0,38668,7405,2416,6821,7915,4476,4415,2361,-9,2859,38668,1,1552,2,2,-9,2,1,-9,-9,1979,-8,-9,-9,13765,18115,8480,0,0,38668,33041,0,0,0,0,4220,1407,0,0,38668,1,742,336,21748,22601,0,0,0,0,0,0,0,0,0,40360,0,0,1552,1,2,2,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1362
10,DE,1,15010,-9,-9,0,10528,10528,6946,308,848,-9,-9,-9,-9,-9,-9,126,0,2625,1665,0,11362,14176,1,10797,3379,0,14176,6956,6273,869,4,33,0,0,0,41,14176,3842,8070,0,2264,14176,157,185,911,1280,597,985,161,9900,0,14176,1,365,1,1,686,2,1,-9,-9,-9,-9,-9,5104,9243,-9,663,0,0,14176,9082,-9,1280,-9,3447,-9,367,0,0,14176,1,-9,-9,10528,11362,0,0,0,0,0,0,0,0,0,15010,0,365,0,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,2,0,0,1844
11,DC,1,5684,3689,556,0,0,4245,3344,0,0,0,0,794,0,0,2,49,0,903,69,0,4365,5564,1,4585,979,0,5564,361,4761,358,4,23,3,0,0,54,5564,2026,1097,2141,300,5564,0,145,465,0,862,0,0,3936,156,5564,1,399,1,2,-9,2,1,166,0,366,0,9,4205,858,0,97,565,0,5564,2927,72,0,392,25,990,465,693,0,5564,1,97,5,4245,4365,0,0,0,0,0,0,0,0,0,5725,0,399,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,964
