time_period,state_fips,total_state_leg_count
2026,56,93
2025,56,93
2024,56,93
2023,56,93
2022,56,90
2021,56,90
2020,56,90
2019,56,90
2018,56,90
2017,56,90
2016,56,90
2015,56,90
2014,56,90
2013,56,90
2012,56,90
2011,56,90
2010,56,90
2009,56,90
2008,56,90
2007,56,90
2006,56,90
2005,56,90
2004,56,90
2003,56,90
2002,56,90
2001,56,90
2000,56,90
1999,56,90
1998,56,90
1997,56,90
1996,56,90
1995,56,90
1994,56,90
1993,56,90
1992,56,94
1991,56,94
1990,56,94
1989,56,94
1988,56,94
1987,56,94
1986,56,94
1985,56,94
1984,56,94
1983,56,94
1982,56,92
1981,56,92
1980,56,92
1979,56,92
1978,56,92
1977,56,92
1976,56,92
1975,56,92
