time_period,state_fips,total_state_leg_count
"1952","72",58
"1953","72",58
"1954","72",58
"1955","72",58
"1956","72",58
"1957","72",58
"1958","72",58
"1959","72",58
"1960","72",58
"1961","72",58
"1962","72",58
"1963","72",58
"1964","72",58
"1965","72",58
"1966","72",58
"1967","72",58
"1968","72",58
"1969","72",58
"1970","72",58
"1971","72",58
"1972","72",58
"1973","72",58
"1974","72",58
"1975","72",58
"1976","72",58
"1977","72",58
"1978","72",58
"1979","72",58
"1980","72",58
"1981","72",58
"1982","72",58
"1983","72",58
"1984","72",58
"1985","72",58
"1986","72",58
"1987","72",58
"1988","72",58
"1989","72",58
"1990","72",58
"1991","72",58
"1992","72",58
"1993","72",58
"1994","72",58
"1995","72",58
"1996","72",15
"1997","72",15
"1998","72",15
"1999","72",15
"2000","72",15
"2001","72",15
"2002","72",15
"2003","72",15
"2004","72",15
"2005","72",15
"2006","72",15
"2007","72",15
"2008","72",15
"2009","72",15
"2010","72",15
"2011","72",15
"2012","72",15
"2013","72",15
"2014","72",15
"2015","72",15
"2016","72",15
"2017","72",15
"2018","72",15
"2019","72",15
"2020","72",15
"2021","72",15
"2022","72",15
"2023","72",15
