Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,1,30-34 years,30-34,54,301295,17.9
,1999,1999,Breast,26000,Alabama,1,35-39 years,35-39,137,342932,39.9
,1999,1999,Breast,26000,Alabama,1,40-44 years,40-44,221,344000,64.2
,1999,1999,Breast,26000,Alabama,1,45-49 years,45-49,281,309892,90.7
,1999,1999,Breast,26000,Alabama,1,50-54 years,50-54,364,275759,132
,1999,1999,Breast,26000,Alabama,1,55-59 years,55-59,330,220728,149.5
,1999,1999,Breast,26000,Alabama,1,60-64 years ,60-64,356,189814,187.6
,1999,1999,Breast,26000,Alabama,1,65-69 years,65-69,332,167363,198.4
,1999,1999,Breast,26000,Alabama,1,70-74 years,70-74,344,148565,231.5
,1999,1999,Breast,26000,Alabama,1,75-79 years,75-79,279,117897,236.6
,1999,1999,Breast,26000,Alabama,1,80-84 years,80-84,189,76876,245.9
,1999,1999,Breast,26000,Alabama,1,85+ years,85+,129,65953,195.6
,1999,1999,Breast,26000,Alaska,2,35-39 years,35-39,17,57719,29.5
,1999,1999,Breast,26000,Alaska,2,40-44 years,40-44,36,59162,60.8
,1999,1999,Breast,26000,Alaska,2,45-49 years,45-49,44,52540,83.7
,1999,1999,Breast,26000,Alaska,2,50-54 years,50-54,51,39580,128.9
,1999,1999,Breast,26000,Alaska,2,55-59 years,55-59,36,26381,136.5
,1999,1999,Breast,26000,Alaska,2,60-64 years ,60-64,31,16960,182.8
,1999,1999,Breast,26000,Alaska,2,65-69 years,65-69,21,12219,171.9
,1999,1999,Breast,26000,Alaska,2,70-74 years,70-74,25,9512,262.8
,1999,1999,Breast,26000,Alaska,2,75-79 years,75-79,19,6525,291.2
,1999,1999,Breast,26000,Arizona,4,30-34 years,30-34,38,367109,10.4
,1999,1999,Breast,26000,Arizona,4,35-39 years,35-39,106,393281,27
,1999,1999,Breast,26000,Arizona,4,40-44 years,40-44,196,368155,53.2
,1999,1999,Breast,26000,Arizona,4,45-49 years,45-49,281,322567,87.1
,1999,1999,Breast,26000,Arizona,4,50-54 years,50-54,353,282200,125.1
,1999,1999,Breast,26000,Arizona,4,55-59 years,55-59,365,229310,159.2
,1999,1999,Breast,26000,Arizona,4,60-64 years ,60-64,374,198437,188.5
