Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,15-19 years,15-19,16,19785979,0.1
,1999,1999,Breast,26000,20-24 years,20-24,123,18328417,0.7
,1999,1999,Breast,26000,25-29 years,25-29,780,19333894,4
,1999,1999,Breast,26000,30-34 years,30-34,2802,20371091,13.8
,1999,1999,Breast,26000,35-39 years,35-39,7089,22611624,31.4
,1999,1999,Breast,26000,40-44 years,40-44,13448,21924672,61.3
,1999,1999,Breast,26000,45-49 years,45-49,18934,19413875,97.5
,1999,1999,Breast,26000,50-54 years,50-54,22342,16718890,133.6
,1999,1999,Breast,26000,55-59 years,55-59,21741,12922630,168.2
,1999,1999,Breast,26000,60-64 years ,60-64,20807,10551544,197.2
,1999,1999,Breast,26000,65-69 years,65-69,21617,9416383,229.6
,1999,1999,Breast,26000,70-74 years,70-74,23178,8763864,264.5
,1999,1999,Breast,26000,75-79 years,75-79,21150,7251311,291.7
,1999,1999,Breast,26000,80-84 years,80-84,14181,4820265,294.2
,1999,1999,Breast,26000,85+ years,85+,11857,4095902,289.5
,2000,2000,Breast,26000,20-24 years,20-24,121,18848983,0.6
,2000,2000,Breast,26000,25-29 years,25-29,798,19044554,4.2
,2000,2000,Breast,26000,30-34 years,30-34,2718,20289179,13.4
,2000,2000,Breast,26000,35-39 years,35-39,6953,22382940,31.1
,2000,2000,Breast,26000,40-44 years,40-44,13421,22245365,60.3
,2000,2000,Breast,26000,45-49 years,45-49,19505,19972154,97.7
,2000,2000,Breast,26000,50-54 years,50-54,22734,17563484,129.4
,2000,2000,Breast,26000,55-59 years,55-59,22500,13399105,167.9
,2000,2000,Breast,26000,60-64 years ,60-64,21286,10720153,198.6
,2000,2000,Breast,26000,65-69 years,65-69,21566,9398861,229.5
,2000,2000,Breast,26000,70-74 years,70-74,22210,8746579,253.9
,2000,2000,Breast,26000,75-79 years,75-79,20543,7347313,279.6
,2000,2000,Breast,26000,80-84 years,80-84,14091,4921341,286.3
,2000,2000,Breast,26000,85+ years,85+,11697,4203260,278.3
,2001,2001,Breast,26000,15-19 years,15-19,23,20227701,0.1
,2001,2001,Breast,26000,20-24 years,20-24,131,19536435,0.7
,2001,2001,Breast,26000,25-29 years,25-29,785,18634669,4.2
,2001,2001,Breast,26000,30-34 years,30-34,2907,20462391,14.2
,2001,2001,Breast,26000,35-39 years,35-39,6887,22030086,31.3
,2001,2001,Breast,26000,40-44 years,40-44,13648,22601240,60.4
