Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,1,Female,F,3008,2293259,131.2
,1999,1999,Breast,26000,Alabama,1,Male,M,24,2136882,1.1
,1999,1999,Breast,26000,Alaska,2,Female,F,306,301266,101.6
,1999,1999,Breast,26000,Arizona,4,Female,F,3317,2518299,131.7
,1999,1999,Breast,26000,Arizona,4,Male,M,37,2505524,1.5
,1999,1999,Breast,26000,Arkansas,5,Female,F,1851,1359445,136.2
,1999,1999,Breast,26000,California,6,Female,F,21925,16800161,130.5
,1999,1999,Breast,26000,California,6,Male,M,136,16699043,0.8
,1999,1999,Breast,26000,Colorado,8,Female,F,2858,2101358,136
,1999,1999,Breast,26000,Colorado,8,Male,M,19,2124660,0.9
,1999,1999,Breast,26000,Connecticut,9,Female,F,2974,1747148,170.2
,1999,1999,Breast,26000,Connecticut,9,Male,M,20,1639253,1.2
,1999,1999,Breast,26000,Delaware,10,Female,F,585,398732,146.7
,1999,1999,Breast,26000,District of Columbia,11,Female,F,448,301797,148.4
,1999,1999,Breast,26000,Florida,12,Female,F,13577,8073847,168.2
,1999,1999,Breast,26000,Florida,12,Male,M,120,7685574,1.6
,1999,1999,Breast,26000,Georgia,13,Female,F,4736,4096031,115.6
,1999,1999,Breast,26000,Georgia,13,Male,M,39,3949934,1
,1999,1999,Breast,26000,Hawaii,15,Female,F,880,601830,146.2
,1999,1999,Breast,26000,Idaho,16,Female,F,816,636798,128.1
,1999,1999,Breast,26000,Illinois,17,Female,F,9062,6313350,143.5
,1999,1999,Breast,26000,Illinois,17,Male,M,74,6045670,1.2
,1999,1999,Breast,26000,Indiana,18,Female,F,4367,3083351,141.6
,1999,1999,Breast,26000,Indiana,18,Male,M,35,2961618,1.2
,1999,1999,Breast,26000,Iowa,19,Female,F,2335,1488223,156.9
,1999,1999,Breast,26000,Kansas,20,Female,F,1975,1356044,145.6
,1999,1999,Breast,26000,Kentucky,21,Female,F,2914,2056401,141.7
,1999,1999,Breast,26000,Kentucky,21,Male,M,19,1961652,1
,1999,1999,Breast,26000,Louisiana,22,Female,F,2978,2302744,129.3
,1999,1999,Breast,26000,Louisiana,22,Male,M,23,2158067,1.1
,1999,1999,Breast,26000,Maine,23,Female,F,995,650598,152.9
,1999,1999,Breast,26000,Maryland,24,Female,F,3899,2716928,143.5
,1999,1999,Breast,26000,Maryland,24,Male,M,41,2537581,1.6
,1999,1999,Breast,26000,Massachusetts,25,Female,F,5200,3274830,158.8
,1999,1999,Breast,26000,Massachusetts,25,Male,M,38,3042515,1.2
,1999,1999,Breast,26000,Michigan,26,Female,F,7164,5047770,141.9
,1999,1999,Breast,26000,Michigan,26,Male,M,60,4849346,1.2
,1999,1999,Breast,26000,Minnesota,27,Female,F,3491,2462931,141.7
,1999,1999,Breast,26000,Minnesota,27,Male,M,21,2410550,0.9
,1999,1999,Breast,26000,Missouri,29,Female,F,4097,2860166,143.2
,1999,1999,Breast,26000,Missouri,29,Male,M,29,2701782,1.1
,1999,1999,Breast,26000,Montana,30,Female,F,711,450543,157.8
,1999,1999,Breast,26000,Nebraska,31,Female,F,1258,865531,145.3
,1999,1999,Breast,26000,Nevada,32,Female,F,1018,949422,107.2
,1999,1999,Breast,26000,New Hampshire,33,Female,F,903,621409,145.3
,1999,1999,Breast,26000,New Jersey,34,Female,F,6751,4304271,156.8
,1999,1999,Breast,26000,New Jersey,34,Male,M,56,4055321,1.4
,1999,1999,Breast,26000,New Mexico,35,Female,F,1178,918661,128.2
,1999,1999,Breast,26000,New York,36,Female,F,14214,9777654,145.4
,1999,1999,Breast,26000,New York,36,Male,M,109,9105071,1.2
,1999,1999,Breast,26000,North Carolina,37,Female,F,5540,4062710,136.4
,1999,1999,Breast,26000,North Carolina,37,Male,M,39,3886651,1
,1999,1999,Breast,26000,North Dakota,38,Female,F,478,322617,148.2
,1999,1999,Breast,26000,Ohio,39,Female,F,8787,5835017,150.6
,1999,1999,Breast,26000,Ohio,39,Male,M,65,5500437,1.2
,1999,1999,Breast,26000,Oklahoma,40,Female,F,2553,1748783,146
,1999,1999,Breast,26000,Oregon,41,Female,F,2865,1712226,167.3
,1999,1999,Breast,26000,Oregon,41,Male,M,23,1681715,1.4
,1999,1999,Breast,26000,Pennsylvania,42,Female,F,10415,6347064,164.1
,1999,1999,Breast,26000,Pennsylvania,42,Male,M,96,5916741,1.6
,1999,1999,Breast,26000,Rhode Island,44,Female,F,841,540724,155.5
,1999,1999,Breast,26000,South Carolina,45,Female,F,2839,2045606,138.8
,1999,1999,Breast,26000,South Carolina,45,Male,M,24,1929076,1.2
,1999,1999,Breast,26000,Tennessee,47,Female,F,3673,2897466,126.8
,1999,1999,Breast,26000,Tennessee,47,Male,M,34,2741240,1.2
,1999,1999,Breast,26000,Texas,48,Female,F,12088,10360202,116.7
,1999,1999,Breast,26000,Texas,48,Male,M,86,10198018,0.8
,1999,1999,Breast,26000,Utah,49,Female,F,1006,1100167,91.4
,1999,1999,Breast,26000,Vermont,50,Female,F,514,308398,166.7
