Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Female,F,198557,140394214,141.4
,1999,1999,Breast,26000,Male,M,1512,135067134,1.1
,2000,2000,Breast,26000,Female,F,198661,141865770,140
,2000,2000,Breast,26000,Male,M,1497,136692444,1.1
,2001,2001,Breast,26000,Female,F,201305,143603977,140.2
,2001,2001,Breast,26000,Male,M,1468,138511984,1.1
,2002,2002,Breast,26000,Female,F,200544,144919222,138.4
,2002,2002,Breast,26000,Male,M,1506,139847290,1.1
,2003,2003,Breast,26000,Female,F,195464,147679036,132.4
,2003,2003,Breast,26000,Male,M,1621,142428897,1.1
,2004,2004,Breast,26000,Female,F,196605,148977286,132
,2004,2004,Breast,26000,Male,M,1641,143828012,1.1
,2005,2005,Breast,26000,Female,F,199747,150213467,133
,2005,2005,Breast,26000,Male,M,1596,145099195,1.1
,2006,2006,Breast,26000,Female,F,204373,151732647,134.7
,2006,2006,Breast,26000,Male,M,1657,146647265,1.1
,2007,2007,Breast,26000,Female,F,210782,153166353,137.6
,2007,2007,Breast,26000,Male,M,1769,148064854,1.2
,2008,2008,Breast,26000,Female,F,216670,154604015,140.1
,2008,2008,Breast,26000,Male,M,1881,149489951,1.3
,2009,2009,Breast,26000,Female,F,222321,155964075,142.5
,2009,2009,Breast,26000,Male,M,1850,150807454,1.2
,2010,2010,Breast,26000,Female,F,219197,157247406,139.4
,2010,2010,Breast,26000,Male,M,1941,152134841,1.3
,2011,2011,Breast,26000,Female,F,227374,158358565,143.6
,2011,2011,Breast,26000,Male,M,1927,153502059,1.3
,2012,2012,Breast,26000,Female,F,230999,159454409,144.9
,2012,2012,Breast,26000,Male,M,1986,154917037,1.3
,2013,2013,Breast,26000,Female,F,237796,160501695,148.2
,2013,2013,Breast,26000,Male,M,2098,156263353,1.3
,2014,2014,Breast,26000,Female,F,242208,161623478,149.9
,2014,2014,Breast,26000,Male,M,2088,157671238,1.3
,2015,2015,Breast,26000,Female,F,248478,162741254,152.7
,2015,2015,Breast,26000,Male,M,2233,159109267,1.4
,2016,2016,Breast,26000,Female,F,251140,163864557,153.3
,2016,2016,Breast,26000,Male,M,2146,160513350,1.3
,2017,2017,Breast,26000,Female,F,256159,164851027,155.4
,2017,2017,Breast,26000,Male,M,2250,161760158,1.4
,2018,2018,Breast,26000,Female,F,262303,165690421,158.3
,2018,2018,Breast,26000,Male,M,2292,162835512,1.4
,2019,2019,Breast,26000,Female,F,271950,166422836,163.4
,2019,2019,Breast,26000,Male,M,2395,163799172,1.5
,2020,2020,Breast,26000,Female,F,245070,163570448,149.8
,2020,2020,Breast,26000,Male,M,2156,161152265,1.3
,2021,2021,Breast,26000,Female,F,272454,163880835,166.3
,2021,2021,Breast,26000,Male,M,2349,161337187,1.5
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Incidence",,,,,,,,,
Query Parameters:,,,,,,,,,
Leading Cancer Sites: Breast,,,,,,,,,
Group By: Year; Leading Cancer Sites; Sex,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/cancer-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Aug 19, 2024 1:02:52 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2023 submission; 2024",,,,,,,,,
"release. Accessed at http://wonder.cdc.gov/cancer-v2021.html on Aug 19, 2024 1:02:52 PM",,,,,,,,,
---,,,,,,,,,
Footnotes:,,,,,,,,,
"1. Data for in situ breast cancers are listed separately and are not included in the ""All Invasive Cancer Sites Combined"" or",,,,,,,,,
"""Male and Female Breast"" cancer categories.",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data,,,,,,,,,
shown for the United States are diagnoses and populations from included registries only.,,,,,,,,,
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for",,,,,,,,,
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define",,,,,,,,,
standard groupings of primary cancer sites.,,,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
