Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,1,3032,4430141,68.4
,1999,1999,Breast,26000,Alaska,2,307,624779,49.1
,1999,1999,Breast,26000,Arizona,4,3354,5023823,66.8
,1999,1999,Breast,26000,Arkansas,5,1866,2651860,70.4
,1999,1999,Breast,26000,California,6,22061,33499204,65.9
,1999,1999,Breast,26000,Colorado,8,2877,4226018,68.1
,1999,1999,Breast,26000,Connecticut,9,2994,3386401,88.4
,1999,1999,Breast,26000,Delaware,10,597,774990,77
,1999,1999,Breast,26000,District of Columbia,11,450,570213,78.9
,1999,1999,Breast,26000,Florida,12,13697,15759421,86.9
,1999,1999,Breast,26000,Georgia,13,4775,8045965,59.3
,1999,1999,Breast,26000,Hawaii,15,881,1210300,72.8
,1999,1999,Breast,26000,Idaho,16,824,1275674,64.6
,1999,1999,Breast,26000,Illinois,17,9136,12359020,73.9
,1999,1999,Breast,26000,Indiana,18,4402,6044969,72.8
,1999,1999,Breast,26000,Iowa,19,2348,2917634,80.5
,1999,1999,Breast,26000,Kansas,20,1990,2678338,74.3
,1999,1999,Breast,26000,Kentucky,21,2933,4018053,73
,1999,1999,Breast,26000,Louisiana,22,3001,4460811,67.3
,1999,1999,Breast,26000,Maine,23,1003,1266808,79.2
,1999,1999,Breast,26000,Maryland,24,3940,5254509,75
,1999,1999,Breast,26000,Massachusetts,25,5238,6317345,82.9
,1999,1999,Breast,26000,Michigan,26,7224,9897116,73
,1999,1999,Breast,26000,Minnesota,27,3512,4873481,72.1
,1999,1999,Breast,26000,Missouri,29,4126,5561948,74.2
,1999,1999,Breast,26000,Montana,30,715,897507,79.7
,1999,1999,Breast,26000,Nebraska,31,1264,1704764,74.1
,1999,1999,Breast,26000,Nevada,32,1028,1934718,53.1
,1999,1999,Breast,26000,New Hampshire,33,911,1222014,74.5
,1999,1999,Breast,26000,New Jersey,34,6807,8359592,81.4
,1999,1999,Breast,26000,New Mexico,35,1181,1808082,65.3
,1999,1999,Breast,26000,New York,36,14323,18882725,75.9
,1999,1999,Breast,26000,North Carolina,37,5579,7949361,70.2
,1999,1999,Breast,26000,North Dakota,38,482,644259,74.8
,1999,1999,Breast,26000,Ohio,39,8852,11335454,78.1
,1999,1999,Breast,26000,Oklahoma,40,2563,3437147,74.6
,1999,1999,Breast,26000,Oregon,41,2888,3393941,85.1
,1999,1999,Breast,26000,Pennsylvania,42,10511,12263805,85.7
,1999,1999,Breast,26000,Rhode Island,44,845,1040402,81.2
,1999,1999,Breast,26000,South Carolina,45,2863,3974682,72
,1999,1999,Breast,26000,Tennessee,47,3707,5638706,65.7
,1999,1999,Breast,26000,Texas,48,12174,20558220,59.2
,1999,1999,Breast,26000,Utah,49,1012,2203482,45.9
,1999,1999,Breast,26000,Vermont,50,516,604683,85.3
,1999,1999,Breast,26000,Virginia,51,4821,7000174,68.9
,1999,1999,Breast,26000,Washington,53,4562,5842564,78.1
,1999,1999,Breast,26000,West Virginia,54,1453,1811799,80.2
,1999,1999,Breast,26000,Wisconsin,55,4104,5332666,77
,1999,1999,Breast,26000,Wyoming,56,340,491780,69.1
,2000,2000,Breast,26000,Alabama,1,2993,4452173,67.2
,2000,2000,Breast,26000,Alaska,2,363,627963,57.8
,2000,2000,Breast,26000,Arizona,4,3438,5160586,66.6
,2000,2000,Breast,26000,Arkansas,5,1887,2678588,70.4
,2000,2000,Breast,26000,California,6,22108,33987977,65
,2000,2000,Breast,26000,Colorado,8,2806,4326921,64.8
,2000,2000,Breast,26000,Connecticut,9,2903,3411777,85.1
,2000,2000,Breast,26000,Delaware,10,611,786373,77.7
,2000,2000,Breast,26000,District of Columbia,11,435,572046,76
,2000,2000,Breast,26000,Florida,12,13733,16047515,85.6
,2000,2000,Breast,26000,Georgia,13,5076,8227303,61.7
,2000,2000,Breast,26000,Hawaii,15,789,1213519,65
,2000,2000,Breast,26000,Idaho,16,857,1299430,66
,2000,2000,Breast,26000,Illinois,17,8901,12434161,71.6
,2000,2000,Breast,26000,Indiana,18,4255,6091866,69.8
,2000,2000,Breast,26000,Iowa,19,2210,2929067,75.5
,2000,2000,Breast,26000,Kansas,20,1978,2693681,73.4
,2000,2000,Breast,26000,Kentucky,21,2860,4049021,70.6
,2000,2000,Breast,26000,Louisiana,22,2998,4471885,67
,2000,2000,Breast,26000,Maine,23,1090,1277072,85.4
,2000,2000,Breast,26000,Maryland,24,3870,5311034,72.9
,2000,2000,Breast,26000,Massachusetts,25,5228,6361104,82.2
,2000,2000,Breast,26000,Michigan,26,7369,9952450,74
,2000,2000,Breast,26000,Minnesota,27,3673,4933692,74.4
,2000,2000,Breast,26000,Missouri,29,4140,5607285,73.8
,2000,2000,Breast,26000,Montana,30,705,903773,78
,2000,2000,Breast,26000,Nebraska,31,1278,1713820,74.6
,2000,2000,Breast,26000,Nevada,32,1339,2018741,66.3
,2000,2000,Breast,26000,New Hampshire,33,983,1239882,79.3
,2000,2000,Breast,26000,New Jersey,34,6779,8430621,80.4
,2000,2000,Breast,26000,New Mexico,35,1137,1821204,62.4
,2000,2000,Breast,26000,New York,36,14342,19001780,75.5
,2000,2000,Breast,26000,North Carolina,37,5753,8081614,71.2
,2000,2000,Breast,26000,North Dakota,38,476,642023,74.1
,2000,2000,Breast,26000,Ohio,39,8524,11363543,75
,2000,2000,Breast,26000,Oklahoma,40,2521,3454365,73
,2000,2000,Breast,26000,Oregon,41,2791,3429708,81.4
,2000,2000,Breast,26000,Pennsylvania,42,10173,12284173,82.8
,2000,2000,Breast,26000,Rhode Island,44,854,1050268,81.3
,2000,2000,Breast,26000,South Carolina,45,2830,4024223,70.3
,2000,2000,Breast,26000,Tennessee,47,3834,5703719,67.2
,2000,2000,Breast,26000,Texas,48,12449,20944499,59.4
