Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,Alabama,1,30-34 years,30-34,24,153099,15.7
,1999,1999,Cervix Uteri,27010,Alabama,1,35-39 years,35-39,26,175011,14.9
,1999,1999,Cervix Uteri,27010,Alabama,1,40-44 years,40-44,28,176290,15.9
,1999,1999,Cervix Uteri,27010,Alabama,1,45-49 years,45-49,29,159445,18.2
,1999,1999,Cervix Uteri,27010,Alabama,1,50-54 years,50-54,24,141883,16.9
,1999,1999,Cervix Uteri,27010,Alabama,1,55-59 years,55-59,19,115362,16.5
,1999,1999,Cervix Uteri,27010,Alabama,1,65-69 years,65-69,22,91405,24.1
,1999,1999,Cervix Uteri,27010,Arizona,4,30-34 years,30-34,20,176739,11.3
,1999,1999,Cervix Uteri,27010,Arizona,4,35-39 years,35-39,20,193497,10.3
,1999,1999,Cervix Uteri,27010,Arizona,4,40-44 years,40-44,37,183329,20.2
,1999,1999,Cervix Uteri,27010,Arizona,4,50-54 years,50-54,26,144700,18
,1999,1999,Cervix Uteri,27010,Arizona,4,55-59 years,55-59,18,120208,15
,1999,1999,Cervix Uteri,27010,Arizona,4,65-69 years,65-69,17,98389,17.3
,1999,1999,Cervix Uteri,27010,Arkansas,5,30-34 years,30-34,21,87562,24
,1999,1999,Cervix Uteri,27010,Arkansas,5,35-39 years,35-39,18,100929,17.8
,1999,1999,Cervix Uteri,27010,Arkansas,5,40-44 years,40-44,23,98680,23.3
,1999,1999,Cervix Uteri,27010,Arkansas,5,55-59 years,55-59,16,70390,22.7
,1999,1999,Cervix Uteri,27010,California,6,20-24 years,20-24,17,1095927,1.6
,1999,1999,Cervix Uteri,27010,California,6,25-29 years,25-29,83,1241325,6.7
,1999,1999,Cervix Uteri,27010,California,6,30-34 years,30-34,149,1318261,11.3
,1999,1999,Cervix Uteri,27010,California,6,35-39 years,35-39,217,1391548,15.6
,1999,1999,Cervix Uteri,27010,California,6,40-44 years,40-44,253,1309691,19.3
,1999,1999,Cervix Uteri,27010,California,6,45-49 years,45-49,204,1146993,17.8
,1999,1999,Cervix Uteri,27010,California,6,50-54 years,50-54,179,977938,18.3
,1999,1999,Cervix Uteri,27010,California,6,55-59 years,55-59,130,729172,17.8
