Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,Alabama,1,237,2293259,10.3
,1999,1999,Cervix Uteri,27010,Alaska,2,21,301266,7
,1999,1999,Cervix Uteri,27010,Arizona,4,197,2518299,7.8
,1999,1999,Cervix Uteri,27010,Arkansas,5,161,1359445,11.8
,1999,1999,Cervix Uteri,27010,California,6,1686,16800161,10
,1999,1999,Cervix Uteri,27010,Colorado,8,136,2101358,6.5
,1999,1999,Cervix Uteri,27010,Connecticut,9,155,1747148,8.9
,1999,1999,Cervix Uteri,27010,Delaware,10,37,398732,9.3
,1999,1999,Cervix Uteri,27010,District of Columbia,11,35,301797,11.6
,1999,1999,Cervix Uteri,27010,Florida,12,978,8073847,12.1
,1999,1999,Cervix Uteri,27010,Georgia,13,442,4096031,10.8
,1999,1999,Cervix Uteri,27010,Hawaii,15,61,601830,10.1
,1999,1999,Cervix Uteri,27010,Idaho,16,38,636798,6
,1999,1999,Cervix Uteri,27010,Illinois,17,694,6313350,11
,1999,1999,Cervix Uteri,27010,Indiana,18,262,3083351,8.5
,1999,1999,Cervix Uteri,27010,Iowa,19,153,1488223,10.3
,1999,1999,Cervix Uteri,27010,Kansas,20,127,1356044,9.4
,1999,1999,Cervix Uteri,27010,Kentucky,21,244,2056401,11.9
,1999,1999,Cervix Uteri,27010,Louisiana,22,286,2302744,12.4
,1999,1999,Cervix Uteri,27010,Maine,23,55,650598,8.5
,1999,1999,Cervix Uteri,27010,Maryland,24,241,2716928,8.9
,1999,1999,Cervix Uteri,27010,Massachusetts,25,230,3274830,7
,1999,1999,Cervix Uteri,27010,Michigan,26,452,5047770,9
,1999,1999,Cervix Uteri,27010,Minnesota,27,175,2462931,7.1
,1999,1999,Cervix Uteri,27010,Missouri,29,271,2860166,9.5
,1999,1999,Cervix Uteri,27010,Montana,30,42,450543,9.3
,1999,1999,Cervix Uteri,27010,Nebraska,31,75,865531,8.7
,1999,1999,Cervix Uteri,27010,Nevada,32,94,949422,9.9
,1999,1999,Cervix Uteri,27010,New Hampshire,33,45,621409,7.2
,1999,1999,Cervix Uteri,27010,New Jersey,34,488,4304271,11.3
,1999,1999,Cervix Uteri,27010,New Mexico,35,67,918661,7.3
,1999,1999,Cervix Uteri,27010,New York,36,1036,9777654,10.6
,1999,1999,Cervix Uteri,27010,North Carolina,37,399,4062710,9.8
,1999,1999,Cervix Uteri,27010,North Dakota,38,17,322617,5.3
,1999,1999,Cervix Uteri,27010,Ohio,39,536,5835017,9.2
,1999,1999,Cervix Uteri,27010,Oklahoma,40,175,1748783,10
,1999,1999,Cervix Uteri,27010,Oregon,41,149,1712226,8.7
,1999,1999,Cervix Uteri,27010,Pennsylvania,42,630,6347064,9.9
,1999,1999,Cervix Uteri,27010,Rhode Island,44,51,540724,9.4
,1999,1999,Cervix Uteri,27010,South Carolina,45,254,2045606,12.4
,1999,1999,Cervix Uteri,27010,Tennessee,47,280,2897466,9.7
,1999,1999,Cervix Uteri,27010,Texas,48,1126,10360202,10.9
,1999,1999,Cervix Uteri,27010,Utah,49,55,1100167,5
,1999,1999,Cervix Uteri,27010,Vermont,50,32,308398,10.4
,1999,1999,Cervix Uteri,27010,Virginia,51,334,3569683,9.4
,1999,1999,Cervix Uteri,27010,Washington,53,228,2934901,7.8
,1999,1999,Cervix Uteri,27010,West Virginia,54,138,931809,14.8
,1999,1999,Cervix Uteri,27010,Wisconsin,55,248,2701525,9.2
,1999,1999,Cervix Uteri,27010,Wyoming,56,22,244518,9
,2000,2000,Cervix Uteri,27010,Alabama,1,237,2302835,10.3
,2000,2000,Cervix Uteri,27010,Alaska,2,23,303213,7.6
,2000,2000,Cervix Uteri,27010,Arizona,4,180,2584579,7
,2000,2000,Cervix Uteri,27010,Arkansas,5,151,1371015,11
,2000,2000,Cervix Uteri,27010,California,6,1675,17050415,9.8
,2000,2000,Cervix Uteri,27010,Colorado,8,153,2147742,7.1
,2000,2000,Cervix Uteri,27010,Connecticut,9,128,1759318,7.3
,2000,2000,Cervix Uteri,27010,Delaware,10,48,404447,11.9
,2000,2000,Cervix Uteri,27010,District of Columbia,11,41,302643,13.5
,2000,2000,Cervix Uteri,27010,Florida,12,1053,8217314,12.8
,2000,2000,Cervix Uteri,27010,Georgia,13,411,4180233,9.8
,2000,2000,Cervix Uteri,27010,Hawaii,15,59,603494,9.8
,2000,2000,Cervix Uteri,27010,Idaho,16,44,647984,6.8
,2000,2000,Cervix Uteri,27010,Illinois,17,728,6345277,11.5
,2000,2000,Cervix Uteri,27010,Indiana,18,290,3103169,9.3
,2000,2000,Cervix Uteri,27010,Iowa,19,123,1491775,8.2
,2000,2000,Cervix Uteri,27010,Kansas,20,123,1362500,9
,2000,2000,Cervix Uteri,27010,Kentucky,21,245,2069716,11.8
,2000,2000,Cervix Uteri,27010,Louisiana,22,257,2306978,11.1
,2000,2000,Cervix Uteri,27010,Maine,23,46,655545,7
,2000,2000,Cervix Uteri,27010,Maryland,24,224,2746031,8.2
,2000,2000,Cervix Uteri,27010,Massachusetts,25,248,3296245,7.5
,2000,2000,Cervix Uteri,27010,Michigan,26,466,5072182,9.2
,2000,2000,Cervix Uteri,27010,Minnesota,27,173,2490622,6.9
,2000,2000,Cervix Uteri,27010,Missouri,29,294,2879787,10.2
,2000,2000,Cervix Uteri,27010,Montana,30,43,453425,9.5
,2000,2000,Cervix Uteri,27010,Nebraska,31,82,868980,9.4
,2000,2000,Cervix Uteri,27010,Nevada,32,125,990315,12.6
,2000,2000,Cervix Uteri,27010,New Hampshire,33,65,630111,10.3
,2000,2000,Cervix Uteri,27010,New Jersey,34,468,4340112,10.8
,2000,2000,Cervix Uteri,27010,New Mexico,35,78,925624,8.4
,2000,2000,Cervix Uteri,27010,New York,36,1024,9842061,10.4
