Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,30-34 years,30-34,18,301295,6
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,35-39 years,35-39,33,342932,9.6
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,40-44 years,40-44,50,344000,14.5
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,45-49 years,45-49,109,309892,35.2
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,50-54 years,50-54,152,275759,55.1
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,55-59 years,55-59,239,220728,108.3
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,60-64 years ,60-64,238,189814,125.4
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,65-69 years,65-69,312,167363,186.4
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,70-74 years,70-74,340,148565,228.9
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,75-79 years,75-79,297,117897,251.9
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,80-84 years,80-84,227,76876,295.3
,1999,1999,Colon and Rectum,21041-21052,Alabama,1,85+ years,85+,219,65953,332.1
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,50-54 years,50-54,24,39580,60.6
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,55-59 years,55-59,18,26381,68.2
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,60-64 years ,60-64,34,16960,200.5
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,65-69 years,65-69,30,12219,245.5
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,70-74 years,70-74,25,9512,262.8
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,75-79 years,75-79,26,6525,398.5
,1999,1999,Colon and Rectum,21041-21052,Alaska,2,80-84 years,80-84,19,3527,538.7
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,35-39 years,35-39,20,393281,5.1
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,40-44 years,40-44,55,368155,14.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,45-49 years,45-49,72,322567,22.3
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,50-54 years,50-54,121,282200,42.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,55-59 years,55-59,158,229310,68.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,60-64 years ,60-64,241,198437,121.4
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,65-69 years,65-69,316,188248,167.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,70-74 years,70-74,380,174466,217.8
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,75-79 years,75-79,380,141816,268
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,80-84 years,80-84,325,89282,364
,1999,1999,Colon and Rectum,21041-21052,Arizona,4,85+ years,85+,257,66200,388.2
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,40-44 years,40-44,28,194986,14.4
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,45-49 years,45-49,54,178341,30.3
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,50-54 years,50-54,92,161702,56.9
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,55-59 years,55-59,121,135264,89.5
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,60-64 years ,60-64,146,115753,126.1
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,65-69 years,65-69,209,104761,199.5
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,70-74 years,70-74,220,93175,236.1
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,75-79 years,75-79,215,76333,281.7
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,80-84 years,80-84,173,52465,329.7
,1999,1999,Colon and Rectum,21041-21052,Arkansas,5,85+ years,85+,152,45862,331.4
,1999,1999,Colon and Rectum,21041-21052,California,6,20-24 years,20-24,16,2303169,0.7
,1999,1999,Colon and Rectum,21041-21052,California,6,25-29 years,25-29,44,2563984,1.7
,1999,1999,Colon and Rectum,21041-21052,California,6,30-34 years,30-34,77,2714559,2.8
,1999,1999,Colon and Rectum,21041-21052,California,6,35-39 years,35-39,165,2830371,5.8
,1999,1999,Colon and Rectum,21041-21052,California,6,40-44 years,40-44,325,2631815,12.3
,1999,1999,Colon and Rectum,21041-21052,California,6,45-49 years,45-49,567,2269009,25
,1999,1999,Colon and Rectum,21041-21052,California,6,50-54 years,50-54,899,1920301,46.8
,1999,1999,Colon and Rectum,21041-21052,California,6,55-59 years,55-59,1113,1415902,78.6
,1999,1999,Colon and Rectum,21041-21052,California,6,60-64 years ,60-64,1342,1127145,119.1
,1999,1999,Colon and Rectum,21041-21052,California,6,65-69 years,65-69,1762,985605,178.8
,1999,1999,Colon and Rectum,21041-21052,California,6,70-74 years,70-74,2154,902399,238.7
,1999,1999,Colon and Rectum,21041-21052,California,6,75-79 years,75-79,2408,766688,314.1
,1999,1999,Colon and Rectum,21041-21052,California,6,80-84 years,80-84,1836,492951,372.5
,1999,1999,Colon and Rectum,21041-21052,California,6,85+ years,85+,1851,413264,447.9
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,35-39 years,35-39,23,371857,6.2
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,40-44 years,40-44,50,367106,13.6
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,45-49 years,45-49,69,327225,21.1
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,50-54 years,50-54,106,265834,39.9
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,55-59 years,55-59,142,186839,76
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,60-64 years ,60-64,143,142207,100.6
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,65-69 years,65-69,190,120041,158.3
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,70-74 years,70-74,277,104378,265.4
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,75-79 years,75-79,224,84482,265.1
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,80-84 years,80-84,194,54621,355.2
,1999,1999,Colon and Rectum,21041-21052,Colorado,8,85+ years,85+,188,47252,397.9
,1999,1999,Colon and Rectum,21041-21052,Connecticut,9,35-39 years,35-39,23,293075,7.8
,1999,1999,Colon and Rectum,21041-21052,Connecticut,9,40-44 years,40-44,38,286444,13.3
