Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,15-19 years,15-19,50,19785979,0.3
,1999,1999,Colon and Rectum,21041-21052,20-24 years,20-24,135,18328417,0.7
,1999,1999,Colon and Rectum,21041-21052,25-29 years,25-29,372,19333894,1.9
,1999,1999,Colon and Rectum,21041-21052,30-34 years,30-34,777,20371091,3.8
,1999,1999,Colon and Rectum,21041-21052,35-39 years,35-39,1669,22611624,7.4
,1999,1999,Colon and Rectum,21041-21052,40-44 years,40-44,3207,21924672,14.6
,1999,1999,Colon and Rectum,21041-21052,45-49 years,45-49,5500,19413875,28.3
,1999,1999,Colon and Rectum,21041-21052,50-54 years,50-54,8654,16718890,51.8
,1999,1999,Colon and Rectum,21041-21052,55-59 years,55-59,11263,12922630,87.2
,1999,1999,Colon and Rectum,21041-21052,60-64 years ,60-64,14363,10551544,136.1
,1999,1999,Colon and Rectum,21041-21052,65-69 years,65-69,19406,9416383,206.1
,1999,1999,Colon and Rectum,21041-21052,70-74 years,70-74,23460,8763864,267.7
,1999,1999,Colon and Rectum,21041-21052,75-79 years,75-79,24699,7251311,340.6
,1999,1999,Colon and Rectum,21041-21052,80-84 years,80-84,19494,4820265,404.4
,1999,1999,Colon and Rectum,21041-21052,85+ years,85+,18372,4095902,448.5
,2000,2000,Colon and Rectum,21041-21052,15-19 years,15-19,53,19998739,0.3
,2000,2000,Colon and Rectum,21041-21052,20-24 years,20-24,135,18848983,0.7
,2000,2000,Colon and Rectum,21041-21052,25-29 years,25-29,362,19044554,1.9
,2000,2000,Colon and Rectum,21041-21052,30-34 years,30-34,788,20289179,3.9
,2000,2000,Colon and Rectum,21041-21052,35-39 years,35-39,1763,22382940,7.9
,2000,2000,Colon and Rectum,21041-21052,40-44 years,40-44,3334,22245365,15
,2000,2000,Colon and Rectum,21041-21052,45-49 years,45-49,5911,19972154,29.6
,2000,2000,Colon and Rectum,21041-21052,50-54 years,50-54,9383,17563484,53.4
,2000,2000,Colon and Rectum,21041-21052,55-59 years,55-59,11485,13399105,85.7
,2000,2000,Colon and Rectum,21041-21052,60-64 years ,60-64,14859,10720153,138.6
,2000,2000,Colon and Rectum,21041-21052,65-69 years,65-69,19043,9398861,202.6
,2000,2000,Colon and Rectum,21041-21052,70-74 years,70-74,23274,8746579,266.1
,2000,2000,Colon and Rectum,21041-21052,75-79 years,75-79,24357,7347313,331.5
,2000,2000,Colon and Rectum,21041-21052,80-84 years,80-84,19761,4921341,401.5
,2000,2000,Colon and Rectum,21041-21052,85+ years,85+,18600,4203260,442.5
,2001,2001,Colon and Rectum,21041-21052,15-19 years,15-19,56,20227701,0.3
,2001,2001,Colon and Rectum,21041-21052,20-24 years,20-24,166,19536435,0.8
,2001,2001,Colon and Rectum,21041-21052,25-29 years,25-29,375,18634669,2
,2001,2001,Colon and Rectum,21041-21052,30-34 years,30-34,831,20462391,4.1
,2001,2001,Colon and Rectum,21041-21052,35-39 years,35-39,1738,22030086,7.9
,2001,2001,Colon and Rectum,21041-21052,40-44 years,40-44,3456,22601240,15.3
,2001,2001,Colon and Rectum,21041-21052,45-49 years,45-49,6025,20501373,29.4
,2001,2001,Colon and Rectum,21041-21052,50-54 years,50-54,9971,18507423,53.9
,2001,2001,Colon and Rectum,21041-21052,55-59 years,55-59,11848,13833003,85.7
,2001,2001,Colon and Rectum,21041-21052,60-64 years ,60-64,14662,11020881,133
,2001,2001,Colon and Rectum,21041-21052,65-69 years,65-69,18852,9463333,199.2
,2001,2001,Colon and Rectum,21041-21052,70-74 years,70-74,22809,8734260,261.1
,2001,2001,Colon and Rectum,21041-21052,75-79 years,75-79,24304,7386502,329
,2001,2001,Colon and Rectum,21041-21052,80-84 years,80-84,19795,5091062,388.8
,2001,2001,Colon and Rectum,21041-21052,85+ years,85+,18665,4270572,437.1
,2002,2002,Colon and Rectum,21041-21052,10-14 years,14-Oct,19,21040663,0.1
,2002,2002,Colon and Rectum,21041-21052,15-19 years,15-19,47,20386049,0.2
,2002,2002,Colon and Rectum,21041-21052,20-24 years,20-24,159,20019398,0.8
