Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,15-19 years,15-19,30,19785979,0.2
,1999,1999,Lung and Bronchus,22030,20-24 years,20-24,46,18328417,0.3
,1999,1999,Lung and Bronchus,22030,25-29 years,25-29,114,19333894,0.6
,1999,1999,Lung and Bronchus,22030,30-34 years,30-34,312,20371091,1.5
,1999,1999,Lung and Bronchus,22030,35-39 years,35-39,1166,22611624,5.2
,1999,1999,Lung and Bronchus,22030,40-44 years,40-44,3266,21924672,14.9
,1999,1999,Lung and Bronchus,22030,45-49 years,45-49,6094,19413875,31.4
,1999,1999,Lung and Bronchus,22030,50-54 years,50-54,10865,16718890,65
,1999,1999,Lung and Bronchus,22030,55-59 years,55-59,17321,12922630,134
,1999,1999,Lung and Bronchus,22030,60-64 years ,60-64,23523,10551544,222.9
,1999,1999,Lung and Bronchus,22030,65-69 years,65-69,31248,9416383,331.8
,1999,1999,Lung and Bronchus,22030,70-74 years,70-74,36290,8763864,414.1
,1999,1999,Lung and Bronchus,22030,75-79 years,75-79,31249,7251311,430.9
,1999,1999,Lung and Bronchus,22030,80-84 years,80-84,18796,4820265,389.9
,1999,1999,Lung and Bronchus,22030,85+ years,85+,11309,4095902,276.1
,2000,2000,Lung and Bronchus,22030,15-19 years,15-19,29,19998739,0.1
,2000,2000,Lung and Bronchus,22030,20-24 years,20-24,65,18848983,0.3
,2000,2000,Lung and Bronchus,22030,25-29 years,25-29,118,19044554,0.6
,2000,2000,Lung and Bronchus,22030,30-34 years,30-34,313,20289179,1.5
,2000,2000,Lung and Bronchus,22030,35-39 years,35-39,1109,22382940,5
,2000,2000,Lung and Bronchus,22030,40-44 years,40-44,3347,22245365,15
,2000,2000,Lung and Bronchus,22030,45-49 years,45-49,6242,19972154,31.3
,2000,2000,Lung and Bronchus,22030,50-54 years,50-54,11154,17563484,63.5
,2000,2000,Lung and Bronchus,22030,55-59 years,55-59,17700,13399105,132.1
,2000,2000,Lung and Bronchus,22030,60-64 years ,60-64,23539,10720153,219.6
,2000,2000,Lung and Bronchus,22030,65-69 years,65-69,30496,9398861,324.5
,2000,2000,Lung and Bronchus,22030,70-74 years,70-74,36025,8746579,411.9
,2000,2000,Lung and Bronchus,22030,75-79 years,75-79,31707,7347313,431.5
,2000,2000,Lung and Bronchus,22030,80-84 years,80-84,19408,4921341,394.4
,2000,2000,Lung and Bronchus,22030,85+ years,85+,11606,4203260,276.1
,2001,2001,Lung and Bronchus,22030,15-19 years,15-19,33,20227701,0.2
