Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Race,Race Code,Ethnicity,Ethnicity Code,Count,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,626,2196216,28.5
,1999,1999,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,Hispanic,2135-2,30,393756,7.6
,1999,1999,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,2766,10997000,25.2
,1999,1999,Lung and Bronchus,22030,Black or African American,2054-5,Hispanic,2135-2,241,1446375,16.7
,1999,1999,Lung and Bronchus,22030,Black or African American,2054-5,Non-Hispanic,2186-5,18528,33683744,55
,1999,1999,Lung and Bronchus,22030,White,2106-3,Hispanic,2135-2,5686,31491980,18.1
,1999,1999,Lung and Bronchus,22030,White,2106-3,Non-Hispanic,2186-5,163393,194689423,83.9
,1999,1999,Lung and Bronchus,22030,Other Races and Unknown combined,2131-1,Hispanic,2135-2,35,Not Applicable,Not Applicable
,1999,1999,Lung and Bronchus,22030,Other Races and Unknown combined,2131-1,Non-Hispanic,2186-5,332,Not Applicable,Not Applicable
,2000,2000,Lung and Bronchus,22030,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,684,2260880,30.3
,2000,2000,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,Hispanic,2135-2,39,415601,9.4
,2000,2000,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,3075,11515537,26.7
,2000,2000,Lung and Bronchus,22030,Black or African American,2054-5,Hispanic,2135-2,170,1516861,11.2
,2000,2000,Lung and Bronchus,22030,Black or African American,2054-5,Non-Hispanic,2186-5,18377,34162304,53.8
,2000,2000,Lung and Bronchus,22030,White,2106-3,Hispanic,2135-2,5702,33020109,17.3
,2000,2000,Lung and Bronchus,22030,White,2106-3,Non-Hispanic,2186-5,164440,195012186,84.3
,2000,2000,Lung and Bronchus,22030,Other Races and Unknown combined,2131-1,Hispanic,2135-2,35,Not Applicable,Not Applicable
,2000,2000,Lung and Bronchus,22030,Other Races and Unknown combined,2131-1,Non-Hispanic,2186-5,350,Not Applicable,Not Applicable
,2001,2001,Lung and Bronchus,22030,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,749,2348625,31.9
,2001,2001,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,Hispanic,2135-2,54,450525,12
,2001,2001,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,3116,12023804,25.9
,2001,2001,Lung and Bronchus,22030,Black or African American,2054-5,Hispanic,2135-2,168,1604528,10.5
,2001,2001,Lung and Bronchus,22030,Black or African American,2054-5,Non-Hispanic,2186-5,18764,34598872,54.2
