Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Prostate,28010,Alabama,1,45-49 years,45-49,53,150447,35.2
,1999,1999,Prostate,28010,Alabama,1,50-54 years,50-54,159,133876,118.8
,1999,1999,Prostate,28010,Alabama,1,55-59 years,55-59,278,105366,263.8
,1999,1999,Prostate,28010,Alabama,1,60-64 years ,60-64,409,88690,461.2
,1999,1999,Prostate,28010,Alabama,1,65-69 years,65-69,549,75958,722.8
,1999,1999,Prostate,28010,Alabama,1,70-74 years,70-74,484,63159,766.3
,1999,1999,Prostate,28010,Alabama,1,75-79 years,75-79,361,46215,781.1
,1999,1999,Prostate,28010,Alabama,1,80-84 years,80-84,162,26637,608.2
,1999,1999,Prostate,28010,Alabama,1,85+ years,85+,75,17701,423.7
,1999,1999,Prostate,28010,Alaska,2,50-54 years,50-54,24,21319,112.6
,1999,1999,Prostate,28010,Alaska,2,55-59 years,55-59,39,14146,275.7
,1999,1999,Prostate,28010,Alaska,2,60-64 years ,60-64,53,9027,587.1
,1999,1999,Prostate,28010,Alaska,2,65-69 years,65-69,53,6150,861.8
,1999,1999,Prostate,28010,Alaska,2,70-74 years,70-74,52,4649,1118.5
,1999,1999,Prostate,28010,Alaska,2,75-79 years,75-79,42,2930,1433.4
,1999,1999,Prostate,28010,Arizona,4,45-49 years,45-49,38,158726,23.9
,1999,1999,Prostate,28010,Arizona,4,50-54 years,50-54,137,137500,99.6
,1999,1999,Prostate,28010,Arizona,4,55-59 years,55-59,270,109102,247.5
,1999,1999,Prostate,28010,Arizona,4,60-64 years ,60-64,435,94340,461.1
,1999,1999,Prostate,28010,Arizona,4,65-69 years,65-69,708,89859,787.9
,1999,1999,Prostate,28010,Arizona,4,70-74 years,70-74,672,80805,831.6
,1999,1999,Prostate,28010,Arizona,4,75-79 years,75-79,498,62549,796.2
,1999,1999,Prostate,28010,Arizona,4,80-84 years,80-84,262,37336,701.7
,1999,1999,Prostate,28010,Arizona,4,85+ years,85+,135,22155,609.3
,1999,1999,Prostate,28010,Arkansas,5,45-49 years,45-49,25,87212,28.7
,1999,1999,Prostate,28010,Arkansas,5,50-54 years,50-54,73,79096,92.3
,1999,1999,Prostate,28010,Arkansas,5,55-59 years,55-59,142,64874,218.9
,1999,1999,Prostate,28010,Arkansas,5,60-64 years ,60-64,278,55007,505.4
,1999,1999,Prostate,28010,Arkansas,5,65-69 years,65-69,363,48436,749.4
,1999,1999,Prostate,28010,Arkansas,5,70-74 years,70-74,400,40957,976.6
,1999,1999,Prostate,28010,Arkansas,5,75-79 years,75-79,311,31307,993.4
,1999,1999,Prostate,28010,Arkansas,5,80-84 years,80-84,172,19232,894.3
,1999,1999,Prostate,28010,Arkansas,5,85+ years,85+,115,13298,864.8
,1999,1999,Prostate,28010,California,6,40-44 years,40-44,86,1322124,6.5
,1999,1999,Prostate,28010,California,6,45-49 years,45-49,366,1122016,32.6
,1999,1999,Prostate,28010,California,6,50-54 years,50-54,1126,942363,119.5
,1999,1999,Prostate,28010,California,6,55-59 years,55-59,2072,686730,301.7
,1999,1999,Prostate,28010,California,6,60-64 years ,60-64,2995,536409,558.3
,1999,1999,Prostate,28010,California,6,65-69 years,65-69,4119,458231,898.9
,1999,1999,Prostate,28010,California,6,70-74 years,70-74,4102,396863,1033.6
,1999,1999,Prostate,28010,California,6,75-79 years,75-79,3347,324356,1031.9
,1999,1999,Prostate,28010,California,6,80-84 years,80-84,1736,193155,898.8
,1999,1999,Prostate,28010,California,6,85+ years,85+,1012,129644,780.6
,1999,1999,Prostate,28010,Colorado,8,45-49 years,45-49,55,163872,33.6
,1999,1999,Prostate,28010,Colorado,8,50-54 years,50-54,187,133516,140.1
,1999,1999,Prostate,28010,Colorado,8,55-59 years,55-59,272,92341,294.6
,1999,1999,Prostate,28010,Colorado,8,60-64 years ,60-64,437,69459,629.1
,1999,1999,Prostate,28010,Colorado,8,65-69 years,65-69,554,57016,971.7
,1999,1999,Prostate,28010,Colorado,8,70-74 years,70-74,519,46679,1111.8
,1999,1999,Prostate,28010,Colorado,8,75-79 years,75-79,377,35492,1062.2
,1999,1999,Prostate,28010,Colorado,8,80-84 years,80-84,188,20879,900.4
,1999,1999,Prostate,28010,Colorado,8,85+ years,85+,117,13720,852.8
,1999,1999,Prostate,28010,Connecticut,9,45-49 years,45-49,51,120900,42.2
,1999,1999,Prostate,28010,Connecticut,9,50-54 years,50-54,179,107574,166.4
,1999,1999,Prostate,28010,Connecticut,9,55-59 years,55-59,258,83021,310.8
,1999,1999,Prostate,28010,Connecticut,9,60-64 years ,60-64,403,62088,649.1
,1999,1999,Prostate,28010,Connecticut,9,65-69 years,65-69,500,54264,921.4
,1999,1999,Prostate,28010,Connecticut,9,70-74 years,70-74,530,50018,1059.6
,1999,1999,Prostate,28010,Connecticut,9,75-79 years,75-79,397,40944,969.6
,1999,1999,Prostate,28010,Connecticut,9,80-84 years,80-84,238,26446,899.9
,1999,1999,Prostate,28010,Connecticut,9,85+ years,85+,155,17312,895.3
,1999,1999,Prostate,28010,Delaware,10,50-54 years,50-54,30,22935,130.8
,1999,1999,Prostate,28010,Delaware,10,55-59 years,55-59,89,18193,489.2
,1999,1999,Prostate,28010,Delaware,10,60-64 years ,60-64,108,15037,718.2
,1999,1999,Prostate,28010,Delaware,10,65-69 years,65-69,135,13965,966.7
,1999,1999,Prostate,28010,Delaware,10,70-74 years,70-74,127,11823,1074.2
,1999,1999,Prostate,28010,Delaware,10,75-79 years,75-79,66,8665,761.7
,1999,1999,Prostate,28010,Delaware,10,80-84 years,80-84,27,4935,547.1
,1999,1999,Prostate,28010,Delaware,10,85+ years,85+,20,2847,702.5
,1999,1999,Prostate,28010,District of Columbia,11,50-54 years,50-54,31,15983,194
,1999,1999,Prostate,28010,District of Columbia,11,55-59 years,55-59,53,12336,429.6
,1999,1999,Prostate,28010,District of Columbia,11,60-64 years ,60-64,100,9906,1009.5
,1999,1999,Prostate,28010,District of Columbia,11,65-69 years,65-69,103,8325,1237.2
,1999,1999,Prostate,28010,District of Columbia,11,70-74 years,70-74,101,7028,1437.1
,1999,1999,Prostate,28010,District of Columbia,11,75-79 years,75-79,72,5618,1281.6
,1999,1999,Prostate,28010,District of Columbia,11,80-84 years,80-84,41,3294,1244.7
,1999,1999,Prostate,28010,District of Columbia,11,85+ years,85+,30,2357,1272.8
,1999,1999,Prostate,28010,Florida,12,40-44 years,40-44,36,592312,6.1
,1999,1999,Prostate,28010,Florida,12,45-49 years,45-49,209,512179,40.8
,1999,1999,Prostate,28010,Florida,12,50-54 years,50-54,685,454601,150.7
,1999,1999,Prostate,28010,Florida,12,55-59 years,55-59,1265,372716,339.4
,1999,1999,Prostate,28010,Florida,12,60-64 years ,60-64,2132,336123,634.3
,1999,1999,Prostate,28010,Florida,12,65-69 years,65-69,3368,341808,985.3
,1999,1999,Prostate,28010,Florida,12,70-74 years,70-74,3523,330639,1065.5
,1999,1999,Prostate,28010,Florida,12,75-79 years,75-79,2745,266430,1030.3
,1999,1999,Prostate,28010,Florida,12,80-84 years,80-84,1267,164538,770
,1999,1999,Prostate,28010,Florida,12,85+ years,85+,692,108641,637
,1999,1999,Prostate,28010,Georgia,13,40-44 years,40-44,33,315924,10.4
,1999,1999,Prostate,28010,Georgia,13,45-49 years,45-49,119,271911,43.8
,1999,1999,Prostate,28010,Georgia,13,50-54 years,50-54,306,236763,129.2
,1999,1999,Prostate,28010,Georgia,13,55-59 years,55-59,606,175590,345.1
,1999,1999,Prostate,28010,Georgia,13,60-64 years ,60-64,795,132764,598.8
,1999,1999,Prostate,28010,Georgia,13,65-69 years,65-69,899,106398,844.9
,1999,1999,Prostate,28010,Georgia,13,70-74 years,70-74,850,83665,1016
,1999,1999,Prostate,28010,Georgia,13,75-79 years,75-79,570,60699,939.1
,1999,1999,Prostate,28010,Georgia,13,80-84 years,80-84,260,34625,750.9
,1999,1999,Prostate,28010,Georgia,13,85+ years,85+,162,21768,744.2
,1999,1999,Prostate,28010,Hawaii,15,50-54 years,50-54,35,39117,89.5
,1999,1999,Prostate,28010,Hawaii,15,55-59 years,55-59,61,28491,214.1
,1999,1999,Prostate,28010,Hawaii,15,60-64 years ,60-64,72,21933,328.3
,1999,1999,Prostate,28010,Hawaii,15,65-69 years,65-69,124,19643,631.3
,1999,1999,Prostate,28010,Hawaii,15,70-74 years,70-74,173,18976,911.7
,1999,1999,Prostate,28010,Hawaii,15,75-79 years,75-79,153,15682,975.6
,1999,1999,Prostate,28010,Hawaii,15,80-84 years,80-84,96,9307,1031.5
,1999,1999,Prostate,28010,Hawaii,15,85+ years,85+,67,7078,946.6
,1999,1999,Prostate,28010,Idaho,16,50-54 years,50-54,44,37667,116.8
,1999,1999,Prostate,28010,Idaho,16,55-59 years,55-59,69,28964,238.2
,1999,1999,Prostate,28010,Idaho,16,60-64 years ,60-64,121,23275,519.9
,1999,1999,Prostate,28010,Idaho,16,65-69 years,65-69,157,19244,815.8
,1999,1999,Prostate,28010,Idaho,16,70-74 years,70-74,178,16556,1075.1
,1999,1999,Prostate,28010,Idaho,16,75-79 years,75-79,140,13063,1071.7
,1999,1999,Prostate,28010,Idaho,16,80-84 years,80-84,82,8473,967.8
,1999,1999,Prostate,28010,Idaho,16,85+ years,85+,47,5814,808.4
,1999,1999,Prostate,28010,Illinois,17,40-44 years,40-44,27,483354,5.6
,1999,1999,Prostate,28010,Illinois,17,45-49 years,45-49,123,421594,29.2
,1999,1999,Prostate,28010,Illinois,17,50-54 years,50-54,414,354365,116.8
,1999,1999,Prostate,28010,Illinois,17,55-59 years,55-59,829,273277,303.4
,1999,1999,Prostate,28010,Illinois,17,60-64 years ,60-64,1251,218350,572.9
,1999,1999,Prostate,28010,Illinois,17,65-69 years,65-69,1646,181963,904.6
,1999,1999,Prostate,28010,Illinois,17,70-74 years,70-74,1700,163272,1041.2
,1999,1999,Prostate,28010,Illinois,17,75-79 years,75-79,1303,126587,1029.3
,1999,1999,Prostate,28010,Illinois,17,80-84 years,80-84,671,77148,869.8
,1999,1999,Prostate,28010,Illinois,17,85+ years,85+,443,51612,858.3
,1999,1999,Prostate,28010,Indiana,18,45-49 years,45-49,53,213327,24.8
,1999,1999,Prostate,28010,Indiana,18,50-54 years,50-54,178,179975,98.9
,1999,1999,Prostate,28010,Indiana,18,55-59 years,55-59,356,140332,253.7
,1999,1999,Prostate,28010,Indiana,18,60-64 years ,60-64,533,112219,475
,1999,1999,Prostate,28010,Indiana,18,65-69 years,65-69,688,93541,735.5
,1999,1999,Prostate,28010,Indiana,18,70-74 years,70-74,736,83301,883.5
,1999,1999,Prostate,28010,Indiana,18,75-79 years,75-79,495,63018,785.5
,1999,1999,Prostate,28010,Indiana,18,80-84 years,80-84,277,37189,744.8
