Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Prostate,28010,35-39 years,35-39,74,11275914,0.7
,1999,1999,Prostate,28010,40-44 years,40-44,714,10866874,6.6
,1999,1999,Prostate,28010,45-49 years,45-49,3305,9548921,34.6
,1999,1999,Prostate,28010,50-54 years,50-54,10702,8178348,130.9
,1999,1999,Prostate,28010,55-59 years,55-59,19667,6241758,315.1
,1999,1999,Prostate,28010,60-64 years ,60-64,29008,5012696,578.7
,1999,1999,Prostate,28010,65-69 years,65-69,39572,4342941,911.2
,1999,1999,Prostate,28010,70-74 years,70-74,40294,3844898,1048
,1999,1999,Prostate,28010,75-79 years,75-79,30346,2974973,1020
,1999,1999,Prostate,28010,80-84 years,80-84,15368,1780402,863.2
,1999,1999,Prostate,28010,85+ years,85+,9560,1177073,812.2
,2000,2000,Prostate,28010,35-39 years,35-39,91,11162000,0.8
,2000,2000,Prostate,28010,40-44 years,40-44,847,11032914,7.7
,2000,2000,Prostate,28010,45-49 years,45-49,3613,9832225,36.7
,2000,2000,Prostate,28010,50-54 years,50-54,12189,8596817,141.8
,2000,2000,Prostate,28010,55-59 years,55-59,21480,6476836,331.6
,2000,2000,Prostate,28010,60-64 years ,60-64,30157,5099354,591.4
,2000,2000,Prostate,28010,65-69 years,65-69,39621,4341762,912.6
,2000,2000,Prostate,28010,70-74 years,70-74,40815,3860732,1057.2
,2000,2000,Prostate,28010,75-79 years,75-79,30675,3020236,1015.6
,2000,2000,Prostate,28010,80-84 years,80-84,15926,1830504,870
,2000,2000,Prostate,28010,85+ years,85+,9886,1219319,810.8
,2001,2001,Prostate,28010,35-39 years,35-39,83,10994295,0.8
,2001,2001,Prostate,28010,40-44 years,40-44,947,11210629,8.4
,2001,2001,Prostate,28010,45-49 years,45-49,3883,10097191,38.5
,2001,2001,Prostate,28010,50-54 years,50-54,13288,9058366,146.7
,2001,2001,Prostate,28010,55-59 years,55-59,22899,6694290,342.1
,2001,2001,Prostate,28010,60-64 years ,60-64,31656,5247854,603.2
,2001,2001,Prostate,28010,65-69 years,65-69,40835,4382955,931.7
,2001,2001,Prostate,28010,70-74 years,70-74,41423,3875837,1068.7
,2001,2001,Prostate,28010,75-79 years,75-79,31708,3050131,1039.6
,2001,2001,Prostate,28010,80-84 years,80-84,16178,1910356,846.9
,2001,2001,Prostate,28010,85+ years,85+,9885,1249573,791.1
,2002,2002,Prostate,28010,30-34 years,30-34,17,10294940,0.2
,2002,2002,Prostate,28010,35-39 years,35-39,102,10750660,0.9
,2002,2002,Prostate,28010,40-44 years,40-44,1046,11249572,9.3
,2002,2002,Prostate,28010,45-49 years,45-49,4353,10367972,42
,2002,2002,Prostate,28010,50-54 years,50-54,13852,9080679,152.5
,2002,2002,Prostate,28010,55-59 years,55-59,25392,7270171,349.3
,2002,2002,Prostate,28010,60-64 years ,60-64,33401,5453055,612.5
,2002,2002,Prostate,28010,65-69 years,65-69,40723,4429186,919.4
,2002,2002,Prostate,28010,70-74 years,70-74,39844,3859965,1032.2
,2002,2002,Prostate,28010,75-79 years,75-79,30543,3073916,993.6
,2002,2002,Prostate,28010,80-84 years,80-84,16411,1982284,827.9
,2002,2002,Prostate,28010,85+ years,85+,9889,1280112,772.5
,2003,2003,Prostate,28010,35-39 years,35-39,105,10604058,1
,2003,2003,Prostate,28010,40-44 years,40-44,1032,11343445,9.1
,2003,2003,Prostate,28010,45-49 years,45-49,4373,10705411,40.8
,2003,2003,Prostate,28010,50-54 years,50-54,13083,9337624,140.1
,2003,2003,Prostate,28010,55-59 years,55-59,24593,7672601,320.5
,2003,2003,Prostate,28010,60-64 years ,60-64,32382,5816925,556.7
,2003,2003,Prostate,28010,65-69 years,65-69,38562,4577090,842.5
,2003,2003,Prostate,28010,70-74 years,70-74,36584,3875623,944
,2003,2003,Prostate,28010,75-79 years,75-79,28270,3131860,902.7
,2003,2003,Prostate,28010,80-84 years,80-84,15726,2051421,766.6
,2003,2003,Prostate,28010,85+ years,85+,9800,1338201,732.3
,2004,2004,Prostate,28010,30-34 years,30-34,17,10118356,0.2
,2004,2004,Prostate,28010,35-39 years,35-39,79,10421329,0.8
,2004,2004,Prostate,28010,40-44 years,40-44,1002,11363212,8.8
,2004,2004,Prostate,28010,45-49 years,45-49,4375,10880756,40.2
,2004,2004,Prostate,28010,50-54 years,50-54,13650,9565045,142.7
,2004,2004,Prostate,28010,55-59 years,55-59,25537,8059227,316.9
,2004,2004,Prostate,28010,60-64 years ,60-64,33004,6060330,544.6
,2004,2004,Prostate,28010,65-69 years,65-69,38807,4703011,825.2
,2004,2004,Prostate,28010,70-74 years,70-74,35197,3854159,913.2
,2004,2004,Prostate,28010,75-79 years,75-79,27471,3140080,874.9
,2004,2004,Prostate,28010,80-84 years,80-84,15604,2111081,739.1
,2004,2004,Prostate,28010,85+ years,85+,9442,1379299,684.6
,2005,2005,Prostate,28010,35-39 years,35-39,107,10380549,1
,2005,2005,Prostate,28010,40-44 years,40-44,1112,11245090,9.9
,2005,2005,Prostate,28010,45-49 years,45-49,4480,11053287,40.5
,2005,2005,Prostate,28010,50-54 years,50-54,13566,9815927,138.2
,2005,2005,Prostate,28010,55-59 years,55-59,26703,8491752,314.5
,2005,2005,Prostate,28010,60-64 years ,60-64,33656,6274448,536.4
,2005,2005,Prostate,28010,65-69 years,65-69,39129,4806836,814
,2005,2005,Prostate,28010,70-74 years,70-74,35057,3871949,905.4
,2005,2005,Prostate,28010,75-79 years,75-79,27392,3162356,866.2
,2005,2005,Prostate,28010,80-84 years,80-84,15528,2155620,720.3
,2005,2005,Prostate,28010,85+ years,85+,9385,1443180,650.3
,2006,2006,Prostate,28010,35-39 years,35-39,98,10451785,0.9
,2006,2006,Prostate,28010,40-44 years,40-44,1230,11064405,11.1
,2006,2006,Prostate,28010,45-49 years,45-49,5023,11209831,44.8
,2006,2006,Prostate,28010,50-54 years,50-54,15213,10064753,151.2
,2006,2006,Prostate,28010,55-59 years,55-59,30195,8923795,338.4
,2006,2006,Prostate,28010,60-64 years ,60-64,38081,6474264,588.2
,2006,2006,Prostate,28010,65-69 years,65-69,43374,4943999,877.3
,2006,2006,Prostate,28010,70-74 years,70-74,37688,3908390,964.3
,2006,2006,Prostate,28010,75-79 years,75-79,28634,3177898,901
,2006,2006,Prostate,28010,80-84 years,80-84,16027,2184568,733.6
,2006,2006,Prostate,28010,85+ years,85+,9812,1518390,646.2
,2007,2007,Prostate,28010,35-39 years,35-39,129,10461052,1.2
,2007,2007,Prostate,28010,40-44 years,40-44,1258,10833176,11.6
,2007,2007,Prostate,28010,45-49 years,45-49,5406,11257548,48
,2007,2007,Prostate,28010,50-54 years,50-54,16784,10344429,162.3
,2007,2007,Prostate,28010,55-59 years,55-59,31950,8945299,357.2
,2007,2007,Prostate,28010,60-64 years ,60-64,43005,7034464,611.3
,2007,2007,Prostate,28010,65-69 years,65-69,47031,5145430,914
,2007,2007,Prostate,28010,70-74 years,70-74,38986,3957495,985.1
,2007,2007,Prostate,28010,75-79 years,75-79,29178,3175139,919
,2007,2007,Prostate,28010,80-84 years,80-84,16227,2217809,731.7
,2007,2007,Prostate,28010,85+ years,85+,10026,1593236,629.3
,2008,2008,Prostate,28010,30-34 years,30-34,16,9678926,0.2
,2008,2008,Prostate,28010,35-39 years,35-39,135,10379654,1.3
,2008,2008,Prostate,28010,40-44 years,40-44,1277,10617099,12
,2008,2008,Prostate,28010,45-49 years,45-49,5549,11263990,49.3
,2008,2008,Prostate,28010,50-54 years,50-54,16656,10598921,157.1
,2008,2008,Prostate,28010,55-59 years,55-59,30818,9112330,338.2
,2008,2008,Prostate,28010,60-64 years ,60-64,42022,7362970,570.7
,2008,2008,Prostate,28010,65-69 years,65-69,46118,5446439,846.8
,2008,2008,Prostate,28010,70-74 years,70-74,36843,4054996,908.6
,2008,2008,Prostate,28010,75-79 years,75-79,26095,3167246,823.9
,2008,2008,Prostate,28010,80-84 years,80-84,14235,2252413,632
,2008,2008,Prostate,28010,85+ years,85+,9514,1662814,572.2
,2009,2009,Prostate,28010,30-34 years,30-34,22,9844555,0.2
,2009,2009,Prostate,28010,35-39 years,35-39,150,10215627,1.5
,2009,2009,Prostate,28010,40-44 years,40-44,1154,10430574,11.1
,2009,2009,Prostate,28010,45-49 years,45-49,5550,11285671,49.2
,2009,2009,Prostate,28010,50-54 years,50-54,17078,10783563,158.4
,2009,2009,Prostate,28010,55-59 years,55-59,30593,9334386,327.7
,2009,2009,Prostate,28010,60-64 years ,60-64,43217,7741673,558.2
,2009,2009,Prostate,28010,65-69 years,65-69,46453,5684499,817.2
,2009,2009,Prostate,28010,70-74 years,70-74,35782,4173443,857.4
,2009,2009,Prostate,28010,75-79 years,75-79,23608,3159284,747.3
,2009,2009,Prostate,28010,80-84 years,80-84,12743,2272851,560.7
,2009,2009,Prostate,28010,85+ years,85+,8664,1735347,499.3
,2010,2010,Prostate,28010,35-39 years,35-39,109,9998713,1.1
,2010,2010,Prostate,28010,40-44 years,40-44,1123,10406414,10.8
,2010,2010,Prostate,28010,45-49 years,45-49,5069,11184140,45.3
,2010,2010,Prostate,28010,50-54 years,50-54,15991,10968096,145.8
,2010,2010,Prostate,28010,55-59 years,55-59,29520,9594039,307.7
,2010,2010,Prostate,28010,60-64 years ,60-64,42231,8161898,517.4
,2010,2010,Prostate,28010,65-69 years,65-69,45789,5896687,776.5
,2010,2010,Prostate,28010,70-74 years,70-74,34797,4272420,814.5
,2010,2010,Prostate,28010,75-79 years,75-79,22732,3184718,713.8
,2010,2010,Prostate,28010,80-84 years,80-84,11967,2304463,519.3
,2010,2010,Prostate,28010,85+ years,85+,8350,1807131,462.1
,2011,2011,Prostate,28010,35-39 years,35-39,109,9788654,1.1
,2011,2011,Prostate,28010,40-44 years,40-44,1095,10493653,10.4
