Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,1999,1999,Prostate,28010,Alabama,1,2544,2136882,119.1
,1999,1999,Prostate,28010,Alaska,2,287,323513,88.7
,1999,1999,Prostate,28010,Arizona,4,3164,2505524,126.3
,1999,1999,Prostate,28010,Arkansas,5,1890,1292415,146.2
,1999,1999,Prostate,28010,California,6,20973,16699043,125.6
,1999,1999,Prostate,28010,Colorado,8,2720,2124660,128
,1999,1999,Prostate,28010,Connecticut,9,2717,1639253,165.7
,1999,1999,Prostate,28010,Delaware,10,609,376258,161.9
,1999,1999,Prostate,28010,District of Columbia,11,540,268416,201.2
,1999,1999,Prostate,28010,Florida,12,15927,7685574,207.2
,1999,1999,Prostate,28010,Georgia,13,4603,3949934,116.5
,1999,1999,Prostate,28010,Hawaii,15,791,608470,130
,1999,1999,Prostate,28010,Idaho,16,849,638876,132.9
,1999,1999,Prostate,28010,Illinois,17,8412,6045670,139.1
,1999,1999,Prostate,28010,Indiana,18,3489,2961618,117.8
,1999,1999,Prostate,28010,Iowa,19,2255,1429411,157.8
,1999,1999,Prostate,28010,Kansas,20,2019,1322294,152.7
,1999,1999,Prostate,28010,Kentucky,21,2800,1961652,142.7
,1999,1999,Prostate,28010,Louisiana,22,3018,2158067,139.8
,1999,1999,Prostate,28010,Maine,23,1035,616210,168
,1999,1999,Prostate,28010,Maryland,24,4081,2537581,160.8
,1999,1999,Prostate,28010,Massachusetts,25,5008,3042515,164.6
,1999,1999,Prostate,28010,Michigan,26,8766,4849346,180.8
,1999,1999,Prostate,28010,Minnesota,27,3634,2410550,150.8
,1999,1999,Prostate,28010,Missouri,29,3853,2701782,142.6
,1999,1999,Prostate,28010,Montana,30,800,446964,179
,1999,1999,Prostate,28010,Nebraska,31,1406,839233,167.5
,1999,1999,Prostate,28010,Nevada,32,990,985296,100.5
,1999,1999,Prostate,28010,New Hampshire,33,844,600605,140.5
,1999,1999,Prostate,28010,New Jersey,34,7300,4055321,180
,1999,1999,Prostate,28010,New Mexico,35,1268,889421,142.6
,1999,1999,Prostate,28010,New York,36,13918,9105071,152.9
,1999,1999,Prostate,28010,North Carolina,37,5249,3886651,135.1
,1999,1999,Prostate,28010,North Dakota,38,633,321642,196.8
,1999,1999,Prostate,28010,Ohio,39,8064,5500437,146.6
,1999,1999,Prostate,28010,Oklahoma,40,2280,1688364,135
,1999,1999,Prostate,28010,Oregon,41,2875,1681715,171
,1999,1999,Prostate,28010,Pennsylvania,42,10900,5916741,184.2
,1999,1999,Prostate,28010,Rhode Island,44,874,499678,174.9
,1999,1999,Prostate,28010,South Carolina,45,3095,1929076,160.4
,1999,1999,Prostate,28010,Tennessee,47,2774,2741240,101.2
,1999,1999,Prostate,28010,Texas,48,12452,10198018,122.1
,1999,1999,Prostate,28010,Utah,49,1308,1103315,118.6
,1999,1999,Prostate,28010,Vermont,50,439,296285,148.2
,1999,1999,Prostate,28010,Virginia,51,4731,3430491,137.9
,1999,1999,Prostate,28010,Washington,53,4520,2907663,155.5
,1999,1999,Prostate,28010,West Virginia,54,1370,879990,155.7
,1999,1999,Prostate,28010,Wisconsin,55,4183,2631141,159
,1999,1999,Prostate,28010,Wyoming,56,394,247262,159.3
,2000,2000,Prostate,28010,Alabama,1,2793,2149338,129.9
,2000,2000,Prostate,28010,Alaska,2,307,324750,94.5
,2000,2000,Prostate,28010,Arizona,4,3109,2576007,120.7
,2000,2000,Prostate,28010,Arkansas,5,1901,1307573,145.4
,2000,2000,Prostate,28010,California,6,20947,16937562,123.7
,2000,2000,Prostate,28010,Colorado,8,2718,2179179,124.7
,2000,2000,Prostate,28010,Connecticut,9,3097,1652459,187.4
,2000,2000,Prostate,28010,Delaware,10,599,381926,156.8
,2000,2000,Prostate,28010,District of Columbia,11,565,269403,209.7
,2000,2000,Prostate,28010,Florida,12,16194,7830201,206.8
,2000,2000,Prostate,28010,Georgia,13,5029,4047070,124.3
,2000,2000,Prostate,28010,Hawaii,15,809,610025,132.6
,2000,2000,Prostate,28010,Idaho,16,1006,651446,154.4
,2000,2000,Prostate,28010,Illinois,17,8486,6088884,139.4
,2000,2000,Prostate,28010,Indiana,18,3807,2988697,127.4
,2000,2000,Prostate,28010,Iowa,19,2338,1437292,162.7
,2000,2000,Prostate,28010,Kansas,20,2012,1331181,151.1
,2000,2000,Prostate,28010,Kentucky,21,2787,1979305,140.8
,2000,2000,Prostate,28010,Louisiana,22,3105,2164907,143.4
,2000,2000,Prostate,28010,Maine,23,1187,621527,191
,2000,2000,Prostate,28010,Maryland,24,4181,2565003,163
,2000,2000,Prostate,28010,Massachusetts,25,5284,3064859,172.4
,2000,2000,Prostate,28010,Michigan,26,8858,4880268,181.5
,2000,2000,Prostate,28010,Minnesota,27,4097,2443070,167.7
,2000,2000,Prostate,28010,Missouri,29,3622,2727498,132.8
,2000,2000,Prostate,28010,Montana,30,831,450348,184.5
,2000,2000,Prostate,28010,Nebraska,31,1384,844840,163.8
,2000,2000,Prostate,28010,Nevada,32,1506,1028426,146.4
,2000,2000,Prostate,28010,New Hampshire,33,928,609771,152.2
,2000,2000,Prostate,28010,New Jersey,34,7782,4090509,190.2
,2000,2000,Prostate,28010,New Mexico,35,1162,895580,129.7
,2000,2000,Prostate,28010,New York,36,15415,9159719,168.3
,2000,2000,Prostate,28010,North Carolina,37,5782,3962580,145.9
,2000,2000,Prostate,28010,North Dakota,38,644,320468,201
,2000,2000,Prostate,28010,Ohio,39,8012,5518118,145.2
,2000,2000,Prostate,28010,Oklahoma,40,2383,1697872,140.4
,2000,2000,Prostate,28010,Oregon,41,2701,1701061,158.8
,2000,2000,Prostate,28010,Pennsylvania,42,11050,5932174,186.3
,2000,2000,Prostate,28010,Rhode Island,44,942,504494,186.7
,2000,2000,Prostate,28010,South Carolina,45,3154,1955596,161.3
,2000,2000,Prostate,28010,Tennessee,47,2906,2777586,104.6
,2000,2000,Prostate,28010,Texas,48,12672,10399343,121.9
,2000,2000,Prostate,28010,Utah,49,1247,1124675,110.9
,2000,2000,Prostate,28010,Vermont,50,526,298769,176.1
,2000,2000,Prostate,28010,Virginia,51,4887,3486075,140.2
,2000,2000,Prostate,28010,Washington,53,4379,2942778,148.8
,2000,2000,Prostate,28010,West Virginia,54,1531,878752,174.2
,2000,2000,Prostate,28010,Wisconsin,55,4237,2654764,159.6
,2000,2000,Prostate,28010,Wyoming,56,436,248716,175.3
,2001,2001,Prostate,28010,Alabama,1,3113,2158138,144.2
,2001,2001,Prostate,28010,Alaska,2,340,328135,103.6
,2001,2001,Prostate,28010,Arizona,4,3330,2631801,126.5
,2001,2001,Prostate,28010,Arkansas,5,1976,1314726,150.3
,2001,2001,Prostate,28010,California,6,21592,17185235,125.6
,2001,2001,Prostate,28010,Colorado,8,2843,2229982,127.5
,2001,2001,Prostate,28010,Connecticut,9,3102,1663876,186.4
,2001,2001,Prostate,28010,Delaware,10,711,386350,184
,2001,2001,Prostate,28010,District of Columbia,11,489,270764,180.6
,2001,2001,Prostate,28010,Florida,12,16681,7984190,208.9
,2001,2001,Prostate,28010,Georgia,13,5433,4120876,131.8
,2001,2001,Prostate,28010,Hawaii,15,808,616759,131
,2001,2001,Prostate,28010,Idaho,16,1029,661919,155.5
,2001,2001,Prostate,28010,Illinois,17,8995,6118002,147
,2001,2001,Prostate,28010,Indiana,18,4028,3007602,133.9
,2001,2001,Prostate,28010,Iowa,19,2282,1439710,158.5
,2001,2001,Prostate,28010,Kansas,20,1939,1336196,145.1
,2001,2001,Prostate,28010,Kentucky,21,2880,1991261,144.6
,2001,2001,Prostate,28010,Louisiana,22,3325,2169812,153.2
,2001,2001,Prostate,28010,Maine,23,1213,626035,193.8
,2001,2001,Prostate,28010,Maryland,24,4177,2594827,161
,2001,2001,Prostate,28010,Massachusetts,25,5363,3085067,173.8
,2001,2001,Prostate,28010,Michigan,26,8986,4901831,183.3
,2001,2001,Prostate,28010,Minnesota,27,4168,2468647,168.8
,2001,2001,Prostate,28010,Missouri,29,3960,2745666,144.2
,2001,2001,Prostate,28010,Montana,30,880,452278,194.6
,2001,2001,Prostate,28010,Nebraska,31,1269,848628,149.5
,2001,2001,Prostate,28010,Nevada,32,1602,1067549,150.1
,2001,2001,Prostate,28010,New Hampshire,33,1033,618105,167.1
,2001,2001,Prostate,28010,New Jersey,34,8242,4122739,199.9
,2001,2001,Prostate,28010,New Mexico,35,1276,901303,141.6
,2001,2001,Prostate,28010,New York,36,15136,9204125,164.4
,2001,2001,Prostate,28010,North Carolina,37,6110,4022805,151.9
,2001,2001,Prostate,28010,North Dakota,38,632,319275,197.9
,2001,2001,Prostate,28010,Ohio,39,8328,5533713,150.5
,2001,2001,Prostate,28010,Oklahoma,40,2368,1707048,138.7
,2001,2001,Prostate,28010,Oregon,41,2781,1720048,161.7
,2001,2001,Prostate,28010,Pennsylvania,42,11226,5944575,188.8
,2001,2001,Prostate,28010,Rhode Island,44,945,508168,186
,2001,2001,Prostate,28010,South Carolina,45,3249,1975032,164.5
,2001,2001,Prostate,28010,South Dakota,46,750,376435,199.2
,2001,2001,Prostate,28010,Tennessee,47,3001,2802368,107.1
,2001,2001,Prostate,28010,Texas,48,13274,10588432,125.4
,2001,2001,Prostate,28010,Utah,49,1370,1144533,119.7
,2001,2001,Prostate,28010,Vermont,50,486,300444,161.8
,2001,2001,Prostate,28010,Virginia,51,5189,3532976,146.9
,2001,2001,Prostate,28010,Washington,53,4505,2983642,151
,2001,2001,Prostate,28010,West Virginia,54,1536,877838,175
,2001,2001,Prostate,28010,Wisconsin,55,4429,2673188,165.7
,2001,2001,Prostate,28010,Wyoming,56,430,249330,172.5
,2002,2002,Prostate,28010,Alabama,1,3076,2165719,142
,2002,2002,Prostate,28010,Alaska,2,397,332704,119.3
,2002,2002,Prostate,28010,Arizona,4,3146,2692038,116.9
,2002,2002,Prostate,28010,Arkansas,5,2104,1322688,159.1
,2002,2002,Prostate,28010,California,6,22464,17373381,129.3
,2002,2002,Prostate,28010,Colorado,8,2894,2261741,128
,2002,2002,Prostate,28010,Connecticut,9,3026,1678249,180.3
,2002,2002,Prostate,28010,Delaware,10,771,391517,196.9
,2002,2002,Prostate,28010,District of Columbia,11,533,270012,197.4
,2002,2002,Prostate,28010,Florida,12,16251,8147636,199.5
,2002,2002,Prostate,28010,Georgia,13,5558,4180322,133
,2002,2002,Prostate,28010,Hawaii,15,703,623421,112.8
,2002,2002,Prostate,28010,Idaho,16,1000,671686,148.9
,2002,2002,Prostate,28010,Illinois,17,9303,6137659,151.6
,2002,2002,Prostate,28010,Indiana,18,3865,3022625,127.9
,2002,2002,Prostate,28010,Iowa,19,2315,1442784,160.5
,2002,2002,Prostate,28010,Kansas,20,2042,1341637,152.2
,2002,2002,Prostate,28010,Kentucky,21,2954,2002652,147.5
,2002,2002,Prostate,28010,Louisiana,22,3603,2181743,165.1
,2002,2002,Prostate,28010,Maine,23,1122,631734,177.6
,2002,2002,Prostate,28010,Maryland,24,4551,2625192,173.4
,2002,2002,Prostate,28010,Massachusetts,25,5216,3097770,168.4
,2002,2002,Prostate,28010,Michigan,26,9201,4915539,187.2
,2002,2002,Prostate,28010,Minnesota,27,4208,2487730,169.2
,2002,2002,Prostate,28010,Missouri,29,3767,2764349,136.3
,2002,2002,Prostate,28010,Montana,30,955,454955,209.9
,2002,2002,Prostate,28010,Nebraska,31,1286,853489,150.7
,2002,2002,Prostate,28010,Nevada,32,1730,1104027,156.7
,2002,2002,Prostate,28010,New Hampshire,33,1067,625409,170.6
,2002,2002,Prostate,28010,New Jersey,34,8441,4153842,203.2
,2002,2002,Prostate,28010,New Mexico,35,1296,913453,141.9
,2002,2002,Prostate,28010,New York,36,15527,9234873,168.1
,2002,2002,Prostate,28010,North Carolina,37,6062,4076022,148.7
,2002,2002,Prostate,28010,North Dakota,38,595,319151,186.4
,2002,2002,Prostate,28010,Ohio,39,8403,5548504,151.4
,2002,2002,Prostate,28010,Oklahoma,40,2585,1720000,150.3
,2002,2002,Prostate,28010,Oregon,41,2639,1742298,151.5
,2002,2002,Prostate,28010,Pennsylvania,42,11324,5967199,189.8
,2002,2002,Prostate,28010,Rhode Island,44,928,512905,180.9
,2002,2002,Prostate,28010,South Carolina,45,3593,1996726,179.9
,2002,2002,Prostate,28010,South Dakota,46,745,377692,197.3
,2002,2002,Prostate,28010,Tennessee,47,3162,2824045,112
,2002,2002,Prostate,28010,Texas,48,13289,10775672,123.3
,2002,2002,Prostate,28010,Utah,49,1456,1165962,124.9
,2002,2002,Prostate,28010,Vermont,50,515,302483,170.3
,2002,2002,Prostate,28010,Virginia,51,5079,3573178,142.1
,2002,2002,Prostate,28010,Washington,53,4616,3015607,153.1
,2002,2002,Prostate,28010,West Virginia,54,1469,881573,166.6
,2002,2002,Prostate,28010,Wisconsin,55,4351,2693465,161.5
,2002,2002,Prostate,28010,Wyoming,56,406,252232,161
,2003,2003,Prostate,28010,Alabama,1,3089,2179422,141.7
,2003,2003,Prostate,28010,Alaska,2,319,335380,95.1
,2003,2003,Prostate,28010,Arizona,4,3232,2746287,117.7
,2003,2003,Prostate,28010,Arkansas,5,2249,1333293,168.7
,2003,2003,Prostate,28010,California,6,21126,17543650,120.4
