"Date Printed: Wednesday, January 25, 2023 12:12:47 PM"
Title: HIV diagnoses | 2019 | Ages 13 years and older | All races/ethnicities | Both sexes | All transmission categories | US Map-County Level

Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
NA - Not Applicable.




Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","Autauga County, Alabama","01001","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","15.0","46,745"
"HIV diagnoses","Baldwin County, Alabama","01003","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15","7.9","189,942"
"HIV diagnoses","Barbour County, Alabama","01005","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","21,044"
"HIV diagnoses","Bibb County, Alabama","01007","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","19,108"
"HIV diagnoses","Blount County, Alabama","01009","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","48,424"
"HIV diagnoses","Bullock County, Alabama","01011","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,589"
"HIV diagnoses","Butler County, Alabama","01013","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,447"
"HIV diagnoses","Calhoun County, Alabama","01015","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","9.3","96,786"
"HIV diagnoses","Chambers County, Alabama","01017","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13","46.0","28,250"
"HIV diagnoses","Cherokee County, Alabama","01019","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","22,811"
"HIV diagnoses","Chilton County, Alabama","01021","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","36,829"
"HIV diagnoses","Choctaw County, Alabama","01023","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","10,852"
"HIV diagnoses","Clarke County, Alabama","01025","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","20,116"
"HIV diagnoses","Clay County, Alabama","01027","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","11,330"
"HIV diagnoses","Cleburne County, Alabama","01029","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","12,548"
"HIV diagnoses","Coffee County, Alabama","01031","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","18.3","43,807"
"HIV diagnoses","Colbert County, Alabama","01033","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","46,908"
"HIV diagnoses","Conecuh County, Alabama","01035","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","10,273"
"HIV diagnoses","Coosa County, Alabama","01037","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","9,439"
"HIV diagnoses","Covington County, Alabama","01039","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","31,242"
"HIV diagnoses","Crenshaw County, Alabama","01041","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","11,604"
"HIV diagnoses","Cullman County, Alabama","01043","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","70,228"
"HIV diagnoses","Dale County, Alabama","01045","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","19.5","41,031"
"HIV diagnoses","Dallas County, Alabama","01047","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","31,063"
"HIV diagnoses","Dekalb County, Alabama","01049","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","10.1","59,434"
"HIV diagnoses","Elmore County, Alabama","01051","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12","17.5","68,720"
"HIV diagnoses","Escambia County, Alabama","01053","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","30,648"
"HIV diagnoses","Etowah County, Alabama","01055","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","5.8","86,902"
"HIV diagnoses","Fayette County, Alabama","01057","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","13,831"
"HIV diagnoses","Franklin County, Alabama","01059","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","25,915"
"HIV diagnoses","Geneva County, Alabama","01061","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","22,277"
"HIV diagnoses","Greene County, Alabama","01063","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,857"
"HIV diagnoses","Hale County, Alabama","01065","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","12,209"
"HIV diagnoses","Henry County, Alabama","01067","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","14,705"
"HIV diagnoses","Houston County, Alabama","01069","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","19","21.4","88,853"
"HIV diagnoses","Jackson County, Alabama","01071","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","44,213"
"HIV diagnoses","Jefferson County, Alabama","01073","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","128","23.3","549,336"
"HIV diagnoses","Lamar County, Alabama","01075","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","11,740"
"HIV diagnoses","Lauderdale County, Alabama","01077","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","10.0","80,248"
"HIV diagnoses","Lawrence County, Alabama","01079","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","27,853"
"HIV diagnoses","Lee County, Alabama","01081","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","21","15.0","140,036"
"HIV diagnoses","Limestone County, Alabama","01083","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","7.2","83,743"
