Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"Linkage to HIV medical care","2025","Alabama","01","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alabama","01","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alabama","01","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alabama","01","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alabama","01","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alabama","01","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","65+","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","55-64","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
