Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"Linkage to HIV medical care","2025","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","American Samoa","60","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arizona","04","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Arkansas","05","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","California","06","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Colorado","08","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Connecticut","09","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Delaware","10","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Florida","12","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Florida","12","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Georgia","13","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Georgia","13","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Guam","66","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Guam","66","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Hawaii","15","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Hawaii","15","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Idaho","16","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Idaho","16","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Illinois","17","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Illinois","17","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Indiana","18","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Indiana","18","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Iowa","19","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"Linkage to HIV medical care","2025","Iowa","19","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
