"Date Printed: Thursday, June 15, 2023 9:56:54 AM",,,
"Title: ""HIV deaths | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | United States | All races/ethnicities | Additional gender identity (AGI) | Transgender man | Transgender woman | Ages 13 years and older | All transmission categories""""",,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,
Death data for the year 2021 are preliminary and based on death data received by CDC as of December 2022. Death data for years 2020 and 2021 should be interpreted with caution due to excess deaths in the United States population attributed to the COVID-19 pandemic. For additional information, see https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.,,
^ Jurisdiction with incomplete reporting of deaths for most recent year.,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,
NA - Not applicable.


Indicator,Year,Sex,Cases
"HIV deaths","2008","Additional gender identity (AGI)","2"
"HIV deaths","2008","Transgender man","1"
"HIV deaths","2008","Transgender woman","56"
"HIV deaths","2009","Additional gender identity (AGI)","2"
"HIV deaths","2009","Transgender man","3"
"HIV deaths","2009","Transgender woman","58"
"HIV deaths","2010","Additional gender identity (AGI)","4"
"HIV deaths","2010","Transgender man","0"
"HIV deaths","2010","Transgender woman","45"
"HIV deaths","2011","Additional gender identity (AGI)","2"
"HIV deaths","2011","Transgender man","1"
"HIV deaths","2011","Transgender woman","75"
"HIV deaths","2012","Additional gender identity (AGI)","1"
"HIV deaths","2012","Transgender man","2"
"HIV deaths","2012","Transgender woman","80"
"HIV deaths","2013","Additional gender identity (AGI)","0"
"HIV deaths","2013","Transgender man","3"
"HIV deaths","2013","Transgender woman","85"
"HIV deaths","2014","Additional gender identity (AGI)","0"
"HIV deaths","2014","Transgender man","3"
"HIV deaths","2014","Transgender woman","88"
"HIV deaths","2015","Additional gender identity (AGI)","1"
"HIV deaths","2015","Transgender man","5"
"HIV deaths","2015","Transgender woman","107"
"HIV deaths","2016","Additional gender identity (AGI)","1"
"HIV deaths","2016","Transgender man","2"
"HIV deaths","2016","Transgender woman","120"
"HIV deaths","2017","Additional gender identity (AGI)","3"
"HIV deaths","2017","Transgender man","5"
"HIV deaths","2017","Transgender woman","108"
"HIV deaths","2018","Additional gender identity (AGI)","1"
"HIV deaths","2018","Transgender man","5"
"HIV deaths","2018","Transgender woman","118"
"HIV deaths","2019","Additional gender identity (AGI)","2"
"HIV deaths","2019","Transgender man","5"
"HIV deaths","2019","Transgender woman","145"
"HIV deaths","2020 (COVID-19 Pandemic)","Additional gender identity (AGI)","0"
"HIV deaths","2020 (COVID-19 Pandemic)","Transgender man","10"
"HIV deaths","2020 (COVID-19 Pandemic)","Transgender woman","207"
"HIV deaths","2021","Additional gender identity (AGI)","1"
"HIV deaths","2021","Transgender man","2"
"HIV deaths","2021","Transgender woman","215"
