Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV deaths","2022","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,596","3.2","143,238,562"
"HIV deaths","2022","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","14,913","10.8","138,715,098"
"HIV deaths","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,892","3.4","142,359,764"
"HIV deaths","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","15,310","11.1","137,948,878"
"HIV deaths","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,657","3.3","141,647,970"
"HIV deaths","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","14,471","10.5","137,333,841"
"HIV deaths","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","3,829","2.7","141,074,630"
"HIV deaths","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","12,395","9.2","134,988,583"
"HIV deaths","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","3,976","2.8","140,176,915"
"HIV deaths","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","12,186","9.1","134,107,685"
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","3,981","2.9","139,222,563"
"HIV deaths","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","12,303","9.2","133,173,155"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,000","2.9","138,154,274"
"HIV deaths","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","12,269","9.3","132,106,266"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","3,867","2.8","137,019,206"
"HIV deaths","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","11,892","9.1","130,955,708"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,148","3.1","135,915,908"
"HIV deaths","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","11,894","9.2","129,794,041"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,037","3.0","134,746,814"
"HIV deaths","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","11,783","9.2","128,593,502"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,177","3.1","133,620,059"
"HIV deaths","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","11,706","9.2","127,402,542"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,198","3.2","132,481,994"
"HIV deaths","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","11,935","9.5","126,180,234"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,330","3.3","131,356,635"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","12,250","9.8","125,033,230"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,733","3.7","129,285,690"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","13,097","10.6","123,967,448"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","4,922","3.8","128,222,223"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","13,425","10.9","122,787,775"
