"Date Printed: Thursday, May 4, 2023 5:22:48 PM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | Black/African American | Female | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","99","16.9","584,957"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","89","15.3","582,464"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","100","17.3","579,339"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","102","17.7","575,841"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","99","17.3","572,951"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","92","16.2","568,991"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","109","19.3","564,378"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","109","19.5","558,766"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","126","22.8","553,630"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","140","25.5","548,954"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","118","21.8","540,093"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","166","30.9","536,698"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","2","23.7","8,434"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,498"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","11.7","8,517"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","11.9","8,407"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,255"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","12.0","8,304"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,387"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","12.1","8,290"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","7,935"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","3","38.8","7,737"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","10.8","9,230"
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","11.1","9,010"
"HIV diagnoses","2019","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","37","28.7","128,743"
"HIV diagnoses","2018","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","24","19.4","123,473"
"HIV diagnoses","2017","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","37","31.2","118,495"
"HIV diagnoses","2016","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","38","33.3","114,011"
"HIV diagnoses","2015","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","37","34.0","108,791"
"HIV diagnoses","2014","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","35","33.5","104,450"
"HIV diagnoses","2013","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","27","26.8","100,782"
"HIV diagnoses","2012","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","28","28.6","97,738"
"HIV diagnoses","2011","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","23","24.4","94,301"
"HIV diagnoses","2010","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","16","17.4","91,787"
"HIV diagnoses","2009","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","20","22.0","90,778"
"HIV diagnoses","2008","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","19","21.9","86,737"
"HIV diagnoses","2019","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","34","16.9","200,678"
"HIV diagnoses","2018","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","31","15.5","199,531"
"HIV diagnoses","2017","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","27","13.6","198,277"
"HIV diagnoses","2016","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","22","11.1","197,364"
"HIV diagnoses","2015","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","33","16.8","196,041"
"HIV diagnoses","2014","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","24","12.3","194,734"
"HIV diagnoses","2013","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","35","18.1","193,524"
"HIV diagnoses","2012","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","27","14.1","192,002"
"HIV diagnoses","2011","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","33","17.3","190,631"
"HIV diagnoses","2010","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","15","7.9","188,739"
"HIV diagnoses","2009","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","33","17.4","189,558"
"HIV diagnoses","2008","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","26","13.8","188,163"
"HIV diagnoses","2019","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","160","16.7","956,683"
"HIV diagnoses","2018","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","167","17.5","956,982"
"HIV diagnoses","2017","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","143","15.0","956,286"
"HIV diagnoses","2016","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","185","19.4","954,621"
"HIV diagnoses","2015","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","162","17.0","952,089"
"HIV diagnoses","2014","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","162","17.1","948,795"
"HIV diagnoses","2013","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","144","15.2","944,388"
"HIV diagnoses","2012","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","169","18.0","940,771"
"HIV diagnoses","2011","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","182","19.4","936,563"
"HIV diagnoses","2010","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","190","20.4","931,717"
"HIV diagnoses","2009","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","218","23.2","938,444"
"HIV diagnoses","2008","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","237","25.4","933,244"
"HIV diagnoses","2019","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","24","27.1","88,570"
"HIV diagnoses","2018","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","11","12.6","87,051"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","15","17.7","84,980"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","22","26.3","83,571"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","22","26.9","81,766"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","17","21.3","79,749"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","13","16.7","77,822"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","21","27.7","75,747"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","16","21.7","73,833"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","29","40.2","72,157"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","19","26.0","73,148"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","24","33.7","71,271"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","23","14.0","164,573"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","29","17.9","162,414"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","46","28.7","160,306"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","32","20.2","158,565"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","35","22.3","157,033"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","53","34.1","155,366"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","33","21.5","153,723"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","41","27.0","151,742"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","41","27.4","149,888"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","58","39.2","148,039"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","52","36.6","142,055"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","51","36.3","140,351"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","17","17.8","95,524"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","18","19.2","93,685"
"HIV diagnoses","2017","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","25","27.2","91,936"
"HIV diagnoses","2016","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","18","19.9","90,469"
"HIV diagnoses","2015","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","10","11.2","88,895"
"HIV diagnoses","2014","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","25","28.6","87,322"
"HIV diagnoses","2013","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","22","25.7","85,692"
"HIV diagnoses","2012","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","28","33.3","84,093"
"HIV diagnoses","2011","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","20","24.2","82,749"
"HIV diagnoses","2010","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","19","23.4","81,268"
"HIV diagnoses","2009","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","24","30.2","79,403"
"HIV diagnoses","2008","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","38","48.7","78,008"
"HIV diagnoses","2019","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","50","34.1","146,502"
"HIV diagnoses","2018","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","59","40.1","147,229"
"HIV diagnoses","2017","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","66","44.6","147,869"
"HIV diagnoses","2016","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","83","56.0","148,116"
"HIV diagnoses","2015","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","84","56.8","147,974"
"HIV diagnoses","2014","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","69","46.8","147,327"
"HIV diagnoses","2013","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","112","76.4","146,645"
"HIV diagnoses","2012","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","145","100.0","144,969"
"HIV diagnoses","2011","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","156","108.5","143,771"
"HIV diagnoses","2010","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","202","141.5","142,779"
"HIV diagnoses","2009","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","217","144.1","150,581"
"HIV diagnoses","2008","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","263","174.1","151,067"
"HIV diagnoses","2019","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","512","35.7","1,433,655"
"HIV diagnoses","2018","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","547","38.7","1,413,934"
"HIV diagnoses","2017","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","616","44.2","1,393,237"
"HIV diagnoses","2016","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","661","48.3","1,368,068"
"HIV diagnoses","2015","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","578","43.1","1,342,009"
"HIV diagnoses","2014","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","621","47.1","1,317,192"
"HIV diagnoses","2013","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","713","55.2","1,291,746"
"HIV diagnoses","2012","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","712","56.2","1,267,424"
"HIV diagnoses","2011","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","790","63.8","1,239,173"
"HIV diagnoses","2010","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","842","69.4","1,213,488"
"HIV diagnoses","2009","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","922","78.9","1,168,666"
"HIV diagnoses","2008","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","1,119","97.0","1,153,324"
"HIV diagnoses","2019","Georgia","13","Ages 13 years and older","Black/African American","Female","All transmission categories","348","23.2","1,498,608"
"HIV diagnoses","2018","Georgia","13","Ages 13 years and older","Black/African American","Female","All transmission categories","390","26.5","1,470,493"
"HIV diagnoses","2017","Georgia","13","Ages 13 years and older","Black/African American","Female","All transmission categories","445","30.8","1,444,382"
"HIV diagnoses","2016","Georgia","13","Ages 13 years and older","Black/African American","Female","All transmission categories","360","25.4","1,417,150"
"HIV diagnoses","2015","Georgia","13","Ages 13 years and older","Black/African American","Female","All transmission categories","395","28.4","1,388,565"
