"Date Printed: Tuesday, February 28, 2023 3:36:23 PM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","625","14.7","4,249,627"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","590","14.0","4,227,434"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","635","15.4","4,128,511"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","606","14.7","4,110,461"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","647","15.8","4,096,426"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","653","16.0","4,084,113"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","665","16.3","4,071,935"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","659","16.2","4,060,083"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","625","15.5","4,042,695"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","660","16.4","4,020,179"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","671","16.8","3,998,191"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","686","17.2","3,980,691"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","687","17.6","3,898,688"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","698","18.0","3,870,996"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","30","5.0","602,546"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","29","4.8","600,321"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","27","4.5","600,561"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","23","3.8","601,566"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","29","4.8","604,084"
