Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","3,435","31.2","11,020"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","397","22.3","1,780"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","8,316","32.3","25,780"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","1,675","32.7","5,130"
"PrEP coverage and number of persons prescribed","2022","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","61,509","37.3","165,030"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","7,611","30.3","25,120"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","4,001","41.9","9,560"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","852","19.4","4,400"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","7,746","59.8","12,950"
"PrEP coverage and number of persons prescribed","2022","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","46,350","37.0","125,330"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","13,744","35.2","39,030"
"PrEP coverage and number of persons prescribed","2022","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","1,512","34.7","4,360"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","1,075","22.4","4,790"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","21,898","39.2","55,860"
