Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","312","14.4","2,160"
"PrEP coverage and number of persons prescribed","2022","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,122","35.2","8,860"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","230"
"PrEP coverage and number of persons prescribed","2022","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","1,550"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","American Samoa","60","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","Ages 13 years and older","All races/ethnicities","Female","464","14.4","3,230"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","Ages 13 years and older","All races/ethnicities","Male","7,849","34.8","22,550"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","Ages 13 years and older","All races/ethnicities","Female","123","12.7","970"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","Ages 13 years and older","All races/ethnicities","Male","1,552","37.3","4,160"
"PrEP coverage and number of persons prescribed","2022","California","06","Ages 13 years and older","All races/ethnicities","Female","3,182","16.1","19,750"
"PrEP coverage and number of persons prescribed","2022","California","06","Ages 13 years and older","All races/ethnicities","Male","58,306","40.1","145,280"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","Ages 13 years and older","All races/ethnicities","Female","377","15.3","2,460"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","Ages 13 years and older","All races/ethnicities","Male","7,231","31.9","22,660"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","Ages 13 years and older","All races/ethnicities","Female","332","15.0","2,220"
