Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2023","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","438,422","1245.0","35,215,819"
"HIV prevalence","2023","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","18,026","101.5","17,761,412"
"HIV prevalence","2023","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","3,279","159.8","2,051,791"
"HIV prevalence","2023","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","61,617","1098.7","5,608,017"
"HIV prevalence","2023","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","307,068","179.6","170,996,505"
"HIV prevalence","2023","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","962","180.0","534,510"
"HIV prevalence","2023","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","286,599","553.5","51,775,647"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","272,417","538.2","50,614,339"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","429,395","1229.7","34,919,806"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","17,018","98.3","17,314,804"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","3,147","154.8","2,033,272"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","61,923","1142.4","5,420,349"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","303,416","177.3","171,127,409"
"HIV prevalence","2022","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","918","175.3","523,681"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","846","165.0","512,696"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","260,190","525.3","49,534,123"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","422,359","1218.4","34,665,296"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","16,153","95.5","16,905,441"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","3,011","149.4","2,016,037"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","62,027","1183.9","5,239,262"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","300,198","175.1","171,435,787"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","White","Both sexes","All transmission categories","297,341","173.2","171,701,648"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","790","156.6","504,349"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","251,705","517.9","48,600,403"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","416,088","1207.7","34,452,005"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Asian","Both sexes","All transmission categories","15,431","92.6","16,661,490"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","2,891","144.8","1,997,229"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","62,077","1225.7","5,064,687"
"HIV prevalence","2019","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","2,806","140.5","1,996,615"
"HIV prevalence","2019","United States","NA","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","62,031","1275.6","4,863,049"
