Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","245,956","172.9","142,260,186"
"HIV prevalence","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","825,049","598.1","137,942,463"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","243,434","171.9","141,638,455"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","808,719","588.8","137,343,190"
"HIV prevalence","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","242,132","171.6","141,074,630"
"HIV prevalence","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","797,117","590.5","134,988,583"
"HIV prevalence","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","238,358","170.0","140,176,915"
"HIV prevalence","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","778,564","580.6","134,107,685"
"HIV prevalence","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","234,557","168.5","139,222,563"
"HIV prevalence","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","759,266","570.1","133,173,155"
"HIV prevalence","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","230,500","166.8","138,154,274"
"HIV prevalence","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","739,372","559.7","132,106,266"
"HIV prevalence","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","226,398","165.2","137,019,206"
"HIV prevalence","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","718,833","548.9","130,955,708"
"HIV prevalence","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","222,409","163.6","135,915,908"
"HIV prevalence","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","697,698","537.5","129,794,041"
"HIV prevalence","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","218,600","162.2","134,746,814"
"HIV prevalence","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","676,827","526.3","128,593,502"
"HIV prevalence","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","214,712","160.7","133,620,059"
"HIV prevalence","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","656,752","515.5","127,402,542"
"HIV prevalence","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","210,451","158.9","132,481,994"
"HIV prevalence","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","635,756","503.8","126,180,234"
"HIV prevalence","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","205,582","156.5","131,356,635"
"HIV prevalence","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","614,908","491.8","125,033,230"
"HIV prevalence","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","199,291","154.1","129,285,690"
"HIV prevalence","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","592,188","477.7","123,967,448"
"HIV prevalence","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","193,615","151.0","128,222,223"
"HIV prevalence","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","570,697","464.8","122,787,775"
