"Date Printed: Wednesday, January 25, 2023 12:12:07 PM"
Title: HIV diagnoses | 2019 | Ages 13 years and older | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level

Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
NA - Not Applicable.



Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","Alabama","01","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","635","15.4","4,128,511"
"HIV diagnoses","Alaska","02","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","27","4.5","600,561"
"HIV diagnoses","Arizona","04","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","747","12.2","6,121,860"
"HIV diagnoses","Arkansas","05","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","289","11.5","2,518,616"
"HIV diagnoses","California","06","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,454","13.5","33,070,892"
"HIV diagnoses","Colorado","08","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","465","9.6","4,864,999"
"HIV diagnoses","Connecticut","09","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","212","6.9","3,063,295"
"HIV diagnoses","Delaware","10","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","94","11.3","830,589"
"HIV diagnoses","District of Columbia","11","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","250","41.2","606,484"
"HIV diagnoses","Florida","12","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,361","23.6","18,463,032"
"HIV diagnoses","Georgia","13","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,407","27.2","8,850,817"
"HIV diagnoses","Hawaii","15","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","64","5.4","1,193,210"
"HIV diagnoses","Idaho","16","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","33","2.2","1,471,081"
"HIV diagnoses","Illinois","17","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,257","11.8","10,671,639"
"HIV diagnoses","Indiana","18","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","486","8.7","5,611,676"
"HIV diagnoses","Iowa","19","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","100","3.8","2,637,942"
"HIV diagnoses","Kansas","20","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","132","5.5","2,409,745"
"HIV diagnoses","Kentucky","21","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","328","8.7","3,752,213"
"HIV diagnoses","Louisiana","22","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","880","22.7","3,868,185"
"HIV diagnoses","Maine","23","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","30","2.6","1,171,155"
"HIV diagnoses","Maryland","24","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","915","18.0","5,092,825"
"HIV diagnoses","Massachusetts","25","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","538","9.1","5,941,888"
"HIV diagnoses","Michigan","26","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","674","8.0","8,469,397"
"HIV diagnoses","Minnesota","27","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","273","5.8","4,704,092"
"HIV diagnoses","Mississippi","28","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","471","19.0","2,479,498"
