Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Rate LCI,Rate UCI,Population
"HIV Stigma","2022","United States","NA","Ages 13 years and older","Asian","Both sexes","Data not available","34.6","25.9","43.2","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","Multiracial","Both sexes","Data not available","29.0","24.1","33.9","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","White","Both sexes","Data not available","27.7","25.2","30.1","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","Data not available","29.7","27.8","31.6","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","Black/African American","Both sexes","Data not available","30.4","28.3","32.6","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","Black/African American","Both sexes","Data not available","27.8","25.9","29.8","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","Asian","Both sexes","Data not available","33.1","25.1","41.2","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","Multiracial","Both sexes","Data not available","33.6","31.1","36.2","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","White","Both sexes","Data not available","27.1","24.6","29.6","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","Data not available","31.5","29.8","33.3","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","Data not available","29.9","28.3","31.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Black/African American","Both sexes","Data not available","28.7","27.5","30.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Asian","Both sexes","Data not available","32.9","26.3","39.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Multiracial","Both sexes","Data not available","29.4","26.0","32.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","White","Both sexes","Data not available","25.6","23.4","27.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","Data not available","32.7","30.2","35.2","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","Black/African American","Both sexes","Data not available","30.8","29.5","32.2","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","Asian","Both sexes","Data not available","32.4","21.8","43.1","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","Multiracial","Both sexes","Data not available","35.3","26.1","44.4","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","White","Both sexes","Data not available","29.0","27.1","31.0","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","Multiracial","Both sexes","Data not available","35.7","30.1","41.2","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","White","Both sexes","Data not available","28.2","26.3","30.0","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","Data not available","Data suppressed","NA","NA","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","Hispanic/Latino","Both sexes","Data not available","32.2","30.1","34.3","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","Black/African American","Both sexes","Data not available","33.3","31.4","35.3","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","Asian","Both sexes","Data not available","26.1","14.3","37.8","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","American Indian/Alaska Native","Both sexes","Data not available","Data suppressed","NA","NA","NA"
