Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Rate LCI,Rate UCI,Population
"HIV Stigma","2022","United States","NA","Ages 13 years and older","All races/ethnicities","Female","Data not available","32.9","30.6","35.3","NA"
"HIV Stigma","2022","United States","NA","Ages 13 years and older","All races/ethnicities","Male","Data not available","28.4","26.9","29.8","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Female","Data not available","33.5","30.5","36.5","NA"
"HIV Stigma","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Male","Data not available","28.0","26.5","29.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Female","Data not available","30.6","28.3","32.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Male","Data not available","27.8","27.0","28.6","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Female","Data not available","37.3","35.0","39.6","NA"
"HIV Stigma","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Male","Data not available","29.0","27.6","30.4","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Female","Data not available","36.5","34.3","38.7","NA"
"HIV Stigma","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Male","Data not available","29.7","28.8","30.5","NA"
