Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2022","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","3,453","18.8","18,359,238"
"HIV diagnoses","2021","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","3,406","18.7","18,223,872"
"HIV diagnoses","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","2,832","15.6","18,107,727"
"HIV diagnoses","2019","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","3,703","20.6","17,938,238"
"HIV diagnoses","2018","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","3,858","21.7","17,776,373"
"HIV diagnoses","2017","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","4,138","23.5","17,616,853"
"HIV diagnoses","2016","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","4,235","24.3","17,444,798"
"HIV diagnoses","2015","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","4,196","24.3","17,265,429"
"HIV diagnoses","2014","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","4,364","25.5","17,082,757"
"HIV diagnoses","2013","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","4,450","26.3","16,888,903"
"HIV diagnoses","2012","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","4,904","29.4","16,691,012"
"HIV diagnoses","2011","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","5,227","31.7","16,493,898"
"HIV diagnoses","2010","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","5,726","35.1","16,300,467"
"HIV diagnoses","2009","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","6,162","38.3","16,077,576"
"HIV diagnoses","2008","United States","NA","Ages 13 years and older","Black/African American","Female","All transmission categories","6,917","43.5","15,908,442"
