Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2022","Alabama","01","65+","Black/African American","Female","All transmission categories","5","4.6","109,572"
"HIV diagnoses","2022","Alabama","01","55-64","Black/African American","Female","All transmission categories","11","12.3","89,468"
"HIV diagnoses","2022","Alabama","01","45-54","Black/African American","Female","All transmission categories","17","19.6","86,587"
"HIV diagnoses","2022","Alabama","01","35-44","Black/African American","Female","All transmission categories","30","31.8","94,376"
"HIV diagnoses","2022","Alabama","01","25-34","Black/African American","Female","All transmission categories","31","30.4","102,050"
"HIV diagnoses","2022","Alabama","01","13-24","Black/African American","Female","All transmission categories","12","10.0","119,896"
"HIV diagnoses","2022","Alaska","02","65+","Black/African American","Female","All transmission categories","0","0.0","1,105"
"HIV diagnoses","2022","Alaska","02","55-64","Black/African American","Female","All transmission categories","0","0.0","1,070"
"HIV diagnoses","2022","Alaska","02","45-54","Black/African American","Female","All transmission categories","0","0.0","1,021"
"HIV diagnoses","2022","Alaska","02","35-44","Black/African American","Female","All transmission categories","0","0.0","1,438"
"HIV diagnoses","2022","Alaska","02","25-34","Black/African American","Female","All transmission categories","1","55.3","1,809"
"HIV diagnoses","2022","Alaska","02","13-24","Black/African American","Female","All transmission categories","0","0.0","1,807"
"HIV diagnoses","2022","American Samoa","60","65+","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","American Samoa","60","55-64","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","American Samoa","60","45-54","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","American Samoa","60","35-44","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","American Samoa","60","25-34","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","American Samoa","60","13-24","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","Arizona","04","65+","Black/African American","Female","All transmission categories","0","0.0","19,972"
"HIV diagnoses","2022","Arizona","04","55-64","Black/African American","Female","All transmission categories","4","22.0","18,174"
"HIV diagnoses","2022","Arizona","04","45-54","Black/African American","Female","All transmission categories","11","53.5","20,572"
"HIV diagnoses","2022","Arizona","04","35-44","Black/African American","Female","All transmission categories","13","53.5","24,282"
"HIV diagnoses","2022","Arizona","04","25-34","Black/African American","Female","All transmission categories","11","38.6","28,510"
"HIV diagnoses","2022","Arizona","04","13-24","Black/African American","Female","All transmission categories","4","13.4","29,842"
"HIV diagnoses","2022","Arkansas","05","65+","Black/African American","Female","All transmission categories","0","0.0","34,305"
"HIV diagnoses","2022","Arkansas","05","55-64","Black/African American","Female","All transmission categories","2","6.9","28,879"
"HIV diagnoses","2022","Arkansas","05","45-54","Black/African American","Female","All transmission categories","4","14.3","27,977"
"HIV diagnoses","2022","Arkansas","05","35-44","Black/African American","Female","All transmission categories","15","46.8","32,033"
"HIV diagnoses","2022","Arkansas","05","25-34","Black/African American","Female","All transmission categories","8","23.0","34,797"
"HIV diagnoses","2022","Arkansas","05","13-24","Black/African American","Female","All transmission categories","2","4.6","43,054"
"HIV diagnoses","2022","California","06","65+","Black/African American","Female","All transmission categories","3","1.6","185,752"
"HIV diagnoses","2022","California","06","55-64","Black/African American","Female","All transmission categories","11","7.3","151,195"
"HIV diagnoses","2022","California","06","45-54","Black/African American","Female","All transmission categories","22","16.2","136,164"
"HIV diagnoses","2022","California","06","35-44","Black/African American","Female","All transmission categories","32","21.9","145,933"
"HIV diagnoses","2022","California","06","25-34","Black/African American","Female","All transmission categories","47","27.6","170,399"
"HIV diagnoses","2022","California","06","13-24","Black/African American","Female","All transmission categories","25","16.0","155,970"
"HIV diagnoses","2022","Colorado","08","65+","Black/African American","Female","All transmission categories","1","7.4","13,444"
"HIV diagnoses","2022","Colorado","08","55-64","Black/African American","Female","All transmission categories","2","16.7","12,007"
"HIV diagnoses","2022","Colorado","08","45-54","Black/African American","Female","All transmission categories","5","39.4","12,688"
"HIV diagnoses","2022","Colorado","08","35-44","Black/African American","Female","All transmission categories","2","12.5","16,004"
"HIV diagnoses","2022","Colorado","08","25-34","Black/African American","Female","All transmission categories","4","21.0","19,068"
"HIV diagnoses","2022","Colorado","08","13-24","Black/African American","Female","All transmission categories","2","11.0","18,101"
"HIV diagnoses","2022","Connecticut","09","65+","Black/African American","Female","All transmission categories","3","10.6","28,269"
"HIV diagnoses","2022","Connecticut","09","55-64","Black/African American","Female","All transmission categories","2","7.4","26,937"
"HIV diagnoses","2022","Connecticut","09","45-54","Black/African American","Female","All transmission categories","7","25.9","27,019"
"HIV diagnoses","2022","Connecticut","09","35-44","Black/African American","Female","All transmission categories","4","14.2","28,126"
"HIV diagnoses","2022","Connecticut","09","25-34","Black/African American","Female","All transmission categories","5","16.8","29,820"
"HIV diagnoses","2022","Connecticut","09","13-24","Black/African American","Female","All transmission categories","3","9.2","32,531"
"HIV diagnoses","2022","Delaware","10","65+","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","18,703"
"HIV diagnoses","2022","Delaware","10","55-64","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","16,358"
"HIV diagnoses","2022","Delaware","10","45-54","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","14,988"
"HIV diagnoses","2022","Delaware","10","35-44","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","15,928"
"HIV diagnoses","2022","Delaware","10","25-34","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","16,552"
"HIV diagnoses","2022","Delaware","10","13-24","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","20,080"
"HIV diagnoses","2022","District of Columbia","11","65+","Black/African American","Female","All transmission categories","3","10.3","29,235"
"HIV diagnoses","2022","District of Columbia","11","55-64","Black/African American","Female","All transmission categories","7","35.9","19,511"
"HIV diagnoses","2022","District of Columbia","11","45-54","Black/African American","Female","All transmission categories","5","29.5","16,940"
"HIV diagnoses","2022","District of Columbia","11","35-44","Black/African American","Female","All transmission categories","14","66.2","21,143"
"HIV diagnoses","2022","District of Columbia","11","25-34","Black/African American","Female","All transmission categories","12","45.7","26,272"
"HIV diagnoses","2022","District of Columbia","11","13-24","Black/African American","Female","All transmission categories","2","9.0","22,339"
"HIV diagnoses","2022","Florida","12","65+","Black/African American","Female","All transmission categories","28","11.0","254,961"
"HIV diagnoses","2022","Florida","12","55-64","Black/African American","Female","All transmission categories","57","27.0","211,161"
"HIV diagnoses","2022","Florida","12","45-54","Black/African American","Female","All transmission categories","71","33.0","215,427"
"HIV diagnoses","2022","Florida","12","35-44","Black/African American","Female","All transmission categories","121","50.0","241,857"
"HIV diagnoses","2022","Florida","12","25-34","Black/African American","Female","All transmission categories","160","59.9","266,983"
"HIV diagnoses","2022","Florida","12","13-24","Black/African American","Female","All transmission categories","63","21.3","295,102"
"HIV diagnoses","2022","Georgia","13","65+","Black/African American","Female","All transmission categories","13","5.3","245,235"
"HIV diagnoses","2022","Georgia","13","55-64","Black/African American","Female","All transmission categories","64","28.2","226,574"
"HIV diagnoses","2022","Georgia","13","45-54","Black/African American","Female","All transmission categories","64","26.5","241,941"
"HIV diagnoses","2022","Georgia","13","35-44","Black/African American","Female","All transmission categories","73","27.8","262,396"
"HIV diagnoses","2022","Georgia","13","25-34","Black/African American","Female","All transmission categories","89","31.5","282,829"
"HIV diagnoses","2022","Georgia","13","13-24","Black/African American","Female","All transmission categories","57","18.4","309,394"
"HIV diagnoses","2022","Guam","66","65+","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","Guam","66","55-64","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","Guam","66","45-54","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","Guam","66","35-44","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV diagnoses","2022","Guam","66","25-34","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
