Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2022","United States","NA","65+","Black/African American","Female","All transmission categories","21,063","655.3","3,214,023"
"HIV prevalence","2022","United States","NA","55-64","Black/African American","Female","All transmission categories","38,494","1426.6","2,698,358"
"HIV prevalence","2022","United States","NA","45-54","Black/African American","Female","All transmission categories","37,479","1403.8","2,669,910"
"HIV prevalence","2022","United States","NA","35-44","Black/African American","Female","All transmission categories","26,679","910.3","2,930,794"
"HIV prevalence","2022","United States","NA","25-34","Black/African American","Female","All transmission categories","14,078","427.1","3,295,815"
"HIV prevalence","2022","United States","NA","13-24","Black/African American","Female","All transmission categories","3,044","85.7","3,550,338"
"HIV prevalence","2021","United States","NA","65+","Black/African American","Female","All transmission categories","18,769","605.3","3,100,839"
"HIV prevalence","2021","United States","NA","55-64","Black/African American","Female","All transmission categories","37,736","1389.0","2,716,858"
"HIV prevalence","2021","United States","NA","45-54","Black/African American","Female","All transmission categories","37,992","1419.5","2,676,521"
"HIV prevalence","2021","United States","NA","35-44","Black/African American","Female","All transmission categories","27,305","943.2","2,894,907"
"HIV prevalence","2021","United States","NA","25-34","Black/African American","Female","All transmission categories","14,479","440.0","3,290,586"
"HIV prevalence","2021","United States","NA","13-24","Black/African American","Female","All transmission categories","3,194","90.1","3,544,161"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","65+","Black/African American","Female","All transmission categories","16,681","556.3","2,998,743"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","55-64","Black/African American","Female","All transmission categories","36,751","1352.6","2,717,116"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","45-54","Black/African American","Female","All transmission categories","38,808","1433.8","2,706,631"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","35-44","Black/African American","Female","All transmission categories","27,887","975.9","2,857,521"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","25-34","Black/African American","Female","All transmission categories","14,925","453.5","3,290,772"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","13-24","Black/African American","Female","All transmission categories","3,420","96.7","3,536,944"
"HIV prevalence","2019","United States","NA","65+","Black/African American","Female","All transmission categories","14,782","498.8","2,963,595"
"HIV prevalence","2019","United States","NA","55-64","Black/African American","Female","All transmission categories","35,334","1316.0","2,685,010"
"HIV prevalence","2019","United States","NA","45-54","Black/African American","Female","All transmission categories","39,727","1462.4","2,716,508"
"HIV prevalence","2019","United States","NA","35-44","Black/African American","Female","All transmission categories","28,833","1032.0","2,793,873"
"HIV prevalence","2019","United States","NA","25-34","Black/African American","Female","All transmission categories","15,486","472.5","3,277,716"
"HIV prevalence","2019","United States","NA","13-24","Black/African American","Female","All transmission categories","3,803","108.6","3,501,536"
"HIV prevalence","2018","United States","NA","65+","Black/African American","Female","All transmission categories","12,861","452.4","2,842,883"
"HIV prevalence","2018","United States","NA","55-64","Black/African American","Female","All transmission categories","33,298","1255.0","2,653,290"
"HIV prevalence","2018","United States","NA","45-54","Black/African American","Female","All transmission categories","40,307","1463.1","2,754,904"
"HIV prevalence","2018","United States","NA","35-44","Black/African American","Female","All transmission categories","29,729","1075.5","2,764,235"
"HIV prevalence","2018","United States","NA","25-34","Black/African American","Female","All transmission categories","15,779","489.6","3,222,646"
"HIV prevalence","2018","United States","NA","13-24","Black/African American","Female","All transmission categories","4,053","114.5","3,538,415"
"HIV prevalence","2017","United States","NA","65+","Black/African American","Female","All transmission categories","11,213","410.5","2,731,820"
"HIV prevalence","2017","United States","NA","55-64","Black/African American","Female","All transmission categories","31,140","1192.5","2,611,429"
