Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2023","Alabama^","01","65+","Black/African American","Female","All transmission categories","355","311.9","113,807"
"HIV prevalence","2023","Alabama^","01","55-64","Black/African American","Female","All transmission categories","656","743.2","88,265"
"HIV prevalence","2023","Alabama^","01","45-54","Black/African American","Female","All transmission categories","751","862.5","87,074"
"HIV prevalence","2023","Alabama^","01","35-44","Black/African American","Female","All transmission categories","575","604.4","95,132"
"HIV prevalence","2023","Alabama^","01","25-34","Black/African American","Female","All transmission categories","351","345.3","101,640"
"HIV prevalence","2023","Alabama^","01","13-24","Black/African American","Female","All transmission categories","47","39.2","119,858"
"HIV prevalence","2023","Alaska","02","65+","Black/African American","Female","All transmission categories","3","265.3","1,131"
"HIV prevalence","2023","Alaska","02","55-64","Black/African American","Female","All transmission categories","13","1267.1","1,026"
"HIV prevalence","2023","Alaska","02","45-54","Black/African American","Female","All transmission categories","6","591.1","1,015"
"HIV prevalence","2023","Alaska","02","35-44","Black/African American","Female","All transmission categories","4","277.8","1,440"
"HIV prevalence","2023","Alaska","02","25-34","Black/African American","Female","All transmission categories","2","110.1","1,817"
"HIV prevalence","2023","Alaska","02","13-24","Black/African American","Female","All transmission categories","1","56.5","1,769"
"HIV prevalence","2023","American Samoa","60","65+","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","American Samoa","60","55-64","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","American Samoa","60","45-54","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","American Samoa","60","35-44","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","American Samoa","60","25-34","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","American Samoa","60","13-24","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","Arizona","04","65+","Black/African American","Female","All transmission categories","83","396.2","20,947"
"HIV prevalence","2023","Arizona","04","55-64","Black/African American","Female","All transmission categories","181","978.6","18,496"
"HIV prevalence","2023","Arizona","04","45-54","Black/African American","Female","All transmission categories","259","1236.3","20,949"
"HIV prevalence","2023","Arizona","04","35-44","Black/African American","Female","All transmission categories","184","728.6","25,254"
"HIV prevalence","2023","Arizona","04","25-34","Black/African American","Female","All transmission categories","124","426.7","29,057"
"HIV prevalence","2023","Arizona","04","13-24","Black/African American","Female","All transmission categories","40","131.4","30,441"
