Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2023","Alabama^","01","Ages 13 years and older","Black/African American","Female","All transmission categories","2,735","451.5","605,776"
"HIV prevalence","2023","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","29","353.7","8,198"
"HIV prevalence","2023","American Samoa","60","Ages 13 years and older","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","Arizona","04","Ages 13 years and older","Black/African American","Female","All transmission categories","871","600.1","145,144"
"HIV prevalence","2023","Arkansas","05","Ages 13 years and older","Black/African American","Female","All transmission categories","771","381.4","202,138"
"HIV prevalence","2023","California","06","Ages 13 years and older","Black/African American","Female","All transmission categories","4,862","515.9","942,446"
"HIV prevalence","2023","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","650","697.8","93,153"
"HIV prevalence","2023","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","1,486","847.9","175,257"
"HIV prevalence","2023","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","762","724.7","105,144"
"HIV prevalence","2023","District of Columbia","11","Ages 13 years and older","Black/African American","Female","All transmission categories","3,173","2342.6","135,448"
"HIV prevalence","2023","Florida","12","Ages 13 years and older","Black/African American","Female","All transmission categories","20,514","1362.0","1,506,118"
"HIV prevalence","2023","Georgia","13","Ages 13 years and older","Black/African American","Female","All transmission categories","11,005","690.1","1,594,716"
"HIV prevalence","2023","Guam","66","Ages 13 years and older","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","Hawaii","15","Ages 13 years and older","Black/African American","Female","All transmission categories","11","123.8","8,886"
"HIV prevalence","2023","Idaho","16","Ages 13 years and older","Black/African American","Female","All transmission categories","53","993.8","5,333"
"HIV prevalence","2023","Illinois","17","Ages 13 years and older","Black/African American","Female","All transmission categories","4,433","562.3","788,413"
"HIV prevalence","2023","Indiana","18","Ages 13 years and older","Black/African American","Female","All transmission categories","1,566","546.5","286,576"
"HIV prevalence","2023","Iowa","19","Ages 13 years and older","Black/African American","Female","All transmission categories","299","628.1","47,605"
"HIV prevalence","2023","Kansas","20","Ages 13 years and older","Black/African American","Female","All transmission categories","280","428.0","65,418"
"HIV prevalence","2023","Kentucky","21","Ages 13 years and older","Black/African American","Female","All transmission categories","697","442.5","157,497"
"HIV prevalence","2023","Louisiana","22","Ages 13 years and older","Black/African American","Female","All transmission categories","5,009","784.6","638,448"
"HIV prevalence","2023","Maine","23","Ages 13 years and older","Black/African American","Female","All transmission categories","195","2105.4","9,262"
"HIV prevalence","2023","Maryland","24","Ages 13 years and older","Black/African American","Female","All transmission categories","9,097","1064.6","854,531"
"HIV prevalence","2023","Massachusetts","25","Ages 13 years and older","Black/African American","Female","All transmission categories","3,137","1374.6","228,217"
"HIV prevalence","2023","Michigan","26","Ages 13 years and older","Black/African American","Female","All transmission categories","2,383","395.8","602,067"
"HIV prevalence","2023","Minnesota","27","Ages 13 years and older","Black/African American","Female","All transmission categories","1,440","898.1","160,334"
"HIV prevalence","2023","Mississippi","28","Ages 13 years and older","Black/African American","Female","All transmission categories","2,327","476.0","488,903"
"HIV prevalence","2023","Missouri","29","Ages 13 years and older","Black/African American","Female","All transmission categories","1,457","473.4","307,760"
"HIV prevalence","2023","Montana","30","Ages 13 years and older","Black/African American","Female","All transmission categories","11","542.9","2,026"
"HIV prevalence","2023","Nebraska","31","Ages 13 years and older","Black/African American","Female","All transmission categories","249","663.3","37,537"
"HIV prevalence","2023","Nevada","32","Ages 13 years and older","Black/African American","Female","All transmission categories","815","621.8","131,081"
"HIV prevalence","2023","New Hampshire","33","Ages 13 years and older","Black/African American","Female","All transmission categories","Data suppressed","Data suppressed","8,163"
"HIV prevalence","2023","New Jersey","34","Ages 13 years and older","Black/African American","Female","All transmission categories","5,549","1025.8","540,932"
"HIV prevalence","2023","New Mexico","35","Ages 13 years and older","Black/African American","Female","All transmission categories","47","294.1","15,980"
"HIV prevalence","2023","New York","36","Ages 13 years and older","Black/African American","Female","All transmission categories","16,578","1289.3","1,285,825"
"HIV prevalence","2023","North Carolina","37","Ages 13 years and older","Black/African American","Female","All transmission categories","6,440","624.4","1,031,363"
"HIV prevalence","2023","North Dakota","38","Ages 13 years and older","Black/African American","Female","All transmission categories","117","1315.8","8,892"
"HIV prevalence","2023","Northern Mariana Islands","69","Ages 13 years and older","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","Ohio","39","Ages 13 years and older","Black/African American","Female","All transmission categories","2,997","460.5","650,757"
"HIV prevalence","2023","Oklahoma^","40","Ages 13 years and older","Black/African American","Female","All transmission categories","461","373.0","123,596"
"HIV prevalence","2023","Oregon","41","Ages 13 years and older","Black/African American","Female","All transmission categories","179","541.5","33,058"
"HIV prevalence","2023","Palau","70","Ages 13 years and older","Black/African American","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2023","Pennsylvania","42","Ages 13 years and older","Black/African American","Female","All transmission categories","5,617","916.8","612,648"
"HIV prevalence","2023","Puerto Rico","72","Ages 13 years and older","Black/African American","Female","All transmission categories","5","Data not available","NA"
"HIV prevalence","2023","Rhode Island","44","Ages 13 years and older","Black/African American","Female","All transmission categories","256","870.8","29,399"
"HIV prevalence","2023","South Carolina^","45","Ages 13 years and older","Black/African American","Female","All transmission categories","3,583","582.0","615,638"
