"Date Printed: Wednesday, January 25, 2023 12:29:18 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 25-34 | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
NA - Not Applicable.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
HIV diagnoses,Alabama,1,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,219,33.8,"648,519"
HIV diagnoses,Alaska,2,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,13,11,"118,187"
HIV diagnoses,Arizona,4,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,269,26.6,"1,009,721"
HIV diagnoses,Arkansas,5,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,94,23.6,"398,164"
HIV diagnoses,California,6,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,"1,633",27,"6,047,538"
HIV diagnoses,Colorado,8,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,182,19.9,"913,496"
HIV diagnoses,Connecticut,9,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,73,16.3,"448,074"
HIV diagnoses,Delaware,10,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,32,24.7,"129,742"
HIV diagnoses,District of Columbia,11,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,88,53.2,"165,275"
HIV diagnoses,Florida,12,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,"1,383",49.2,"2,809,136"
HIV diagnoses,Georgia,13,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,892,59.6,"1,495,499"
HIV diagnoses,Hawaii,15,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,22,11,"200,260"
HIV diagnoses,Idaho,16,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,12,5.1,"237,166"
HIV diagnoses,Illinois,17,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,480,27.3,"1,759,132"
HIV diagnoses,Indiana,18,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,176,19.7,"891,650"
HIV diagnoses,Iowa,19,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,24,6,"399,804"
HIV diagnoses,Kansas,20,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,42,11,"382,882"
HIV diagnoses,Kentucky,21,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,120,20.4,"588,906"
HIV diagnoses,Louisiana,22,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,327,49.5,"660,283"
HIV diagnoses,Maine,23,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,8,4.9,"163,256"
HIV diagnoses,Maryland,24,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,299,36,"831,673"
HIV diagnoses,Massachusetts,25,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,194,19.5,"996,517"
HIV diagnoses,Michigan,26,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,266,20.3,"1,312,316"
HIV diagnoses,Minnesota,27,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,109,14.3,"763,661"
HIV diagnoses,Mississippi,28,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,149,37.8,"393,935"
HIV diagnoses,Missouri,29,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,183,22.2,"826,122"
HIV diagnoses,Montana,30,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,7,5,"139,185"
HIV diagnoses,Nebraska,31,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,32,12.5,"255,621"
HIV diagnoses,Nevada,32,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,208,45.6,"456,102"
HIV diagnoses,New Hampshire,33,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,18,10.4,"173,307"
HIV diagnoses,New Jersey,34,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,376,32.6,"1,154,601"
HIV diagnoses,New Mexico,35,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,67,23.5,"284,876"
HIV diagnoses,New York,36,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,844,29.4,"2,869,917"
HIV diagnoses,North Carolina,37,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,479,33.7,"1,419,392"
HIV diagnoses,North Dakota,38,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,20,17.4,"114,767"
HIV diagnoses,Ohio,39,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,333,21.4,"1,558,170"
HIV diagnoses,Oklahoma,40,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,120,22,"544,475"
HIV diagnoses,Oregon,41,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,82,13.5,"605,490"
