Period,ST_NAME,NAME,Intent,Count,Rate,TTM_Date_Range,GEOID
TTM,Alabama,Autauga County,FA_Homicide,1-9,7.3,"January, 2024 to December, 2024",01001
TTM,Alabama,Baldwin County,FA_Homicide,10,3.9,"January, 2024 to December, 2024",01003
TTM,Alabama,Barbour County,FA_Homicide,1-9,21.6,"January, 2024 to December, 2024",01005
TTM,Alabama,Bibb County,FA_Homicide,1-9,12.1,"January, 2024 to December, 2024",01007
TTM,Alabama,Blount County,FA_Homicide,1-9,4,"January, 2024 to December, 2024",01009
TTM,Alabama,Bullock County,FA_Homicide,1-9,27.7,"January, 2024 to December, 2024",01011
TTM,Alabama,Butler County,FA_Homicide,1-9,7.6,"January, 2024 to December, 2024",01013
TTM,Alabama,Calhoun County,FA_Homicide,1-9,5.2,"January, 2024 to December, 2024",01015
TTM,Alabama,Chambers County,FA_Homicide,1-9,6.1,"January, 2024 to December, 2024",01017
TTM,Alabama,Cherokee County,FA_Homicide,1-9,3.9,"January, 2024 to December, 2024",01019
TTM,Alabama,Chilton County,FA_Homicide,1-9,6.8,"January, 2024 to December, 2024",01021
TTM,Alabama,Choctaw County,FA_Homicide,1-9,9.4,"January, 2024 to December, 2024",01023
TTM,Alabama,Clarke County,FA_Homicide,1-9,-999,"January, 2024 to December, 2024",01025
TTM,Alabama,Clay County,FA_Homicide,0,0,"January, 2024 to December, 2024",01027
TTM,Alabama,Cleburne County,FA_Homicide,0,0,"January, 2024 to December, 2024",01029
TTM,Alabama,Coffee County,FA_Homicide,1-9,5.8,"January, 2024 to December, 2024",01031
TTM,Alabama,Colbert County,FA_Homicide,1-9,7.3,"January, 2024 to December, 2024",01033
TTM,Alabama,Conecuh County,FA_Homicide,1-9,13.7,"January, 2024 to December, 2024",01035
TTM,Alabama,Coosa County,FA_Homicide,1-9,7.1,"January, 2024 to December, 2024",01037
TTM,Alabama,Covington County,FA_Homicide,1-9,4.5,"January, 2024 to December, 2024",01039
TTM,Alabama,Crenshaw County,FA_Homicide,1-9,8.6,"January, 2024 to December, 2024",01041
TTM,Alabama,Cullman County,FA_Homicide,1-9,3,"January, 2024 to December, 2024",01043
TTM,Alabama,Dale County,FA_Homicide,1-9,9.6,"January, 2024 to December, 2024",01045
TTM,Alabama,Dallas County,FA_Homicide,12,33.2,"January, 2024 to December, 2024",01047
TTM,Alabama,DeKalb County,FA_Homicide,1-9,3.7,"January, 2024 to December, 2024",01049
TTM,Alabama,Elmore County,FA_Homicide,1-9,4.6,"January, 2024 to December, 2024",01051
TTM,Alabama,Escambia County,FA_Homicide,1-9,12.6,"January, 2024 to December, 2024",01053
TTM,Alabama,Etowah County,FA_Homicide,1-9,6.8,"January, 2024 to December, 2024",01055
TTM,Alabama,Fayette County,FA_Homicide,1-9,8.1,"January, 2024 to December, 2024",01057
TTM,Alabama,Franklin County,FA_Homicide,0,0,"January, 2024 to December, 2024",01059
TTM,Alabama,Geneva County,FA_Homicide,1-9,4.6,"January, 2024 to December, 2024",01061
TTM,Alabama,Greene County,FA_Homicide,0,0,"January, 2024 to December, 2024",01063
TTM,Alabama,Hale County,FA_Homicide,1-9,7.8,"January, 2024 to December, 2024",01065
TTM,Alabama,Henry County,FA_Homicide,1-9,6.8,"January, 2024 to December, 2024",01067
TTM,Alabama,Houston County,FA_Homicide,1-9,4.1,"January, 2024 to December, 2024",01069
TTM,Alabama,Jackson County,FA_Homicide,1-9,4.1,"January, 2024 to December, 2024",01071
TTM,Alabama,Jefferson County,FA_Homicide,173,26.1,"January, 2024 to December, 2024",01073
TTM,Alabama,Lamar County,FA_Homicide,0,0,"January, 2024 to December, 2024",01075
TTM,Alabama,Lauderdale County,FA_Homicide,1-9,3.8,"January, 2024 to December, 2024",01077
TTM,Alabama,Lawrence County,FA_Homicide,1-9,5.8,"January, 2024 to December, 2024",01079
TTM,Alabama,Lee County,FA_Homicide,11,6,"January, 2024 to December, 2024",01081
TTM,Alabama,Limestone County,FA_Homicide,1-9,3.3,"January, 2024 to December, 2024",01083
TTM,Alabama,Lowndes County,FA_Homicide,1-9,26.1,"January, 2024 to December, 2024",01085
TTM,Alabama,Macon County,FA_Homicide,1-9,14.8,"January, 2024 to December, 2024",01087
TTM,Alabama,Madison County,FA_Homicide,18,4.4,"January, 2024 to December, 2024",01089
TTM,Alabama,Marengo County,FA_Homicide,1-9,9.800000000000001,"January, 2024 to December, 2024",01091
TTM,Alabama,Marion County,FA_Homicide,1-9,4.5,"January, 2024 to December, 2024",01093
TTM,Alabama,Marshall County,FA_Homicide,1-9,3.2,"January, 2024 to December, 2024",01095
TTM,Alabama,Mobile County,FA_Homicide,68,16.5,"January, 2024 to December, 2024",01097
TTM,Alabama,Monroe County,FA_Homicide,1-9,7.1,"January, 2024 to December, 2024",01099
TTM,Alabama,Montgomery County,FA_Homicide,62,27.6,"January, 2024 to December, 2024",01101
TTM,Alabama,Morgan County,FA_Homicide,10,8,"January, 2024 to December, 2024",01103
TTM,Alabama,Perry County,FA_Homicide,1-9,10.2,"January, 2024 to December, 2024",01105
TTM,Alabama,Pickens County,FA_Homicide,1-9,6.9,"January, 2024 to December, 2024",01107
TTM,Alabama,Pike County,FA_Homicide,1-9,12.4,"January, 2024 to December, 2024",01109
TTM,Alabama,Randolph County,FA_Homicide,1-9,8.300000000000001,"January, 2024 to December, 2024",01111
TTM,Alabama,Russell County,FA_Homicide,10,17,"January, 2024 to December, 2024",01113
TTM,Alabama,St. Clair County,FA_Homicide,1-9,5,"January, 2024 to December, 2024",01115
TTM,Alabama,Shelby County,FA_Homicide,1-9,3.1,"January, 2024 to December, 2024",01117
TTM,Alabama,Sumter County,FA_Homicide,1-9,14.8,"January, 2024 to December, 2024",01119
TTM,Alabama,Talladega County,FA_Homicide,1-9,7.8,"January, 2024 to December, 2024",01121
TTM,Alabama,Tallapoosa County,FA_Homicide,1-9,8.1,"January, 2024 to December, 2024",01123
TTM,Alabama,Tuscaloosa County,FA_Homicide,20,8.4,"January, 2024 to December, 2024",01125
TTM,Alabama,Walker County,FA_Homicide,1-9,5.6,"January, 2024 to December, 2024",01127
TTM,Alabama,Washington County,FA_Homicide,1-9,8.199999999999999,"January, 2024 to December, 2024",01129
TTM,Alabama,Wilcox County,FA_Homicide,1-9,16.5,"January, 2024 to December, 2024",01131
TTM,Alabama,Winston County,FA_Homicide,1-9,4.4,"January, 2024 to December, 2024",01133
TTM,Alaska,Aleutians East Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02013
TTM,Alaska,Aleutians West Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02016
TTM,Alaska,Anchorage Municipality,FA_Homicide,23,8,"January, 2024 to December, 2024",02020
TTM,Alaska,Bethel Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02050
TTM,Alaska,Bristol Bay Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02060
TTM,Alaska,Chugach Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02063
TTM,Alaska,Copper River Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02066
TTM,Alaska,Denali Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02068
TTM,Alaska,Dillingham Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02070
TTM,Alaska,Fairbanks North Star Borough,FA_Homicide,1-9,1.6,"January, 2024 to December, 2024",02090
TTM,Alaska,Haines Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02100
TTM,Alaska,Hoonah-Angoon Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02105
TTM,Alaska,Juneau City and Borough,FA_Homicide,1-9,3.6,"January, 2024 to December, 2024",02110
TTM,Alaska,Kenai Peninsula Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02122
TTM,Alaska,Ketchikan Gateway Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02130
TTM,Alaska,Kodiak Island Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02150
TTM,Alaska,Kusilvak Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02158
TTM,Alaska,Lake and Peninsula Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02164
TTM,Alaska,Matanuska-Susitna Borough,FA_Homicide,1-9,2.4,"January, 2024 to December, 2024",02170
TTM,Alaska,Nome Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02180
TTM,Alaska,North Slope Borough,FA_Homicide,1-9,6.4,"January, 2024 to December, 2024",02185
TTM,Alaska,Northwest Arctic Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02188
TTM,Alaska,Petersburg Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02195
TTM,Alaska,Prince of Wales-Hyder Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02198
TTM,Alaska,Sitka City and Borough,FA_Homicide,0,0,"January, 2024 to December, 2024",02220
TTM,Alaska,Skagway Municipality,FA_Homicide,0,0,"January, 2024 to December, 2024",02230
TTM,Alaska,Southeast Fairbanks Census Area,FA_Homicide,0,0,"January, 2024 to December, 2024",02240
