"Year","Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","White","25,703","77,375,946","33.22","38.70","1,184,319"
"2021","Black","11,525","16,469,073","69.98","81.30","539,932"
"2021","American Indian / Alaska Native","831","1,771,915","46.90","59.89","38,387"
"2021","Asian","907","6,263,614","14.48","16.02","41,744"
"2021","HI Native / Pacific Islander","140","339,106","41.29","44.06","6,621"
"2021","More than One Race","1,183","5,744,825","20.59","28.77","56,533"
"2020","White","24,894","78,058,671","31.89","37.38","1,146,179"
"2020","Black","10,707","16,561,853","64.65","74.73","497,551"
"2020","American Indian / Alaska Native","751","1,766,862","42.51","52.45","35,121"
"2020","Asian","777","6,296,320","12.34","13.75","35,791"
"2020","HI Native / Pacific Islander","87","337,209","25.80","29.85","4,070"
"2020","More than One Race","1,089","5,663,111","19.23","27.59","52,068"
"2019","White","21,815","77,629,860","28.10","32.57","1,010,587"
"2019","Black","7,996","16,450,870","48.61","54.42","376,102"
"2019","American Indian / Alaska Native","677","1,743,751","38.82","46.91","31,885"
"2019","Asian","752","6,207,220","12.12","13.59","35,057"
"2019","HI Native / Pacific Islander","105","331,071","31.72","36.72","4,997"
"2019","More than One Race","887","5,503,808","16.12","20.30","43,742"
"2018","White","22,614","78,200,471","28.92","33.48","1,045,555"
"2018","Black","7,800","16,544,426","47.15","53.21","367,771"
"2018","American Indian / Alaska Native","616","1,740,388","35.39","41.61","28,954"
"2018","Asian","752","6,165,680","12.20","12.87","35,194"
"2018","HI Native / Pacific Islander","100","328,027","30.49","38.69","4,627"
"2018","More than One Race","824","5,402,115","15.25","20.92","40,159"
"Total","","143,532","432,896,192","33.16","--","6,662,946"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2021","","","","","",""
"Geography: United States","","","","","",""
"Intent: All Intents","","","","","",""
"Mechanism: All Injury","","","","","",""
"Age: <1 to 25","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
