"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","344","1,641,653","20.95","23.89","15,550"
"2021","Alaska","53","256,751","20.64","23.58","2,355"
"2021","Arizona","280","2,397,892","11.68","12.57","12,566"
"2021","Arkansas","170","1,019,639","16.67","17.51","7,687"
"2021","California","826","12,865,156","6.42","7.68","36,696"
"2021","Colorado","221","1,853,941","11.92","12.45","9,946"
"2021","Connecticut","65","1,114,668","5.83","5.89","2,891"
"2021","Delaware","50","303,582","16.47","19.19","2,230"
"2021","District of Columbia","55","203,761","26.99","29.02","2,433"
"2021","Florida","641","6,272,695","10.22","11.89","28,658"
"2021","Georgia","592","3,693,594","16.03","17.21","26,741"
"2021","Hawaii","11**","440,779","2.50**","2.11**","483"
"2021","Idaho","51","667,364","7.64","10.02","2,293"
"2021","Illinois","608","4,108,066","14.80","16.54","27,354"
"2021","Indiana","343","2,334,267","14.69","15.70","15,423"
"2021","Iowa","70","1,092,622","6.41","5.56","3,230"
"2021","Kansas","139","1,035,263","13.43","15.27","6,333"
"2021","Kentucky","234","1,488,718","15.72","17.25","10,533"
"2021","Louisiana","440","1,554,545","28.30","34.93","20,051"
"2021","Maine","19**","374,246","5.08**","5.78**","878"
"2021","Maryland","245","1,966,524","12.46","14.81","10,828"
"2021","Massachusetts","47","2,142,634","2.19","2.27","2,066"
"2021","Michigan","363","3,211,859","11.30","12.17","16,193"
"2021","Minnesota","121","1,885,611","6.42","7.76","5,422"
"2021","Mississippi","287","1,007,205","28.50","30.78","13,054"
"2021","Missouri","345","2,020,893","17.07","19.60","15,730"
"2021","Montana","65","349,101","18.62","19.54","2,933"
"2021","Nebraska","49","699,851","7.00","7.38","2,219"
"2021","Nevada","124","991,329","12.51","15.24","5,482"
"2021","New Hampshire","17**","396,036","4.29**","4.73**","752"
"2021","New Jersey","124","2,908,895","4.26","5.45","5,506"
"2021","New Mexico","126","697,175","18.07","19.74","5,674"
"2021","New York","259","6,118,545","4.23","4.98","11,529"
"2021","North Carolina","515","3,425,398","15.04","17.08","23,270"
"2021","North Dakota","27","280,303","9.63","12.33","1,221"
"2021","Ohio","510","3,806,226","13.40","15.64","23,162"
"2021","Oklahoma","184","1,397,321","13.17","13.90","8,422"
"2021","Oregon","104","1,273,924","8.16","9.27","4,593"
"2021","Pennsylvania","474","3,964,313","11.96","14.47","21,287"
"2021","Rhode Island","15**","333,301","4.50**","5.06**","655"
"2021","South Carolina","313","1,644,955","19.03","21.53","14,151"
"2021","South Dakota","33","314,712","10.49","11.30","1,489"
"2021","Tennessee","384","2,250,536","17.06","18.95","17,382"
"2021","Texas","1,258","10,734,209","11.72","13.37","56,444"
"2021","Utah","99","1,379,722","7.18","7.11","4,468"
"2021","Vermont","13**","190,623","6.82**","10.30**","588"
"2021","Virginia","347","2,797,664","12.40","12.20","15,664"
"2021","Washington","184","2,433,914","7.56","8.14","8,317"
"2021","West Virginia","45","533,294","8.44","8.60","2,051"
"2021","Wisconsin","210","1,897,650","11.07","12.47","9,437"
"2021","Wyoming","31","191,554","16.18","13.63","1,439"
"2020","Alabama","297","1,643,273","18.07","23.08","13,138"
"2020","Alaska","51","258,583","19.72","23.96","2,323"
"2020","Arizona","250","2,389,547","10.46","12.09","11,236"
"2020","Arkansas","178","1,018,697","17.47","19.96","8,085"
"2020","California","774","13,096,048","5.91","6.71","34,580"
"2020","Colorado","202","1,868,005","10.81","11.78","9,110"
"2020","Connecticut","49","1,123,301","4.36","4.51","2,187"
"2020","Delaware","42","303,167","13.85","17.91","1,855"
"2020","District of Columbia","70","210,223","33.30","33.05","3,126"
"2020","Florida","671","6,263,100","10.71","12.04","30,072"
"2020","Georgia","509","3,694,460","13.78","15.34","22,946"
"2020","Hawaii","--","448,366","--","--","--"
"2020","Idaho","61","654,858","9.32","10.63","2,764"
"2020","Illinois","534","4,180,562","12.77","15.19","23,804"
"2020","Indiana","354","2,338,366","15.14","17.30","16,007"
"2020","Iowa","76","1,096,644","6.93","8.15","3,395"
"2020","Kansas","145","1,042,898","13.90","15.09","6,578"
"2020","Kentucky","218","1,492,191","14.61","16.01","9,937"
"2020","Louisiana","384","1,571,079","24.44","27.96","17,273"
"2020","Maine","20**","375,732","5.32**","5.92**","893"
"2020","Maryland","236","1,981,717","11.91","13.68","10,456"
"2020","Massachusetts","76","2,176,814","3.49","3.60","3,326"
"2020","Michigan","347","3,243,535","10.70","12.80","15,473"
"2020","Minnesota","107","1,897,677","5.64","6.75","4,853"
"2020","Mississippi","224","1,015,251","22.06","23.99","10,122"
