"Year","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","0 to 4","156","18,538,353","0.84","--","9,753"
"2022","5 to 9","117","20,009,195","0.59","--","6,765"
"2022","10 to 14","511","20,889,839","2.45","--","26,591"
"2022","15 to 19","3,835","21,635,792","17.73","--","182,304"
"2022","20 to 24","5,528","22,705,779","24.35","--","237,650"
"2022","25 to 29","5,218","22,193,164","23.51","--","198,286"
"2022","30 to 34","5,218","23,308,136","22.39","--","172,584"
"2022","35 to 39","4,257","22,267,949","19.12","--","119,390"
"2022","40 to 44","3,647","21,427,416","17.02","--","84,136"
"2022","45 to 49","2,999","19,624,098","15.28","--","54,028"
"2022","50 to 54","2,982","20,807,547","14.33","--","38,967"
"2022","55 to 59","2,891","20,967,014","13.79","--","22,969"
"2022","60 to 64","2,734","21,118,423","12.95","--","8,454"
"2022","65 to 69","2,170","18,631,422","11.65","--","0"
"2022","70 to 74","1,860","15,157,017","12.27","--","0"
"2022","75 to 79","1,732","10,861,000","15.95","--","0"
"2022","80 to 84","1,152","6,659,545","17.30","--","0"
"2022","85+","1,197","6,485,868","18.46","--","0"
"2021","0 to 4","153","18,676,229","0.82","--","9,589"
"2021","5 to 9","138","20,055,700","0.69","--","8,020"
"2021","10 to 14","534","21,196,508","2.52","--","27,747"
"2021","15 to 19","3,927","21,571,297","18.21","--","186,607"
"2021","20 to 24","6,205","22,489,868","27.59","--","266,876"
"2021","25 to 29","5,982","22,394,192","26.71","--","227,148"
"2021","30 to 34","5,296","23,034,989","22.99","--","175,465"
"2021","35 to 39","4,306","22,207,003","19.39","--","120,632"
"2021","40 to 44","3,556","21,038,242","16.90","--","82,220"
"2021","45 to 49","2,940","19,747,890","14.89","--","52,846"
"2021","50 to 54","2,958","20,847,481","14.19","--","38,691"
"2021","55 to 59","2,731","21,459,873","12.73","--","21,717"
"2021","60 to 64","2,458","21,083,156","11.66","--","7,557"
"2021","65 to 69","2,006","18,238,929","11.00","--","0"
"2021","70 to 74","1,917","15,183,744","12.63","--","0"
"2021","75 to 79","1,483","9,917,064","14.95","--","0"
"2021","80 to 84","1,144","6,422,252","17.81","--","0"
"2021","85+","1,095","6,467,137","16.93","--","0"
"2021","Unknown","--","--","--","--","--"
"2020","0 to 4","135","19,070,030","0.71","--","8,440"
"2020","5 to 9","122","20,091,670","0.61","--","7,088"
"2020","10 to 14","494","21,428,623","2.31","--","25,755"
"2020","15 to 19","3,617","21,932,793","16.49","--","171,588"
"2020","20 to 24","5,829","22,082,951","26.40","--","250,474"
"2020","25 to 29","5,638","22,764,166","24.77","--","214,330"
"2020","30 to 34","4,803","22,788,530","21.08","--","159,112"
"2020","35 to 39","3,893","22,133,249","17.59","--","109,112"
"2020","40 to 44","3,146","20,604,832","15.27","--","72,751"
"2020","45 to 49","2,824","20,276,251","13.93","--","50,667"
"2020","50 to 54","2,564","20,716,484","12.38","--","33,374"
"2020","55 to 59","2,654","21,908,756","12.11","--","21,169"
"2020","60 to 64","2,367","20,886,654","11.33","--","7,245"
"2020","65 to 69","1,895","17,869,643","10.61","--","0"
"2020","70 to 74","1,639","14,501,965","11.30","--","0"
"2020","75 to 79","1,439","9,682,949","14.86","--","0"
"2020","80 to 84","1,081","6,288,784","17.19","--","0"
"2020","85+","1,081","6,483,182","16.67","--","0"
"2020","Unknown","--","--","--","--","--"
"2019","0 to 4","86","19,571,339","0.44","--","5,402"
"2019","5 to 9","82","20,221,753","0.41","--","4,755"
"2019","10 to 14","342","20,820,053","1.64","--","17,815"
"2019","15 to 19","2,880","21,066,423","13.67","--","136,663"
"2019","20 to 24","4,557","21,643,974","21.05","--","195,834"
"2019","25 to 29","4,501","23,539,452","19.12","--","171,138"
"2019","30 to 34","3,822","22,464,232","17.01","--","126,550"
"2019","35 to 39","3,254","21,753,883","14.96","--","91,138"
