"Year","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Non-Hispanic","40,860","269,695,750","15.15","14.81","922,436"
"2023","Hispanic","5,747","65,219,145","8.81","8.55","184,231"
"2023","Unknown","121","--","0.00","0.00","2,023"
"2022","Non-Hispanic","42,267","269,211,440","15.70","15.40","972,576"
"2022","Hispanic","5,853","64,059,971","9.14","8.89","187,946"
"2022","Unknown","84","--","0.00","0.00","1,355"
"2021","Non-Hispanic","43,010","269,049,555","15.99","15.86","1,037,629"
"2021","Hispanic","5,741","62,999,422","9.11","8.84","185,915"
"2021","Unknown","79","--","0.00","0.00","1,571"
"2020","Non-Hispanic","40,138","269,300,570","14.91","14.75","966,765"
"2020","Hispanic","5,003","62,226,363","8.04","7.82","162,673"
"2020","Unknown","81","--","0.00","0.00","1,667"
"2019","Non-Hispanic","35,571","267,925,466","13.28","12.88","794,822"
"2019","Hispanic","4,058","60,404,487","6.72","6.56","128,888"
"2019","Unknown","78","--","0.00","0.00","1,313"
"2018","Non-Hispanic","35,635","267,369,366","13.33","12.89","790,253"
"2018","Hispanic","4,018","59,468,833","6.76","6.63","127,106"
"2018","Unknown","87","--","0.00","0.00","1,826"
"2017","Non-Hispanic","35,789","266,719,299","13.42","13.02","811,171"
"2017","Hispanic","3,884","58,402,829","6.65","6.47","126,554"
"2017","Unknown","100","--","0.00","0.00","2,239"
"2016","Non-Hispanic","34,804","265,786,268","13.10","12.73","792,874"
"2016","Hispanic","3,771","57,285,487","6.58","6.41","122,048"
"2016","Unknown","83","--","0.00","0.00","1,947"
"2015","Non-Hispanic","32,787","264,620,835","12.39","11.98","733,766"
"2015","Hispanic","3,332","56,118,159","5.94","5.84","106,090"
"2015","Unknown","133","--","0.00","0.00","2,615"
"2014","Non-Hispanic","30,471","263,407,751","11.57","11.10","661,293"
"2014","Hispanic","3,010","54,978,578","5.48","5.40","96,300"
"2014","Unknown","113","--","0.00","0.00","2,000"
"2013","Non-Hispanic","30,595","262,153,137","11.67","11.24","671,325"
"2013","Hispanic","2,951","53,906,810","5.47","5.37","94,814"
"2013","Unknown","90","--","0.00","0.00","1,567"
"2012","Non-Hispanic","30,396","261,008,434","11.65","11.24","678,175"
"2012","Hispanic","3,061","52,869,228","5.79","5.71","99,546"
"2012","Unknown","106","--","0.00","0.00","2,165"
"2011","Non-Hispanic","29,300","259,758,723","11.28","10.91","658,593"
"2011","Hispanic","2,947","51,824,758","5.69","5.58","96,742"
"2011","Unknown","104","--","0.00","0.00","1,877"
"2010","Non-Hispanic","28,519","258,279,494","11.04","10.71","646,515"
"2010","Hispanic","3,008","50,478,611","5.96","5.86","98,831"
"2010","Unknown","145","--","0.00","0.00","3,679"
"2009","Non-Hispanic","27,981","257,444,040","10.87","10.55","633,431"
"2009","Hispanic","3,202","49,327,489","6.49","6.38","106,409"
"2009","Unknown","164","--","0.00","0.00","4,356"
"2008","Non-Hispanic","28,252","256,299,951","11.02","10.74","659,227"
"2008","Hispanic","3,256","47,793,840","6.81","6.60","110,108"
"2008","Unknown","85","--","0.00","0.00","1,832"
"2007","Non-Hispanic","27,641","255,034,130","10.84","10.61","660,504"
"2007","Hispanic","3,492","46,196,900","7.56","7.21","119,849"
"2007","Unknown","91","--","0.00","0.00","2,397"
"2006","Non-Hispanic","27,329","253,773,420","10.77","10.55","661,975"
"2006","Hispanic","3,464","44,606,340","7.77","7.19","122,596"
"2006","Unknown","103","--","0.00","0.00","2,709"
"2005","Non-Hispanic","27,103","252,492,853","10.73","10.53","650,600"
"2005","Hispanic","3,469","43,023,635","8.06","7.51","121,332"
"2005","Unknown","122","--","0.00","0.00","3,011"
"2004","Non-Hispanic","26,189","251,303,790","10.42","10.23","627,085"
"2004","Hispanic","3,278","41,501,421","7.90","7.43","113,863"
"2004","Unknown","102","--","0.00","0.00","2,364"
"2003","Non-Hispanic","26,710","250,058,378","10.68","10.50","646,916"
"2003","Hispanic","3,319","40,049,467","8.29","7.68","116,322"
"2003","Unknown","107","--","0.00","0.00","2,947"
"2002","Non-Hispanic","26,944","249,007,490","10.82","10.67","654,554"
"2002","Hispanic","3,143","38,617,636","8.14","7.63","110,104"
"2002","Unknown","155","--","0.00","0.00","4,298"
"2001","Non-Hispanic","26,341","247,824,816","10.63","10.50","644,810"
"2001","Hispanic","3,087","37,144,112","8.31","7.73","107,962"
"2001","Unknown","145","--","0.00","0.00","3,812"
"Total","","823,204","7,186,028,477","11.46","11.26","19,879,094"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2001 to 2023","","","","","",""
"Geography: United States","","","","","",""
"Intent: All Intents","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: All Ages","","","","","",""
"Sex: All Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
