"Year","Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","White","26,323","196,225,966","13.42","12.18","446,327"
"2022","Black","14,203","42,070,471","33.76","33.10","474,159"
"2022","American Indian / Alaska Native","530","2,420,972","21.89","22.12","15,967"
"2022","Asian","583","20,276,025","2.88","2.74","15,533"
"2022","HI Native / Pacific Islander","65","635,928","10.22","9.81","2,115"
"2022","More than One Race","563","7,993,849","7.04","8.01","18,475"
"2021","White","26,054","196,894,384","13.23","12.24","469,266"
"2021","Black","15,290","41,859,278","36.53","35.63","516,700"
"2021","American Indian / Alaska Native","466","2,412,991","19.31","19.31","13,805"
"2021","Asian","576","19,811,597","2.91","2.80","16,502"
"2021","HI Native / Pacific Islander","68","624,677","10.89","10.26","2,212"
"2021","More than One Race","556","7,803,455","7.13","7.83","19,144"
"2020","White","24,664","197,704,168","12.48","11.55","446,357"
"2020","Black","13,974","41,737,491","33.48","32.47","474,532"
"2020","American Indian / Alaska Native","449","2,405,789","18.66","18.24","13,941"
"2020","Asian","516","19,579,116","2.64","2.52","13,892"
"2020","HI Native / Pacific Islander","58","616,967","9.40","8.86","1,916"
"2020","More than One Race","477","7,629,431","6.25","7.00","16,127"
"2019","White","23,964","197,255,617","12.15","11.09","410,801"
"2019","Black","10,288","41,192,127","24.98","24.27","344,718"
"2019","American Indian / Alaska Native","336","2,422,370","13.87","13.90","10,182"
"2019","Asian","513","19,075,130","2.69","2.55","13,586"
"2019","HI Native / Pacific Islander","54","604,124","8.94","8.60","1,847"
"2019","More than One Race","416","7,376,098","5.64","6.59","13,688"
"2018","White","24,643","197,545,931","12.48","11.41","429,084"
"2018","Black","9,713","40,898,768","23.75","22.98","323,940"
"2018","American Indian / Alaska Native","361","2,410,262","14.98","15.07","10,735"
"2018","Asian","492","18,728,396","2.63","2.50","12,785"
"2018","HI Native / Pacific Islander","54","593,606","9.10","8.47","1,772"
"2018","More than One Race","372","7,192,403","5.17","6.08","11,937"
"Total","","196,621","1,343,997,387","14.63","14.30","4,562,045"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2022","","","","","",""
"Geography: United States","","","","","",""
"Intent: All Intents","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: All Ages","","","","","",""
"Sex: All Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: Non-Hispanic","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
