"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","0 to 4","Alabama","--","290,299","--","--","--"
"2022","0 to 4","Alaska","--","46,805","--","--","--"
"2022","0 to 4","Arizona","--","395,006","--","--","--"
"2022","0 to 4","Arkansas","--","180,389","--","--","--"
"2022","0 to 4","California","--","2,127,764","--","--","--"
"2022","0 to 4","Colorado","--","309,020","--","--","--"
"2022","0 to 4","Connecticut","0**","181,607","0.00**","--","--"
"2022","0 to 4","Delaware","0**","53,766","0.00**","--","--"
"2022","0 to 4","District of Columbia","0**","39,099","0.00**","--","--"
"2022","0 to 4","Florida","11**","1,106,804","0.99**","--","689"
"2022","0 to 4","Georgia","16**","631,545","2.53**","--","1,000"
"2022","0 to 4","Hawaii","--","79,600","--","--","--"
"2022","0 to 4","Idaho","0**","113,283","0.00**","--","--"
"2022","0 to 4","Illinois","--","680,341","--","--","--"
"2022","0 to 4","Indiana","--","404,946","--","--","--"
"2022","0 to 4","Iowa","--","186,200","--","--","--"
"2022","0 to 4","Kansas","--","175,442","--","--","--"
"2022","0 to 4","Kentucky","--","262,713","--","--","--"
"2022","0 to 4","Louisiana","10**","280,020","3.57**","--","621"
"2022","0 to 4","Maine","--","61,744","--","--","--"
"2022","0 to 4","Maryland","--","349,844","--","--","--"
"2022","0 to 4","Massachusetts","0**","343,596","0.00**","--","--"
"2022","0 to 4","Michigan","--","536,425","--","--","--"
"2022","0 to 4","Minnesota","0**","330,126","0.00**","--","--"
"2022","0 to 4","Mississippi","--","174,518","--","--","--"
"2022","0 to 4","Missouri","--","353,605","--","--","--"
"2022","0 to 4","Montana","0**","57,646","0.00**","--","--"
"2022","0 to 4","Nebraska","0**","123,837","0.00**","--","--"
"2022","0 to 4","Nevada","--","174,244","--","--","--"
"2022","0 to 4","New Hampshire","--","62,944","--","--","--"
"2022","0 to 4","New Jersey","--","516,455","--","--","--"
"2022","0 to 4","New Mexico","0**","110,028","0.00**","--","--"
"2022","0 to 4","New York","0**","1,059,217","0.00**","--","--"
"2022","0 to 4","North Carolina","11**","596,490","1.84**","--","690"
"2022","0 to 4","North Dakota","0**","49,929","0.00**","--","--"
"2022","0 to 4","Ohio","10**","661,421","1.51**","--","628"
"2022","0 to 4","Oklahoma","--","243,671","--","--","--"
"2022","0 to 4","Oregon","0**","206,074","0.00**","--","--"
"2022","0 to 4","Pennsylvania","--","671,205","--","--","--"
"2022","0 to 4","Rhode Island","0**","52,700","0.00**","--","--"
"2022","0 to 4","South Carolina","--","285,883","--","--","--"
"2022","0 to 4","South Dakota","0**","58,093","0.00**","--","--"
"2022","0 to 4","Tennessee","--","405,421","--","--","--"
"2022","0 to 4","Texas","--","1,902,639","--","--","--"
"2022","0 to 4","Utah","--","233,074","--","--","--"
"2022","0 to 4","Vermont","0**","27,594","0.00**","--","--"
"2022","0 to 4","Virginia","--","487,493","--","--","--"
"2022","0 to 4","Washington","--","425,829","--","--","--"
"2022","0 to 4","West Virginia","0**","87,997","0.00**","--","--"
"2022","0 to 4","Wisconsin","--","312,622","--","--","--"
"2022","0 to 4","Wyoming","0**","31,340","0.00**","--","--"
"2022","5 to 9","Alabama","--","305,273","--","--","--"
"2022","5 to 9","Alaska","--","50,504","--","--","--"
"2022","5 to 9","Arizona","--","438,596","--","--","--"
"2022","5 to 9","Arkansas","--","191,924","--","--","--"
"2022","5 to 9","California","--","2,358,168","--","--","--"
"2022","5 to 9","Colorado","--","332,093","--","--","--"
"2022","5 to 9","Connecticut","0**","196,337","0.00**","--","--"
"2022","5 to 9","Delaware","0**","57,060","0.00**","--","--"
"2022","5 to 9","District of Columbia","0**","37,059","0.00**","--","--"
"2022","5 to 9","Florida","--","1,185,960","--","--","--"
"2022","5 to 9","Georgia","--","684,189","--","--","--"
"2022","5 to 9","Hawaii","0**","86,582","0.00**","--","--"
"2022","5 to 9","Idaho","0**","127,992","0.00**","--","--"
"2022","5 to 9","Illinois","--","747,100","--","--","--"
"2022","5 to 9","Indiana","--","433,408","--","--","--"
"2022","5 to 9","Iowa","--","200,321","--","--","--"
"2022","5 to 9","Kansas","0**","190,864","0.00**","--","--"
"2022","5 to 9","Kentucky","0**","277,665","0.00**","--","--"
"2022","5 to 9","Louisiana","--","295,518","--","--","--"
"2022","5 to 9","Maine","0**","67,565","0.00**","--","--"
"2022","5 to 9","Maryland","--","371,417","--","--","--"
"2022","5 to 9","Massachusetts","0**","362,938","0.00**","--","--"
"2022","5 to 9","Michigan","--","581,738","--","--","--"
"2022","5 to 9","Minnesota","--","360,989","--","--","--"
"2022","5 to 9","Mississippi","--","181,350","--","--","--"
"2022","5 to 9","Missouri","0**","375,757","0.00**","--","--"
"2022","5 to 9","Montana","--","65,801","--","--","--"
"2022","5 to 9","Nebraska","0**","133,482","0.00**","--","--"
"2022","5 to 9","Nevada","0**","191,238","0.00**","--","--"
"2022","5 to 9","New Hampshire","--","68,058","--","--","--"
"2022","5 to 9","New Jersey","--","545,749","--","--","--"
"2022","5 to 9","New Mexico","0**","125,811","0.00**","--","--"
"2022","5 to 9","New York","0**","1,105,584","0.00**","--","--"
"2022","5 to 9","North Carolina","--","623,783","--","--","--"
"2022","5 to 9","North Dakota","0**","52,658","0.00**","--","--"
"2022","5 to 9","Ohio","--","709,284","--","--","--"
"2022","5 to 9","Oklahoma","--","266,828","--","--","--"
"2022","5 to 9","Oregon","--","232,041","--","--","--"
"2022","5 to 9","Pennsylvania","--","722,469","--","--","--"
"2022","5 to 9","Rhode Island","0**","55,999","0.00**","--","--"
"2022","5 to 9","South Carolina","--","304,905","--","--","--"
"2022","5 to 9","South Dakota","0**","61,380","0.00**","--","--"
"2022","5 to 9","Tennessee","--","421,316","--","--","--"
"2022","5 to 9","Texas","14**","2,085,857","0.67**","--","809"
"2022","5 to 9","Utah","--","256,385","--","--","--"
"2022","5 to 9","Vermont","0**","31,579","0.00**","--","--"
"2022","5 to 9","Virginia","--","515,804","--","--","--"
"2022","5 to 9","Washington","0**","462,468","0.00**","--","--"
"2022","5 to 9","West Virginia","0**","96,539","0.00**","--","--"
"2022","5 to 9","Wisconsin","--","339,916","--","--","--"
"2022","5 to 9","Wyoming","0**","35,894","0.00**","--","--"
"2022","10 to 14","Alabama","23","318,447","7.22","--","1,194"
"2022","10 to 14","Alaska","--","50,287","--","--","--"
