"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","1,258","4,818,024","26.11","26.36","31,001"
"2023","Alaska","163","678,707","24.02","23.52","3,974"
"2023","Arizona","1,039","5,084,538","20.44","19.07","18,852"
"2023","Arkansas","656","2,784,097","23.56","23.63","15,247"
"2023","California","2,071","23,204,756","8.93","8.13","38,351"
"2023","Colorado","781","4,541,282","17.20","15.94","15,936"
"2023","Connecticut","186","2,943,927","6.32","6.30","4,248"
"2023","Delaware","120","917,268","13.08","13.08","2,737"
"2023","District of Columbia","219","597,514","36.65","34.39","7,166"
"2023","Florida","2,836","16,413,261","17.28","16.54","55,636"
"2023","Georgia","1,971","9,800,794","20.11","19.85","50,515"
"2023","Hawaii","62","1,290,027","4.81","4.38","1,010"
"2023","Idaho","331","1,693,068","19.55","19.00","6,541"
"2023","Illinois","1,474","10,166,404","14.50","14.83","39,143"
"2023","Indiana","1,193","6,260,111","19.06","18.97","28,408"
"2023","Iowa","324","2,968,424","10.92","10.79","6,916"
"2023","Kansas","429","2,536,984","16.91","16.89","9,980"
"2023","Kentucky","820","4,298,176","19.08","18.88","18,444"
"2023","Louisiana","1,233","4,242,006","29.07","29.89","34,378"
"2023","Maine","196","1,363,839","14.37","13.88","3,641"
"2023","Maryland","684","5,398,980","12.67","13.14","18,677"
"2023","Massachusetts","210","6,057,016","3.47","3.28","4,580"
"2023","Michigan","1,313","9,437,159","13.91","13.97","31,164"
"2023","Minnesota","500","5,367,204","9.32","9.01","10,509"
"2023","Mississippi","832","2,825,563","29.45","30.24","22,470"
"2023","Missouri","1,275","5,865,177","21.74","21.69","30,199"
"2023","Montana","238","1,079,160","22.05","21.62","4,855"
"2023","Nebraska","199","1,722,348","11.55","11.31","4,556"
"2023","Nevada","495","2,237,775","22.12","20.21","8,618"
"2023","New Hampshire","137","1,334,174","10.27","9.57","2,508"
"2023","New Jersey","358","7,185,488","4.98","4.91","7,670"
"2023","New Mexico","256","1,086,914","23.55","22.58","5,264"
"2023","New York","804","15,698,086","5.12","4.94","16,738"
"2023","North Carolina","1,689","9,597,070","17.60","17.29","39,708"
"2023","North Dakota","96","745,741","12.87","12.49","2,265"
"2023","Ohio","1,715","11,214,619","15.29","15.23","40,771"
"2023","Oklahoma","757","3,530,535","21.44","20.98","16,639"
"2023","Oregon","574","3,601,799","15.94","14.57","10,700"
"2023","Pennsylvania","1,654","11,808,003","14.01","13.47","34,911"
"2023","Rhode Island","43","898,558","4.79","4.09","632"
"2023","South Carolina","973","4,973,007","19.57","19.72","24,380"
"2023","South Dakota","109","872,549","12.49","12.60","2,454"
"2023","Tennessee","1,509","6,590,688","22.90","22.52","35,671"
"2023","Texas","3,298","18,367,611","17.96","17.40","72,914"
"2023","Utah","440","2,870,786","15.33","15.79","9,747"
"2023","Vermont","81","630,479","12.85","12.10","1,423"
"2023","Virginia","1,190","7,740,881","15.37","14.92","27,328"
"2023","Washington","923","6,670,900","13.84","13.16","19,562"
"2023","West Virginia","314","1,730,348","18.15","16.99","5,248"
"2023","Wisconsin","707","5,432,666","13.01","12.68","15,505"
"2023","Wyoming","125","521,259","23.98","23.22","2,646"
"2022","Alabama","1,256","4,793,242","26.20","26.59","31,626"
"2022","Alaska","157","679,807","23.10","23.06","4,126"
"2022","Arizona","1,120","5,063,307","22.12","20.48","20,505"
"2022","Arkansas","646","2,772,186","23.30","23.44","15,496"
"2022","California","2,298","23,363,215","9.84","9.03","43,954"
"2022","Colorado","780","4,529,348","17.22","16.11","16,614"
"2022","Connecticut","199","2,951,588","6.74","6.65","4,248"
"2022","Delaware","117","908,217","12.88","12.66","2,550"
"2022","District of Columbia","153","592,844","25.81","24.56","4,854"
"2022","Florida","2,747","16,239,429","16.92","16.32","55,063"
"2022","Georgia","2,062","9,722,728","21.21","21.09","54,255"
"2022","Hawaii","55","1,295,831","4.24","4.21","1,153"
"2022","Idaho","313","1,676,067","18.68","17.98","6,042"
"2022","Illinois","1,575","10,222,096","15.41","15.81","42,729"
"2022","Indiana","1,153","6,246,799","18.46","18.09","26,909"
"2022","Iowa","348","2,969,451","11.72","11.30","6,940"
"2022","Kansas","440","2,540,374","17.32","17.18","10,013"
"2022","Kentucky","829","4,292,170","19.31","19.57","19,213"
"2022","Louisiana","1,231","4,261,181","28.89","29.64","34,506"
"2022","Maine","173","1,359,023","12.73","11.49","2,823"
"2022","Maryland","778","5,404,529","14.40","14.87","21,771"
"2022","Massachusetts","217","6,062,784","3.58","3.43","5,258"
"2022","Michigan","1,426","9,444,978","15.10","15.13","33,250"
"2022","Minnesota","538","5,354,281","10.05","9.86","11,682"
"2022","Mississippi","833","2,828,895","29.45","30.40","22,590"
"2022","Missouri","1,446","5,855,966","24.69","24.80","34,913"
"2022","Montana","266","1,071,489","24.83","24.28","5,415"
"2022","Nebraska","231","1,720,473","13.43","13.21","5,217"
"2022","Nevada","502","2,238,083","22.43","21.25","9,753"
"2022","New Hampshire","151","1,333,104","11.33","10.17","2,649"
"2022","New Jersey","408","7,196,952","5.67","5.61","9,364"
"2022","New Mexico","299","1,091,138","27.40","26.20","5,592"
"2022","New York","889","15,796,695","5.63","5.56","20,833"
"2022","North Carolina","1,717","9,501,207","18.07","17.68","41,214"
"2022","North Dakota","121","743,127","16.28","16.46","2,684"
"2022","Ohio","1,777","11,206,303","15.86","15.99","43,705"
"2022","Oklahoma","751","3,513,922","21.37","21.12","16,242"
"2022","Oregon","606","3,620,595","16.74","15.45","11,171"
"2022","Pennsylvania","1,794","11,853,389","15.14","14.88","40,973"
"2022","Rhode Island","29","902,299","3.21","2.85","496"
"2022","South Carolina","1,069","4,899,954","21.82","21.78","25,980"
"2022","South Dakota","138","865,804","15.94","16.11","3,512"
"2022","Tennessee","1,427","6,533,733","21.84","21.31","33,526"
"2022","Texas","3,361","18,136,464","18.53","18.06","77,731"
"2022","Utah","400","2,852,002","14.03","14.40","8,421"
"2022","Vermont","82","630,525","13.01","12.02","1,377"
"2022","Virginia","1,256","7,726,932","16.26","15.98","31,157"
"2022","Washington","889","6,666,481","13.34","12.23","16,521"
"2022","West Virginia","307","1,736,228","17.68","16.37","5,323"
"2022","Wisconsin","791","5,424,417","14.58","14.49","18,214"
"2022","Wyoming","116","519,788","22.32","20.96","2,423"
"2021","Alabama","1,291","4,778,155","27.02","27.12","33,430"
"2021","Alaska","168","682,782","24.61","24.77","4,615"
"2021","Arizona","998","5,021,473","19.88","18.69","19,276"
"2021","Arkansas","681","2,763,052","24.65","24.84","16,169"
"2021","California","2,248","23,529,404","9.55","9.08","47,341"
"2021","Colorado","830","4,522,553","18.35","17.14","17,223"
"2021","Connecticut","213","2,964,188","7.19","6.88","4,866"
"2021","Delaware","150","897,251","16.72","17.82","3,953"
"2021","District of Columbia","176","592,797","29.69","25.34","5,800"
"2021","Florida","2,749","16,011,247","17.17","16.87","58,143"
"2021","Georgia","2,097","9,636,282","21.76","21.70","54,841"
"2021","Hawaii","64","1,305,281","4.90","4.74","1,358"
"2021","Idaho","287","1,651,367","17.38","17.30","5,908"
"2021","Illinois","1,786","10,341,651","17.27","17.86","50,810"
"2021","Indiana","1,193","6,244,535","19.11","19.10","30,408"
"2021","Iowa","357","2,974,716","12.00","11.68","7,315"
"2021","Kansas","430","2,548,271","16.87","16.98","10,274"
"2021","Kentucky","918","4,294,138","21.38","21.35","22,102"
"2021","Louisiana","1,285","4,304,172","29.86","30.53","37,167"
"2021","Maine","174","1,350,337","12.89","12.50","3,330"
"2021","Maryland","866","5,431,465","15.94","16.41","23,229"
"2021","Massachusetts","209","6,089,720","3.43","3.22","4,505"
"2021","Michigan","1,482","9,462,794","15.66","15.67","35,997"
"2021","Minnesota","547","5,364,916","10.20","10.08","12,304"
"2021","Mississippi","953","2,842,111","33.53","34.79","26,427"
"2021","Missouri","1,384","5,857,982","23.63","23.77","35,400"
"2021","Montana","275","1,057,577","26.00","25.67","6,216"
"2021","Nebraska","185","1,722,595","10.74","10.86","4,438"
"2021","Nevada","514","2,230,251","23.05","21.98","10,080"
"2021","New Hampshire","122","1,324,791","9.21","8.57","2,286"
"2021","New Jersey","407","7,238,910","5.62","5.78","10,111"
"2021","New Mexico","281","1,098,692","25.58","24.70","5,503"
"2021","New York","929","15,953,954","5.82","5.76","23,102"
"2021","North Carolina","1,730","9,413,538","18.38","18.01","43,416"
"2021","North Dakota","122","743,421","16.41","16.41","2,752"
"2021","Ohio","1,859","11,228,964","16.56","16.86","48,078"
"2021","Oklahoma","795","3,502,754","22.70","22.66","18,182"
"2021","Oregon","611","3,650,149","16.74","15.41","11,435"
"2021","Pennsylvania","1,779","11,927,135","14.92","14.94","43,717"
"2021","Rhode Island","53","909,768","5.83","5.54","1,099"
"2021","South Carolina","1,102","4,827,944","22.83","23.42","28,705"
"2021","South Dakota","122","855,268","14.27","14.22","2,700"
"2021","Tennessee","1,507","6,469,149","23.30","23.53","37,887"
"2021","Texas","3,378","17,900,048","18.87","18.56","80,542"
"2021","Utah","400","2,827,175","14.15","14.51","9,147"
"2021","Vermont","83","630,879","13.16","12.29","1,580"
"2021","Virginia","1,187","7,729,499","15.36","15.14","29,677"
"2021","Washington","807","6,653,165","12.13","11.52","17,138"
"2021","West Virginia","318","1,749,040","18.18","17.57","6,009"
"2021","Wisconsin","757","5,423,347","13.96","14.02","18,568"
"2021","Wyoming","151","518,902","29.10","28.50","3,070"
"2020","Alabama","1,126","4,766,801","23.62","23.92","28,199"
"2020","Alaska","166","682,452","24.32","23.87","4,432"
"2020","Arizona","962","4,980,024","19.32","18.30","18,401"
"2020","Arkansas","651","2,756,369","23.62","24.07","16,162"
"2020","California","2,280","23,911,772","9.54","8.86","45,726"
"2020","Colorado","743","4,516,884","16.45","15.62","16,115"
"2020","Connecticut","187","2,954,372","6.33","6.11","3,882"
"2020","Delaware","134","887,105","15.11","16.11","3,862"
"2020","District of Columbia","161","593,965","27.11","26.70","5,518"
"2020","Florida","2,639","15,876,744","16.62","16.41","57,342"
"2020","Georgia","1,828","9,603,377","19.04","19.07","48,335"
"2020","Hawaii","45","1,311,420","3.43","3.26","818"
"2020","Idaho","291","1,607,872","18.10","17.85","5,732"
"2020","Illinois","1,530","10,451,818","14.64","15.06","44,102"
"2020","Indiana","1,098","6,233,352","17.62","17.75","28,866"
"2020","Iowa","345","2,973,873","11.60","11.66","7,603"
"2020","Kansas","421","2,554,727","16.48","16.19","10,057"
"2020","Kentucky","885","4,299,934","20.58","20.58","21,051"
"2020","Louisiana","1,163","4,330,628","26.86","27.62","33,625"
"2020","Maine","151","1,337,629","11.29","10.39","2,558"
"2020","Maryland","768","5,442,330","14.11","14.47","21,401"
"2020","Massachusetts","220","6,109,582","3.60","3.42","5,127"
"2020","Michigan","1,393","9,504,751","14.66","14.61","33,735"
"2020","Minnesota","493","5,363,932","9.19","8.97","10,985"
"2020","Mississippi","808","2,853,099","28.32","29.42","22,347"
"2020","Missouri","1,389","5,850,189","23.74","24.37","36,727"
"2020","Montana","232","1,041,179","22.28","20.95","4,639"
"2020","Nebraska","185","1,727,398","10.71","10.52","4,112"
"2020","Nevada","467","2,219,393","21.04","19.86","8,761"
"2020","New Hampshire","126","1,318,723","9.56","9.07","2,359"
"2020","New Jersey","387","7,268,179","5.33","5.35","9,580"
"2020","New Mexico","267","1,104,997","24.16","23.02","5,207"
"2020","New York","929","16,171,461","5.75","5.60","22,806"
"2020","North Carolina","1,624","9,331,425","17.40","17.26","41,148"
"2020","North Dakota","96","745,607","12.88","13.41","2,353"
"2020","Ohio","1,729","11,274,733","15.34","15.46","44,754"
"2020","Oklahoma","777","3,490,400","22.26","22.03","17,592"
"2020","Oregon","539","3,652,500","14.76","13.45","9,674"
"2020","Pennsylvania","1,647","11,940,637","13.79","13.68","40,081"
"2020","Rhode Island","41","913,606","4.49","4.47","897"
"2020","South Carolina","1,106","4,778,359","23.15","23.56","29,347"
"2020","South Dakota","118","848,845","13.90","13.97","2,835"
"2020","Tennessee","1,427","6,445,180","22.14","21.89","34,205"
"2020","Texas","3,094","17,748,508","17.43","17.22","74,663"
"2020","Utah","369","2,787,849","13.24","13.66","8,886"
