"Year","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Non-Hispanic","Alabama","1,256","4,824,043","26.04","26.31","31,626"
"2022","Non-Hispanic","Alaska","157","677,088","23.19","23.04","4,126"
"2022","Non-Hispanic","Arizona","1,120","4,970,677","22.53","20.81","20,505"
"2022","Non-Hispanic","Arkansas","646","2,785,101","23.20","23.28","15,496"
"2022","Non-Hispanic","California","2,298","23,297,162","9.86","9.02","43,954"
"2022","Non-Hispanic","Colorado","780","4,524,961","17.24","16.07","16,614"
"2022","Non-Hispanic","Connecticut","199","2,967,226","6.71","6.61","4,248"
"2022","Non-Hispanic","Delaware","117","913,097","12.81","12.51","2,550"
"2022","Non-Hispanic","District of Columbia","153","592,892","25.81","24.42","4,854"
"2022","Non-Hispanic","Florida","2,747","16,219,793","16.94","16.29","55,063"
"2022","Non-Hispanic","Georgia","2,062","9,772,328","21.10","20.88","54,255"
"2022","Non-Hispanic","Hawaii","55","1,280,093","4.30","4.27","1,153"
"2022","Non-Hispanic","Idaho","313","1,677,113","18.66","17.91","6,042"
"2022","Non-Hispanic","Illinois","1,575","10,278,307","15.32","15.66","42,729"
"2022","Non-Hispanic","Indiana","1,153","6,291,288","18.33","17.89","26,909"
"2022","Non-Hispanic","Iowa","348","2,978,712","11.68","11.23","6,940"
"2022","Non-Hispanic","Kansas","440","2,554,115","17.23","17.06","10,013"
"2022","Non-Hispanic","Kentucky","829","4,317,323","19.20","19.38","19,213"
"2022","Non-Hispanic","Louisiana","1,231","4,324,004","28.47","29.04","34,506"
"2022","Non-Hispanic","Maine","173","1,356,354","12.76","11.44","2,823"
"2022","Non-Hispanic","Maryland","778","5,457,844","14.26","14.62","21,771"
"2022","Non-Hispanic","Massachusetts","217","6,068,348","3.58","3.41","5,258"
"2022","Non-Hispanic","Michigan","1,426","9,460,599","15.07","15.05","33,250"
"2022","Non-Hispanic","Minnesota","538","5,375,770","10.01","9.77","11,682"
"2022","Non-Hispanic","Mississippi","833","2,835,178","29.38","30.22","22,590"
"2022","Non-Hispanic","Missouri","1,446","5,879,472","24.59","24.61","34,913"
"2022","Non-Hispanic","Montana","266","1,072,148","24.81","24.23","5,415"
"2022","Non-Hispanic","Nebraska","231","1,725,406","13.39","13.14","5,217"
"2022","Non-Hispanic","Nevada","502","2,216,418","22.65","21.35","9,753"
