"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","White","Alabama","659","3,274,768","20.12","18.90","11,577"
"2023","White","Alaska","94","432,828","21.72","20.32","1,808"
"2023","White","Arizona","811","3,966,287","20.45","17.86","11,624"
"2023","White","Arkansas","451","2,154,845","20.93","19.72","7,929"
"2023","White","California","1,336","13,361,684","10.00","8.17","17,658"
"2023","White","Colorado","662","3,882,428","17.05","15.35","12,099"
"2023","White","Connecticut","100","2,288,017","4.37","3.81","1,482"
"2023","White","Delaware","72","608,164","11.84","10.92","1,172"
"2023","White","District of Columbia","--","255,639","--","--","--"
"2023","White","Florida","1,951","11,742,859","16.61","14.23","26,212"
"2023","White","Georgia","910","5,465,699","16.65","15.03","15,370"
"2023","White","Hawaii","24","308,848","7.77","5.62","160"
"2023","White","Idaho","315","1,576,971","19.98","19.29","6,071"
"2023","White","Illinois","620","7,378,342","8.40","7.54","10,206"
"2023","White","Indiana","823","5,217,266","15.78","15.09","15,833"
"2023","White","Iowa","280","2,665,186","10.51","10.17","5,297"
"2023","White","Kansas","324","2,167,578","14.95","14.51","6,503"
"2023","White","Kentucky","633","3,727,618","16.98","16.24","12,239"
"2023","White","Louisiana","485","2,590,904","18.72","17.58","8,414"
"2023","White","Maine","187","1,281,403","14.59","13.93","3,337"
"2023","White","Maryland","209","2,921,370","7.15","6.26","3,059"
"2023","White","Massachusetts","138","4,819,245","2.86","2.48","2,161"
"2023","White","Michigan","793","7,392,902","10.73","10.16","14,713"
"2023","White","Minnesota","370","4,411,748","8.39","7.62","6,060"
"2023","White","Mississippi","343","1,635,843","20.97","19.68","5,715"
"2023","White","Missouri","810","4,826,551","16.78","15.85","14,719"
"2023","White","Montana","203","964,117","21.06","20.17","3,786"
"2023","White","Nebraska","172","1,507,275","11.41","11.05","3,643"
"2023","White","Nevada","369","1,451,584","25.42","20.69","4,758"
"2023","White","New Hampshire","135","1,241,227","10.88","10.13","2,450"
"2023","White","New Jersey","194","4,833,968","4.01","3.34","2,342"
"2023","White","New Mexico","192","777,397","24.70","23.04","3,334"
"2023","White","New York","468","10,577,177","4.43","3.82","6,418"
"2023","White","North Carolina","988","6,573,391","15.03","13.65","16,694"
"2023","White","North Dakota","80","647,690","12.35","11.71","1,676"
"2023","White","Ohio","1,069","9,044,010","11.82","11.04","19,289"
"2023","White","Oklahoma","545","2,539,368","21.46","19.98","10,142"
"2023","White","Oregon","500","3,083,446","16.22","14.27","8,160"
"2023","White","Pennsylvania","1,080","9,600,218","11.25","9.79","16,379"
"2023","White","Rhode Island","38","758,936","5.01","4.20","515"
"2023","White","South Carolina","526","3,378,794","15.57","14.52","9,203"
"2023","White","South Dakota","82","739,823","11.08","10.77","1,548"
"2023","White","Tennessee","934","5,130,167","18.21","16.67","15,940"
"2023","White","Texas","2,252","12,088,544","18.63","17.25","40,153"
"2023","White","Utah","405","2,587,537","15.65","16.09","8,594"
"2023","White","Vermont","79","592,133","13.34","12.57","1,376"
"2023","White","Virginia","685","5,151,420","13.30","11.99","11,287"
"2023","White","Washington","709","5,014,701","14.14","13.08","13,069"
"2023","White","West Virginia","293","1,609,516","18.20","16.74","4,611"
"2023","White","Wisconsin","502","4,699,967","10.68","9.78","8,661"
"2023","White","Wyoming","116","485,185","23.91","23.12","2,429"
"2023","Black","Alabama","585","1,340,160","43.65","43.66","18,922"
"2023","Black","Alaska","--","23,866","--","--","--"
"2023","Black","Arizona","122","365,320","33.40","31.45","3,858"
"2023","Black","Arkansas","200","468,239","42.71","42.62","7,125"
"2023","Black","California","482","2,175,864","22.15","21.81","14,055"
"2023","Black","Colorado","74","246,217","30.06","28.21","2,456"
"2023","Black","Connecticut","82","392,447","20.90","20.26","2,618"
"2023","Black","Delaware","45","233,918","19.24","19.31","1,478"
"2023","Black","District of Columbia","215","289,767","74.20","74.49","7,086"
"2023","Black","Florida","819","3,476,657","23.56","23.18","27,447"
"2023","Black","Georgia","1,015","3,543,000","28.65","27.94","33,806"
"2023","Black","Hawaii","--","28,164","--","--","--"
"2023","Black","Idaho","--","16,167","--","--","--"
"2023","Black","Illinois","830","1,756,608","47.25","48.11","28,239"
"2023","Black","Indiana","346","683,244","50.64","49.99","11,706"
