"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","White","Alabama","679","3,283,664","20.68","19.42","11,796"
"2022","White","Alaska","90","431,312","20.87","20.14","2,031"
"2022","White","Arizona","876","3,895,240","22.49","19.43","12,737"
"2022","White","Arkansas","415","2,161,415","19.20","18.34","7,640"
"2022","White","California","1,407","13,554,876","10.38","8.37","18,056"
"2022","White","Colorado","648","3,881,878","16.69","15.07","12,239"
"2022","White","Connecticut","128","2,315,721","5.53","5.03","1,955"
"2022","White","Delaware","72","610,978","11.78","9.98","1,034"
"2022","White","District of Columbia","--","252,150","--","--","--"
"2022","White","Florida","1,852","11,642,694","15.91","13.63","25,184"
"2022","White","Georgia","955","5,500,388","17.36","16.08","17,271"
"2022","White","Hawaii","14**","306,591","4.57**","4.13**","205"
"2022","White","Idaho","301","1,564,996","19.23","18.34","5,622"
"2022","White","Illinois","639","7,483,551","8.54","7.74","10,545"
"2022","White","Indiana","772","5,264,074","14.67","13.60","13,869"
"2022","White","Iowa","290","2,679,799","10.82","9.99","4,846"
"2022","White","Kansas","349","2,183,438","15.98","15.56","7,024"
"2022","White","Kentucky","621","3,754,388","16.54","16.12","12,246"
"2022","White","Louisiana","488","2,652,879","18.40","17.53","9,290"
"2022","White","Maine","163","1,277,208","12.76","11.24","2,517"
"2022","White","Maryland","232","2,976,069","7.80","6.76","3,748"
"2022","White","Massachusetts","137","4,856,171","2.82","2.54","2,537"
"2022","White","Michigan","816","7,423,617","10.99","10.18","14,170"
"2022","White","Minnesota","403","4,438,142","9.08","8.40","7,023"
"2022","White","Mississippi","338","1,647,390","20.52","19.54","6,224"
"2022","White","Missouri","923","4,845,098","19.05","18.07","17,276"
"2022","White","Montana","226","957,643","23.60","22.31","4,143"
"2022","White","Nebraska","196","1,514,050","12.95","12.55","4,134"
"2022","White","Nevada","366","1,452,282","25.20","22.15","5,691"
"2022","White","New Hampshire","147","1,238,534","11.87","10.60","2,521"
"2022","White","New Jersey","211","4,898,567","4.31","3.62","2,830"
"2022","White","New Mexico","219","754,687","29.02","25.54","3,171"
"2022","White","New York","465","10,669,241","4.36","3.84","7,222"
"2022","White","North Carolina","962","6,584,019","14.61","13.03","15,515"
"2022","White","North Dakota","113","646,993","17.47","17.38","2,430"
"2022","White","Ohio","1,098","9,087,163","12.08","11.43","20,470"
"2022","White","Oklahoma","518","2,549,334","20.32","18.80","9,275"
"2022","White","Oregon","530","3,118,334","17.00","15.11","8,743"
"2022","White","Pennsylvania","1,071","9,662,619","11.08","9.88","17,008"
"2022","White","Rhode Island","22","764,338","2.88","2.36","292"
"2022","White","South Carolina","595","3,352,165","17.75","16.17","10,074"
"2022","White","South Dakota","99","734,240","13.48","13.03","2,032"
"2022","White","Tennessee","899","5,141,367","17.49","15.85","15,569"
"2022","White","Texas","2,246","11,939,611","18.81","17.43","40,999"
"2022","White","Utah","378","2,592,896","14.58","14.79","7,640"
"2022","White","Vermont","75","594,892","12.61","11.20","1,142"
"2022","White","Virginia","689","5,196,054","13.26","11.93","11,914"
"2022","White","Washington","689","5,071,894","13.59","11.70","10,640"
"2022","White","West Virginia","279","1,618,266","17.24","15.54","4,481"
"2022","White","Wisconsin","508","4,720,083","10.76","9.96","8,973"
"2022","White","Wyoming","110","482,967","22.78","21.14","2,254"
"2022","Black","Alabama","570","1,341,182","42.50","42.22","19,640"
"2022","Black","Alaska","--","23,753","--","--","--"
"2022","Black","Arizona","120","350,020","34.28","31.76","3,917"
"2022","Black","Arkansas","218","466,938","46.69","46.04","7,423"
"2022","Black","California","635","2,177,612","29.16","28.48","19,271"
"2022","Black","Colorado","102","241,142","42.30","40.28","3,477"
"2022","Black","Connecticut","66","389,067","16.96","16.20","2,128"
"2022","Black","Delaware","45","228,813","19.67","20.11","1,516"
