"Year","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Males","Alabama","1,077","2,479,253","43.44","44.10","26,841"
"2023","Males","Alaska","146","385,345","37.89","37.22","3,492"
"2023","Males","Arizona","1,227","3,707,729","33.09","31.85","26,471"
"2023","Males","Arkansas","568","1,513,837","37.52","37.68","13,310"
"2023","Males","California","2,832","19,445,653","14.56","14.19","65,719"
"2023","Males","Colorado","875","2,976,207","29.40","28.27","20,294"
"2023","Males","Connecticut","201","1,773,938","11.33","11.19","4,898"
"2023","Males","Delaware","106","499,148","21.24","20.95","2,413"
"2023","Males","District of Columbia","205","321,715","63.72","59.58","6,805"
"2023","Males","Florida","2,729","11,108,809","24.57","23.19","55,264"
"2023","Males","Georgia","1,744","5,375,012","32.45","32.22","45,759"
"2023","Males","Hawaii","65","719,795","9.03","8.68","1,199"
"2023","Males","Idaho","298","988,459","30.15","30.29","6,151"
"2023","Males","Illinois","1,470","6,201,083","23.71","23.65","40,245"
"2023","Males","Indiana","1,068","3,404,471","31.37","31.10","25,641"
"2023","Males","Iowa","302","1,608,044","18.78","18.82","6,707"
"2023","Males","Kansas","407","1,474,638","27.60","27.55","9,914"
"2023","Males","Kentucky","695","2,243,135","30.98","30.62","15,953"
"2023","Males","Louisiana","1,071","2,234,898","47.92","48.92","30,384"
"2023","Males","Maine","169","687,555","24.58","24.00","3,229"
"2023","Males","Maryland","657","3,004,403","21.87","22.50","18,681"
"2023","Males","Massachusetts","241","3,420,435","7.05","6.84","5,887"
"2023","Males","Michigan","1,206","4,973,541","24.25","24.24","29,041"
"2023","Males","Minnesota","464","2,875,375","16.14","15.74","9,865"
"2023","Males","Mississippi","723","1,425,718","50.71","52.06","19,500"
"2023","Males","Missouri","1,127","3,057,592","36.86","36.58","26,818"
"2023","Males","Montana","205","573,941","35.72","35.02","4,241"
"2023","Males","Nebraska","185","994,752","18.60","18.31","4,342"
"2023","Males","Nevada","503","1,607,856","31.28","30.15","10,317"
"2023","Males","New Hampshire","122","699,693","17.44","16.34","2,256"
"2023","Males","New Jersey","382","4,572,312","8.36","8.45","9,025"
"2023","Males","New Mexico","456","1,051,056","43.39","43.04","11,895"
"2023","Males","New York","838","9,555,621","8.77","8.57","18,737"
"2023","Males","North Carolina","1,546","5,296,522","29.19","28.81","37,035"
"2023","Males","North Dakota","90","402,088","22.38","21.47","2,101"
"2023","Males","Ohio","1,493","5,812,649","25.69","25.51","35,416"
"2023","Males","Oklahoma","670","2,016,758","33.22","33.08","15,136"
"2023","Males","Oregon","551","2,108,211","26.14","24.74","11,331"
"2023","Males","Pennsylvania","1,581","6,389,851","24.74","24.02","35,286"
"2023","Males","Rhode Island","46","537,459","8.56","7.81","948"
"2023","Males","South Carolina","863","2,611,037","33.05","32.88","21,719"
"2023","Males","South Dakota","100","467,397","21.40","21.39","2,234"
"2023","Males","Tennessee","1,323","3,495,115","37.85","37.64","31,823"
"2023","Males","Texas","3,800","15,216,092","24.97","25.00","94,351"
"2023","Males","Utah","421","1,731,589","24.31","25.23","9,873"
"2023","Males","Vermont","72","321,436","22.40","21.75","1,358"
"2023","Males","Virginia","1,075","4,306,001","24.97","24.40","25,543"
"2023","Males","Washington","892","3,934,002","22.67","21.92","20,050"
"2023","Males","West Virginia","266","883,633","30.10","28.01","4,494"
"2023","Males","Wisconsin","662","2,959,516","22.37","21.80","14,905"
"2023","Males","Wyoming","116","299,025","38.79","38.24","2,582"
"2023","Females","Alabama","215","2,629,215","8.18","8.20","5,269"
"2023","Females","Alaska","30","348,061","8.62","8.31","901"
"2023","Females","Arizona","192","3,723,615","5.16","5.27","4,270"
"2023","Females","Arkansas","103","1,553,895","6.63","6.70","2,421"
"2023","Females","California","377","19,519,540","1.93","1.82","7,751"
"2023","Females","Colorado","144","2,901,403","4.96","4.92","3,405"
"2023","Females","Connecticut","24","1,843,238","1.30","1.40","621"
"2023","Females","Delaware","18**","532,742","3.38**","3.43**","446"
"2023","Females","District of Columbia","20**","357,257","5.60**","5.67**","573"
"2023","Females","Florida","524","11,501,917","4.56","4.46","10,834"
"2023","Females","Georgia","326","5,654,215","5.77","5.71","7,947"
"2023","Females","Hawaii","--","715,343","--","--","--"
"2023","Females","Idaho","58","976,267","5.94","5.74","1,085"
"2023","Females","Illinois","221","6,348,606","3.48","3.60","6,052"
"2023","Females","Indiana","190","3,457,728","5.50","5.76","5,061"
"2023","Females","Iowa","39","1,598,960","2.44","2.31","752"
"2023","Females","Kansas","68","1,465,908","4.64","4.70","1,727"
"2023","Females","Kentucky","146","2,283,019","6.40","6.50","3,170"
"2023","Females","Louisiana","190","2,338,851","8.12","8.46","4,981"
"2023","Females","Maine","31","708,167","4.38","4.14","542"
"2023","Females","Maryland","80","3,175,850","2.52","2.52","1,792"
"2023","Females","Massachusetts","29","3,580,964","0.81","0.77","666"
"2023","Females","Michigan","178","5,063,720","3.52","3.72","4,632"
"2023","Females","Minnesota","61","2,862,540","2.13","2.08","1,415"
"2023","Females","Mississippi","121","1,513,972","7.99","8.49","3,344"
"2023","Females","Missouri","197","3,138,564","6.28","6.58","4,928"
"2023","Females","Montana","42","558,871","7.52","7.66","872"
"2023","Females","Nebraska","28","983,627","2.85","2.93","728"
"2023","Females","Nevada","113","1,586,320","7.12","6.60","2,185"
"2023","Females","New Hampshire","21","702,361","2.99","2.93","469"
"2023","Females","New Jersey","48","4,718,529","1.02","1.04","1,155"
"2023","Females","New Mexico","74","1,063,315","6.96","7.47","2,012"
"2023","Females","New York","105","10,015,595","1.05","1.08","2,545"
"2023","Females","North Carolina","257","5,538,969","4.64","4.73","6,576"
"2023","Females","North Dakota","13**","381,838","3.41**","3.66**","440"
"2023","Females","Ohio","275","5,973,286","4.60","4.78","6,996"
"2023","Females","Oklahoma","144","2,037,066","7.07","7.10","3,474"
"2023","Females","Oregon","91","2,125,147","4.28","4.02","1,747"
"2023","Females","Pennsylvania","226","6,571,832","3.44","3.42","4,495"
"2023","Females","Rhode Island","12**","558,503","2.15**","1.88**","174"
"2023","Females","South Carolina","156","2,762,518","5.65","5.89","4,072"
"2023","Females","South Dakota","12**","451,921","2.66**","2.93**","335"
"2023","Females","Tennessee","264","3,631,374","7.27","7.14","6,384"
