"Year","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","White","Non-Hispanic","2,382","18,052,195","13.20","--","102,758"
"2023","White","Hispanic","1,419","7,327,528","19.37","--","61,811"
"2023","White","Unknown","--","--","--","--","--"
"2023","Black","Non-Hispanic","3,697","4,764,927","77.59","--","161,060"
"2023","Black","Hispanic","98","432,636","22.65","--","4,273"
"2023","Black","Unknown","--","--","--","--","--"
"2023","American Indian / Alaska Native","Non-Hispanic","106","283,317","37.41","--","4,559"
"2023","American Indian / Alaska Native","Hispanic","24","257,005","9.34","--","1,054"
"2023","Asian","Non-Hispanic","116","2,045,660","5.67","--","5,010"
"2023","Asian","Hispanic","--","85,605","--","--","--"
"2023","HI Native / Pacific Islander","Non-Hispanic","16**","71,485","22.38**","--","700"
"2023","HI Native / Pacific Islander","Hispanic","--","28,827","--","--","--"
"2023","More than One Race","Non-Hispanic","167","1,225,064","13.63","--","7,221"
"2023","More than One Race","Hispanic","36","309,118","11.65","--","1,581"
"2022","White","Non-Hispanic","2,509","18,108,738","13.86","--","108,357"
"2022","White","Hispanic","1,398","7,158,129","19.53","--","61,098"
"2022","White","Unknown","--","--","--","--","--"
"2022","Black","Non-Hispanic","4,195","4,766,038","88.02","--","182,619"
"2022","Black","Hispanic","96","417,596","22.99","--","4,192"
"2022","Black","Unknown","--","--","--","--","--"
"2022","American Indian / Alaska Native","Non-Hispanic","118","282,843","41.72","--","5,127"
"2022","American Indian / Alaska Native","Hispanic","20**","244,722","8.17**","--","869"
"2022","Asian","Non-Hispanic","106","1,999,097","5.30","--","4,602"
"2022","Asian","Hispanic","--","83,124","--","--","--"
"2022","HI Native / Pacific Islander","Non-Hispanic","17**","69,712","24.39**","--","745"
"2022","HI Native / Pacific Islander","Hispanic","--","27,976","--","--","--"
"2022","More than One Race","Non-Hispanic","171","1,185,824","14.42","--","7,410"
"2022","More than One Race","Hispanic","36","296,190","12.15","--","1,559"
"2021","White","Non-Hispanic","2,781","18,151,849","15.32","--","120,254"
"2021","White","Hispanic","1,492","7,009,297","21.29","--","64,906"
"2021","White","Unknown","--","--","--","--","--"
"2021","Black","Non-Hispanic","4,636","4,772,554","97.14","--","201,692"
"2021","Black","Hispanic","94","404,523","23.24","--","4,081"
"2021","Black","Unknown","--","--","--","--","--"
"2021","American Indian / Alaska Native","Non-Hispanic","103","282,681","36.44","--","4,472"
"2021","American Indian / Alaska Native","Hispanic","20**","234,602","8.53**","--","863"
"2021","Asian","Non-Hispanic","130","1,961,089","6.63","--","5,611"
"2021","Asian","Hispanic","16**","80,893","19.78**","--","690"
"2021","HI Native / Pacific Islander","Non-Hispanic","21","68,362","30.72","--","910"
"2021","HI Native / Pacific Islander","Hispanic","--","27,438","--","--","--"
"2021","More than One Race","Non-Hispanic","201","1,148,219","17.51","--","8,807"
"2021","More than One Race","Hispanic","36","284,441","12.66","--","1,565"
"2020","White","Non-Hispanic","2,757","18,261,823","15.10","--","119,018"
"2020","White","Hispanic","1,362","6,924,898","19.67","--","59,323"
"2020","White","Unknown","--","--","--","--","--"
"2020","Black","Non-Hispanic","4,458","4,828,636","92.32","--","193,779"
"2020","Black","Hispanic","49","397,950","12.31","--","2,136"
"2020","Black","Unknown","--","--","--","--","--"
"2020","American Indian / Alaska Native","Non-Hispanic","109","284,250","38.35","--","4,758"
"2020","American Indian / Alaska Native","Hispanic","17**","230,576","7.37**","--","751"
"2020","Asian","Non-Hispanic","115","1,975,778","5.82","--","4,974"
"2020","Asian","Hispanic","--","79,511","--","--","--"
"2020","HI Native / Pacific Islander","Non-Hispanic","17**","68,450","24.84**","--","729"
"2020","HI Native / Pacific Islander","Hispanic","0**","27,192","0.00**","--","--"
"2020","More than One Race","Non-Hispanic","153","1,118,045","13.69","--","6,620"
"2020","More than One Race","Hispanic","32","276,343","11.58","--","1,398"
"2019","White","Non-Hispanic","2,419","18,545,873","13.04","--","104,656"
"2019","White","Hispanic","1,046","6,854,860","15.26","--","45,476"
"2019","White","Unknown","--","--","--","--","--"
"2019","Black","Non-Hispanic","3,233","4,941,529","65.43","--","140,579"
"2019","Black","Hispanic","42","388,311","10.82","--","1,811"
"2019","Black","Unknown","--","--","--","--","--"
"2019","American Indian / Alaska Native","Non-Hispanic","75","293,068","25.59","--","3,275"
"2019","American Indian / Alaska Native","Hispanic","10**","228,126","4.38**","--","450"
"2019","Asian","Non-Hispanic","103","1,988,747","5.18","--","4,439"
"2019","Asian","Hispanic","--","78,485","--","--","--"
"2019","HI Native / Pacific Islander","Non-Hispanic","12**","69,438","17.28**","--","544"
"2019","HI Native / Pacific Islander","Hispanic","--","27,057","--","--","--"
"2019","More than One Race","Non-Hispanic","131","1,093,591","11.98","--","5,773"
"2019","More than One Race","Hispanic","19**","268,820","7.07**","--","837"
"2018","White","Non-Hispanic","2,557","18,768,797","13.62","--","110,735"
"2018","White","Hispanic","1,084","6,801,142","15.94","--","47,139"
"2018","White","Unknown","11**","--","0.00**","--","471"
"2018","Black","Non-Hispanic","3,060","5,027,773","60.86","--","132,682"
"2018","Black","Hispanic","45","385,145","11.68","--","1,973"
"2018","Black","Unknown","--","--","--","--","--"
"2018","American Indian / Alaska Native","Non-Hispanic","85","297,626","28.56","--","3,693"
"2018","American Indian / Alaska Native","Hispanic","12**","227,592","5.27**","--","513"
"2018","American Indian / Alaska Native","Unknown","--","--","--","--","--"
"2018","Asian","Non-Hispanic","84","1,987,383","4.23","--","3,604"
"2018","Asian","Hispanic","--","77,739","--","--","--"
"2018","HI Native / Pacific Islander","Non-Hispanic","19**","69,886","27.19**","--","835"
"2018","HI Native / Pacific Islander","Hispanic","--","27,009","--","--","--"
"2018","More than One Race","Non-Hispanic","116","1,064,494","10.90","--","5,050"
"2018","More than One Race","Hispanic","36","261,020","13.79","--","1,566"
"Total","","","49,627","208,196,267","23.84","--","2,154,457"
"","","","","","","",""
"Injury Outcome: Fatal","","","","","","",""
"Injury Type: All Injury","","","","","","",""
"Data Years: 2018 to 2023","","","","","","",""
"Geography: United States","","","","","","",""
"Intent: All Intents","","","","","","",""
"Mechanism: Firearm","","","","","","",""
"Age: 18 to 25","","","","","","",""
"Sex: All Sexes","","","","","","",""
"Race: All Races","","","","","","",""
"Ethnicity: All Ethnicities","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","",""
"YPLL Age: 65","","","","","","",""
"Year and Race Options: 2018 - 2023 by Single Race","","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","","",""
"--* indicates secondary suppression.","","","","","","",""
