"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","263","519,401","50.64","51.74","11,425"
"2021","Alaska","45","77,395","58.14","54.77","1,957"
"2021","Arizona","223","783,904","28.45","27.88","9,673"
"2021","Arkansas","136","316,250","43.00","37.49","5,941"
"2021","California","681","4,092,525","16.64","18.23","29,427"
"2021","Colorado","174","610,485","28.50","27.31","7,544"
"2021","Connecticut","55","384,958","14.29","13.62","2,386"
"2021","Delaware","45","95,288","47.23","45.21","1,968"
"2021","District of Columbia","47","77,926","60.31","71.28","2,015"
"2021","Florida","518","1,983,415","26.12","27.65","22,434"
"2021","Georgia","458","1,169,292","39.17","36.90","19,972"
"2021","Hawaii","10**","136,380","7.33**","4.63**","434"
"2021","Idaho","38","198,338","19.16","23.77","1,636"
"2021","Illinois","478","1,304,842","36.63","36.19","20,795"
"2021","Indiana","279","747,261","37.34","33.75","12,181"
"2021","Iowa","50","356,246","14.04","8.65","2,213"
"2021","Kansas","97","332,199","29.20","31.78","4,238"
"2021","Kentucky","180","472,806","38.07","37.47","7,807"
"2021","Louisiana","329","471,602","69.76","73.99","14,355"
"2021","Maine","13**","122,337","10.63**","13.23**","554"
"2021","Maryland","209","603,220","34.65","37.11","9,042"
"2021","Massachusetts","41","780,501","5.25","5.89","1,770"
"2021","Michigan","299","1,058,480","28.25","28.73","12,916"
"2021","Minnesota","99","568,044","17.43","18.41","4,297"
"2021","Mississippi","218","314,370","69.35","66.90","9,464"
"2021","Missouri","258","636,336","40.55","41.51","11,225"
"2021","Montana","48","114,031","42.09","38.81","2,087"
"2021","Nebraska","34","216,967","15.67","14.78","1,480"
"2021","Nevada","106","292,581","36.23","37.34","4,584"
"2021","New Hampshire","14**","139,660","10.02**","12.33**","599"
"2021","New Jersey","99","885,767","11.18","13.13","4,269"
"2021","New Mexico","102","223,954","45.55","44.61","4,445"
"2021","New York","207","2,005,222","10.32","11.58","8,929"
"2021","North Carolina","396","1,123,895","35.24","37.21","17,249"
