"Year","State","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","White","Non-Hispanic","52","319,858","16.26","--","2,228"
"2023","Alabama","White","Hispanic","--","32,602","--","--","--"
"2023","Alabama","Black","Non-Hispanic","179","161,220","111.03","--","7,755"
"2023","Alabama","Black","Hispanic","--","2,843","--","--","--"
"2023","Alabama","American Indian / Alaska Native","Non-Hispanic","--","2,882","--","--","--"
"2023","Alabama","American Indian / Alaska Native","Hispanic","--","1,362","--","--","--"
"2023","Alabama","Asian","Non-Hispanic","--","9,564","--","--","--"
"2023","Alabama","Asian","Hispanic","--","229","--","--","--"
"2023","Alabama","HI Native / Pacific Islander","Non-Hispanic","0**","353","0.00**","--","--"
"2023","Alabama","HI Native / Pacific Islander","Hispanic","--","434","--","--","--"
"2023","Alabama","More than One Race","Non-Hispanic","--","12,473","--","--","--"
"2023","Alabama","More than One Race","Hispanic","0**","1,408","0.00**","--","--"
"2023","Alaska","White","Non-Hispanic","--","38,823","--","--","--"
"2023","Alaska","White","Hispanic","--","5,367","--","--","--"
"2023","Alaska","Black","Non-Hispanic","--","3,412","--","--","--"
"2023","Alaska","Black","Hispanic","0**","472","0.00**","--","--"
"2023","Alaska","American Indian / Alaska Native","Non-Hispanic","--","13,013","--","--","--"
"2023","Alaska","American Indian / Alaska Native","Hispanic","0**","607","0.00**","--","--"
"2023","Alaska","Asian","Non-Hispanic","--","4,897","--","--","--"
"2023","Alaska","Asian","Hispanic","0**","151","0.00**","--","--"
"2023","Alaska","HI Native / Pacific Islander","Non-Hispanic","--","1,468","--","--","--"
"2023","Alaska","HI Native / Pacific Islander","Hispanic","0**","75","0.00**","--","--"
"2023","Alaska","More than One Race","Non-Hispanic","--","7,483","--","--","--"
"2023","Alaska","More than One Race","Hispanic","--","941","--","--","--"
"2023","Arizona","White","Non-Hispanic","55","333,356","16.50","--","2,371"
"2023","Arizona","White","Hispanic","82","295,538","27.75","--","3,603"
"2023","Arizona","Black","Non-Hispanic","26","43,142","60.27","--","1,140"
"2023","Arizona","Black","Hispanic","--","8,214","--","--","--"
"2023","Arizona","American Indian / Alaska Native","Non-Hispanic","14**","35,044","39.95**","--","607"
"2023","Arizona","American Indian / Alaska Native","Hispanic","--","14,079","--","--","--"
"2023","Arizona","Asian","Non-Hispanic","--","32,518","--","--","--"
"2023","Arizona","Asian","Hispanic","0**","2,840","0.00**","--","--"
"2023","Arizona","HI Native / Pacific Islander","Non-Hispanic","0**","1,679","0.00**","--","--"
"2023","Arizona","HI Native / Pacific Islander","Hispanic","0**","968","0.00**","--","--"
"2023","Arizona","More than One Race","Non-Hispanic","--","28,053","--","--","--"
"2023","Arizona","More than One Race","Hispanic","--","10,869","--","--","--"
"2023","Arkansas","White","Non-Hispanic","33","206,660","15.97","--","1,421"
"2023","Arkansas","White","Hispanic","--","36,204","--","--","--"
"2023","Arkansas","Black","Non-Hispanic","61","57,610","105.88","--","2,679"
"2023","Arkansas","Black","Hispanic","--","1,379","--","--","--"
"2023","Arkansas","American Indian / Alaska Native","Non-Hispanic","0**","2,767","0.00**","--","--"
"2023","Arkansas","American Indian / Alaska Native","Hispanic","0**","1,399","0.00**","--","--"
"2023","Arkansas","Asian","Non-Hispanic","--","6,161","--","--","--"
"2023","Arkansas","Asian","Hispanic","0**","284","0.00**","--","--"
"2023","Arkansas","HI Native / Pacific Islander","Non-Hispanic","0**","1,697","0.00**","--","--"
"2023","Arkansas","HI Native / Pacific Islander","Hispanic","0**","154","0.00**","--","--"
"2023","Arkansas","More than One Race","Non-Hispanic","0**","9,591","0.00**","--","--"
"2023","Arkansas","More than One Race","Hispanic","0**","1,246","0.00**","--","--"
"2023","California","White","Non-Hispanic","83","1,081,581","7.67","--","3,614"
"2023","California","White","Hispanic","255","1,805,295","14.13","--","11,147"
"2023","California","White","Unknown","--","--","--","--","--"
"2023","California","Black","Non-Hispanic","97","219,081","44.28","--","4,164"
"2023","California","Black","Hispanic","--","49,752","--","--","--"
"2023","California","American Indian / Alaska Native","Non-Hispanic","--","16,090","--","--","--"
"2023","California","American Indian / Alaska Native","Hispanic","--","67,160","--","--","--"
"2023","California","Asian","Non-Hispanic","17**","539,431","3.15**","--","727"
"2023","California","Asian","Hispanic","--","34,683","--","--","--"
"2023","California","HI Native / Pacific Islander","Non-Hispanic","--","14,246","--","--","--"
"2023","California","HI Native / Pacific Islander","Hispanic","--","7,577","--","--","--"
"2023","California","More than One Race","Non-Hispanic","14**","169,462","8.26**","--","601"
"2023","California","More than One Race","Hispanic","12**","71,853","16.70**","--","524"
"2023","Colorado","White","Non-Hispanic","55","360,725","15.25","--","2,342"
"2023","Colorado","White","Hispanic","58","161,416","35.93","--","2,517"
"2023","Colorado","Black","Non-Hispanic","23","27,248","84.41","--","1,003"
"2023","Colorado","Black","Hispanic","--","5,169","--","--","--"
"2023","Colorado","American Indian / Alaska Native","Non-Hispanic","--","4,817","--","--","--"
"2023","Colorado","American Indian / Alaska Native","Hispanic","--","7,602","--","--","--"
"2023","Colorado","Asian","Non-Hispanic","--","22,313","--","--","--"
"2023","Colorado","Asian","Hispanic","0**","1,510","0.00**","--","--"
"2023","Colorado","HI Native / Pacific Islander","Non-Hispanic","--","1,103","--","--","--"
"2023","Colorado","HI Native / Pacific Islander","Hispanic","0**","451","0.00**","--","--"
"2023","Colorado","More than One Race","Non-Hispanic","--","24,298","--","--","--"
"2023","Colorado","More than One Race","Hispanic","--","8,217","--","--","--"
"2023","Connecticut","White","Non-Hispanic","--","213,896","--","--","--"
"2023","Connecticut","White","Hispanic","--","67,933","--","--","--"
"2023","Connecticut","Black","Non-Hispanic","18**","44,883","40.10**","--","772"
"2023","Connecticut","Black","Hispanic","--","11,337","--","--","--"
"2023","Connecticut","American Indian / Alaska Native","Non-Hispanic","0**","842","0.00**","--","--"
"2023","Connecticut","American Indian / Alaska Native","Hispanic","0**","1,911","0.00**","--","--"
"2023","Connecticut","Asian","Non-Hispanic","0**","20,668","0.00**","--","--"
"2023","Connecticut","Asian","Hispanic","0**","671","0.00**","--","--"
"2023","Connecticut","HI Native / Pacific Islander","Non-Hispanic","0**","137","0.00**","--","--"
"2023","Connecticut","HI Native / Pacific Islander","Hispanic","0**","315","0.00**","--","--"
"2023","Connecticut","More than One Race","Non-Hispanic","--","12,170","--","--","--"
"2023","Connecticut","More than One Race","Hispanic","0**","4,031","0.00**","--","--"
"2023","Delaware","White","Non-Hispanic","--","48,220","--","--","--"
"2023","Delaware","White","Hispanic","--","11,553","--","--","--"
"2023","Delaware","Black","Non-Hispanic","13**","26,789","48.53**","--","571"
"2023","Delaware","Black","Hispanic","0**","2,065","0.00**","--","--"
"2023","Delaware","American Indian / Alaska Native","Non-Hispanic","0**","261","0.00**","--","--"
"2023","Delaware","American Indian / Alaska Native","Hispanic","0**","541","0.00**","--","--"
"2023","Delaware","Asian","Non-Hispanic","0**","4,088","0.00**","--","--"
