"Year","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","White","Non-Hispanic","744","35,237,224","2.11","--","37,810"
"2023","White","Hispanic","437","15,990,500","2.73","--","21,812"
"2023","White","Unknown","--","--","--","--","--"
"2023","Black","Non-Hispanic","1,185","10,110,246","11.72","--","60,039"
"2023","Black","Hispanic","32","1,230,211","2.60","--","1,600"
"2023","Black","Unknown","--","--","--","--","--"
"2023","American Indian / Alaska Native","Non-Hispanic","30","559,819","5.36","--","1,518"
"2023","American Indian / Alaska Native","Hispanic","--","704,706","--","--","--"
"2023","Asian","Non-Hispanic","43","4,070,166","1.06","--","2,205"
"2023","Asian","Hispanic","--","254,812","--","--","--"
"2023","HI Native / Pacific Islander","Non-Hispanic","--","159,737","--","--","--"
"2023","HI Native / Pacific Islander","Hispanic","--","91,236","--","--","--"
"2023","More than One Race","Non-Hispanic","72","3,518,297","2.05","--","3,694"
"2023","More than One Race","Hispanic","16**","904,907","1.77**","--","805"
"2022","White","Non-Hispanic","704","35,704,059","1.97","--","35,833"
"2022","White","Hispanic","453","16,013,784","2.83","--","22,830"
"2022","Black","Non-Hispanic","1,224","10,136,865","12.08","--","61,860"
"2022","Black","Hispanic","19**","1,201,991","1.58**","--","956"
"2022","Black","Unknown","--","--","--","--","--"
"2022","American Indian / Alaska Native","Non-Hispanic","36","571,515","6.30","--","1,814"
"2022","American Indian / Alaska Native","Hispanic","--","683,381","--","--","--"
"2022","Asian","Non-Hispanic","30","4,040,161","0.74","--","1,562"
"2022","Asian","Hispanic","--","249,372","--","--","--"
"2022","HI Native / Pacific Islander","Non-Hispanic","--","159,306","--","--","--"
"2022","HI Native / Pacific Islander","Hispanic","0**","88,570","0.00**","--","--"
"2022","More than One Race","Non-Hispanic","51","3,485,809","1.46","--","2,705"
"2022","More than One Race","Hispanic","--","890,511","--","--","--"
"2021","White","Non-Hispanic","827","36,203,727","2.28","--","42,027"
"2021","White","Hispanic","396","16,028,755","2.47","--","19,804"
"2021","White","Unknown","--","--","--","--","--"
"2021","Black","Non-Hispanic","1,197","10,161,335","11.78","--","60,993"
"2021","Black","Hispanic","23","1,171,535","1.96","--","1,181"
"2021","Black","Unknown","--","--","--","--","--"
"2021","American Indian / Alaska Native","Non-Hispanic","26","582,725","4.46","--","1,316"
"2021","American Indian / Alaska Native","Hispanic","--","661,274","--","--","--"
"2021","Asian","Non-Hispanic","36","4,012,502","0.90","--","1,840"
"2021","Asian","Hispanic","--","243,631","--","--","--"
"2021","HI Native / Pacific Islander","Non-Hispanic","--","158,331","--","--","--"
"2021","HI Native / Pacific Islander","Hispanic","0**","85,632","0.00**","--","--"
"2021","More than One Race","Non-Hispanic","61","3,446,785","1.77","--","3,130"
"2021","More than One Race","Hispanic","--","874,201","--","--","--"
"2020","White","Non-Hispanic","804","36,759,168","2.19","--","41,067"
"2020","White","Hispanic","371","16,122,095","2.30","--","18,502"
"2020","White","Unknown","--","--","--","--","--"
"2020","Black","Non-Hispanic","955","10,207,057","9.36","--","48,666"
"2020","Black","Hispanic","14**","1,148,541","1.22**","--","719"
"2020","Black","Unknown","--","--","--","--","--"
"2020","American Indian / Alaska Native","Non-Hispanic","36","593,219","6.07","--","1,793"
"2020","American Indian / Alaska Native","Hispanic","--","648,546","--","--","--"
"2020","Asian","Non-Hispanic","26","4,026,924","0.65","--","1,319"
"2020","Asian","Hispanic","--","239,317","--","--","--"
"2020","HI Native / Pacific Islander","Non-Hispanic","--","158,558","--","--","--"
"2020","HI Native / Pacific Islander","Hispanic","--","83,625","--","--","--"
"2020","More than One Race","Non-Hispanic","44","3,408,742","1.29","--","2,255"
"2020","More than One Race","Hispanic","17**","861,417","1.97**","--","882"
"2019","White","Non-Hispanic","661","36,488,222","1.81","--","33,447"
"2019","White","Hispanic","273","15,740,905","1.73","--","13,691"
"2019","White","Unknown","--","--","--","--","--"
"2019","Black","Non-Hispanic","671","10,034,057","6.69","--","33,997"
"2019","Black","Hispanic","10**","1,086,973","0.92**","--","528"
"2019","American Indian / Alaska Native","Non-Hispanic","23","601,581","3.82","--","1,163"
"2019","American Indian / Alaska Native","Hispanic","--","620,976","--","--","--"
"2019","Asian","Non-Hispanic","26","3,911,060","0.67","--","1,321"
"2019","Asian","Hispanic","--","228,928","--","--","--"
"2019","HI Native / Pacific Islander","Non-Hispanic","--","154,500","--","--","--"
"2019","HI Native / Pacific Islander","Hispanic","0**","80,076","0.00**","--","--"
"2019","More than One Race","Non-Hispanic","41","3,310,991","1.24","--","2,053"
"2019","More than One Race","Hispanic","15**","830,406","1.81**","--","752"
"2018","White","Non-Hispanic","739","36,891,485","2.00","--","37,427"
"2018","White","Hispanic","257","15,739,047","1.63","--","12,947"
"2018","Black","Non-Hispanic","607","10,068,136","6.03","--","30,716"
"2018","Black","Hispanic","13**","1,063,372","1.22**","--","650"
"2018","Black","Unknown","--","--","--","--","--"
"2018","American Indian / Alaska Native","Non-Hispanic","18**","608,794","2.96**","--","891"
"2018","American Indian / Alaska Native","Hispanic","--","606,376","--","--","--"
