"Year","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Metro","10,350","18,220,659","56.80","54.42","355,910"
"2021","Non-Metro","879","1,900,445","46.25","43.18","29,706"
"2020","Metro","9,792","18,165,102","53.91","51.35","340,692"
"2020","Non-Metro","824","1,895,177","43.48","40.03","27,962"
"2019","Metro","7,060","17,788,167","39.69","37.53","244,125"
"2019","Non-Metro","597","1,906,883","31.31","28.42","20,662"
"2018","Metro","6,568","17,640,912","37.23","35.13","226,043"
"2018","Non-Metro","535","1,912,854","27.97","25.79","18,010"
"Total","","","36,605","79,430,199","46.08","43.64","1,263,110"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2021","","","","","",""
"Geography: United States","","","","","",""
"Intent: Homicide and Legal Intervention","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: All Ages","","","","","",""
"Sex: Males","","","","","",""
"Race: Black","","","","","",""
"Ethnicity: Non-Hispanic","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
