"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","450","622,064","72.34","71.21","15,446"
"2021","Alaska","--","13,520","--","--","--"
"2021","Arizona","79","175,937","44.90","41.37","2,576"
"2021","Arkansas","155","222,245","69.74","66.55","5,563"
"2021","California","527","1,104,177","47.73","44.57","17,001"
"2021","Colorado","49","128,702","38.07","34.46","1,460"
"2021","Connecticut","66","183,717","35.93","33.22","2,380"
"2021","Delaware","55","106,019","51.88","51.39","2,035"
"2021","District of Columbia","140","134,497","104.09","101.04","4,692"
"2021","Florida","622","1,636,008","38.02","36.61","21,578"
"2021","Georgia","696","1,615,422","43.09","41.17","23,745"
"2021","Hawaii","--","17,050","--","--","--"
"2021","Idaho","--","8,418","--","--","--"
"2021","Illinois","917","845,499","108.46","104.28","32,153"
"2021","Indiana","258","323,750","79.69","74.82","8,936"
"2021","Iowa","25","70,547","35.44","31.89","916"
"2021","Kansas","32","88,141","36.31","34.03","1,202"
"2021","Kentucky","188","188,389","99.79","91.38","6,588"
"2021","Louisiana","615","711,970","86.38","83.14","21,964"
"2021","Maine","0**","13,039","0.00**","0.00**","--"
"2021","Maryland","445","872,826","50.98","51.04","14,789"
"2021","Massachusetts","46","255,497","18.00","16.05","1,645"
"2021","Michigan","466","659,002","70.71","69.93","15,296"
"2021","Minnesota","91","209,797","43.38","41.90","3,083"
"2021","Mississippi","417","521,577","79.95","79.54","14,079"
"2021","Missouri","375","339,088","110.59","109.48","12,549"
"2021","Montana","--","3,685","--","--","--"
"2021","Nebraska","20**","50,777","39.39**","35.96**","763"
"2021","Nevada","83","149,701","55.44","51.20","2,702"
"2021","New Hampshire","--","11,995","--","--","--"
"2021","New Jersey","182","574,463","31.68","30.72","6,188"
"2021","New Mexico","15**","23,495","63.84**","58.03**","376"
"2021","New York","395","1,344,678","29.38","28.21","13,614"
"2021","North Carolina","495","1,054,770","46.93","44.75","17,225"
"2021","North Dakota","--","14,584","--","--","--"
"2021","Ohio","544","727,832","74.74","72.92","18,721"
"2021","Oklahoma","75","149,355","50.22","46.89","2,530"
"2021","Oregon","28","46,101","60.74","53.75","943"
"2021","Pennsylvania","548","687,100","79.76","73.03","19,619"
"2021","Rhode Island","--","34,329","--","--","--"
"2021","South Carolina","346","632,077","54.74","53.87","12,320"
"2021","South Dakota","--","12,291","--","--","--"
"2021","Tennessee","412","548,422","75.13","72.26","14,354"
"2021","Texas","763","1,761,117","43.33","40.54","25,828"
"2021","Utah","--","22,933","--","--","--"
"2021","Vermont","0**","5,047","0.00**","0.00**","--"
