"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","11,110","20,121,104","55.22","52.73","381,935"
"2020","10,493","20,060,279","52.31","49.64","364,801"
"2019","7,548","19,695,050","38.32","36.07","261,434"
"2018","6,998","19,553,766","35.79","33.65","240,870"
"Total","36,149","79,430,199","45.51","43.08","1,249,040"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2018 to 2021","","","","",""
"Geography: United States","","","","",""
"Intent: Homicide","","","","",""
"Mechanism: Firearm","","","","",""
"Age: All Ages","","","","",""
"Sex: Males","","","","",""
"Race: Black","","","","",""
"Ethnicity: Non-Hispanic","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
